Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume79article10_1_1,"phenylboronic acid, (R)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl [(R)-BINAP], acetylacetonatobis(ethylene)rhodium(I), 2-cyclohexenone","12.2 g (100 mmol), 300 mg (0.482 mmol), 103 mg (0.399 mmol), 3.86 g (3.90 mL, 40.2 mmol)",(R)-(+)-3-Phenylcyclohexanone,5.77 g,"1,4-dioxane",105°C,3 hours,83%
volume79article10_2_1,"bromobenzene, n-butyllithium, trimethoxyborane, (R)-BINAP, acetylacetonatobis(ethylene)rhodium(I), Lithium phenyltrimethoxyborate, 2-cyclohexenone","3.95 g (25.2 mmol), 16.7 mL (25.1 mmol), 2.59 g (24.9 mmol), 74.7 mg (0.120 mmol), 25.8 mg (0.100 mmol), N/A, 0.975 g (10.1 mmol)",(R)-3-phenylcyclohexanone,1.55 g,"diethyl ether, 1,4-dioxane, hexane",100°C,12 hours,88.1%
volume79article11_1_1,"potassium ferricyanide, anhydrous potassium carbonate, methanesulfonamide, potassium osmate dihydrate, (DHQD)2PHAL, 1-phenylcyclohexene, tert-butyl alcohol","247 g (0.75 mol), 104 g (0.75 mol), 23.8 g (0.25 mol), 46.1 mg (0.125 mmol), 486.9 mg (0.625 mmol), 39.55 g (0.25 mol), 250 mL","(+)-(1R,2R)-1-Phenylcyclohexane-cis-1,2-diol",47.44 g,"water, ethyl acetate",N/A,2 days,99%
volume79article11_2_1,"Activated W-2 Raney nickel, wet ethanol, crude diol","257.5 g, N/A, N/A","(−)-(1R,2S)-trans-2-Phenyl-1-cyclohexanol",25.12 g,ethanol,Reflux,2 hours,58%
volume79article12_1_1,"cyclohexene, borane-dimethyl sulfide complex, trifluoromethanesulfonic acid","33.4 mL, 16.6 mL, 24.0 g",dicyclohexylboron trifluoromethanesulfonate,47.8 g,"diethyl ether, hexane","0°C, room temperature, -20°C","3 hours, 1 hour, 1-2 hours",92%
volume79article13_1_1,"(−)-norephedrine, triethylamine, mesitylenesulfonyl chloride","30.2 g (0.200 mol), 33.4 mL (0.24 mol), 43.8 g (0.20 mol)",2-(N-Mesitylenesulfonyl)amino-1-phenyl-1-propanol,60.8 g (91%),"dichloromethane, diethyl ether, water, 1 M HCl, saturated sodium hydrogen carbonate solution, brine",0°C,2 hours,91%
volume79article13_2_1,"2, benzyl chloride, tetrabutylammonium iodide, potassium carbonate","16.7 g (50 mmol), 6.90 mL (60 mmol), 200 mg, 8.4 g (60 mmol)",2-(N-Benzyl-N-mesitylenesulfonyl)amino-1-phenyl-1-propanol,17.0 g,acetonitrile,reflux,17 hours,80%
volume79article13_3_1,"3, pyridine, propionyl chloride","15.0 g, 3.7 mL, 3.8 mL",2-(N-Benzyl-N-mesitylenesulfonyl)amino-1-phenyl-1-propyl propionate,16.8 g,dichloromethane,Room temperature,13 hours,99%
volume79article14_1_1,"(1R, 2S)-(+)-1, dichloromethane, triethylamine, dicyclohexylboron triflate, isobutyraldehyde, pH 7 buffer solution, methanol, 30% hydrogen peroxide","4.80 g (10 mmol), 50 mL, 3.40 mL (24 mmol), 22 mL (22 mmol), 1.08 mL (12 mmol), 40 mL, 200 mL, 20 mL","(1'R)-Phenyl-(2'S)-[(phenylmethyl)[(2,4,6-trimethylphenyl)sulfonyl]amino]-propyl (3R)-hydroxy-(2R),4-dimethylpentanoate","4.1 g, 0.8 g","dichloromethane, hexane, ethyl acetate, mesitylene","-78°C, room temperature","30 min, overnight","74%, 14%"
volume79article14_2_1,"(+)-2, lithium aluminum hydride","2.75 g (5 mmol), 0.19 g (5 mmol)","(2S, 3R)-2,4-Dimethyl-1,3-pentanediol",0.60 g,tetrahydrofuran,Room temperature,1 hour,92%
volume79article15_1_1,"(+)-camphor, selenium dioxide, acetic anhydride","20.0 g (0.13 mol), 8.0 g (0.07 mol), 14.0 mL","(1R,4S)-(−)-camphorquinone",20.89 g,"ethyl acetate, toluene",reflux,9 hours,N/A
volume79article15_2_1,"crude (1R)-(−)-camphorquinone, ethanol, pyridine, hydroxylamine hydrochloride","10.0 g (0.060 mol), 240 mL, 40 mL, 5.44 g (0.078 mol)","(1R,4S)-(−)-Camphorquinone monoxime",8.63 g (79%),"hexane, ethyl acetate",reflux,20 min,79%
volume79article16_1_1,"lithium aluminum hydride, (1R,4S)-(−)-camphorquinone monoxime","5.12 g (0.14 mol), 8.46 g (0.047 mol)",(2S)-(−)-3-exo-Aminoisoborneol,8.07 g,diethyl ether,reflux,1.5 hours,N/A
volume79article16_3_1,"crude (1R,2S,3R,4S)-3-exo-amino-2-exo-hydroxy-1,7,7-trimethylbicyclo[2.2.1]heptane, potassium hydride, methyl iodide","8.06 g (0.041 mol), 9.47 g (0.083 mol), 13 mL (0.21 mol)","N-Methyl-(1R,2S,6R,7S)-1,10,10-trimethyl-4-oxo-5-aza-3-oxatricyclo[5.2.1.0]decane",2.77 g (32%),THF,"0°C, room temperature",10 hours,32%
volume79article16_4_1,"N-methyl-(1R,2S,6R,7S)-1,10,10-trimethyl-4-oxo-5-aza-3-oxatricyclo[5.2.1.0]decane, lithium aluminum hydride","2.77 g (0.013 mol), 5.20 g (0.075 mol)","(2S)-(−)-3-exo-(dimethylamino)isoborneol, [(2S)-(−)-DAIB]",2.19 g,THF,reflux,18 hours,84%
volume79article18_1_1,"diethylzinc, methyl 4,4-dimethyl-3-oxopentanoate, methylene iodide","15.4 mL (150 mmol), 8.0 mL (50 mmol), 12.1 mL (150 mmol)","methyl 5,5-dimethyl-4-oxo-hexanoate",7.63-8.09 g,methylene chloride,ice-water bath,45 min,89-94%
volume79article19_1_1,"Boc-phenylalanine, tetrahydrofuran, triethylamine, ethyl chloroformate, diazomethane","25.0 g (94.2 mmol), 250 mL, 13.1 mL (94.0 mmol), 9.45 mL (94.0 mmol), 125 mL",(S)-3-(tert-Butyloxycarbonylamino)-1-diazo-4-phenylbutan-2-one,N/A,N/A,Ice-water bath,45 minutes,N/A
volume79article19_2_1,"crude diazo ketone, tetrahydrofuran, de-ionized water, silver trifluoroacetate, triethylamine",N/A,(S)-3-(tert-Butyloxycarbonylamino)-4-phenylbutanoic acid,12.1 g,"ethyl acetate, ice-water bath","-25°C, room temperature",overnight,46%
volume79article20_1_1,"1-triisopropylsilyloxycyclohexene, azidotrimethylsilane, Dowex® 50 × 8-100","25.47 g (100 mmol), 68.5 mL (500 mmol), 24.98 g",1-triisopropylsilyloxy-1-azidocyclohexane,26.75 g,dichloromethane,Ambient temperature,48 hours,90%
volume79article20_2_1,1-triisopropylsilyloxy-1-azidocyclohexane,25.9 g (87.1 mmol),ε-Caprolactam,8.20 g,cyclohexane,0°C,3.5 hours,83%
volume79article22_1_1,"4-methoxybenzylamine, triethylamine, 2-nitrobenzenesulfonyl chloride","6.81 g (49.6 mmol), 6.93 mL (49.6 mmol), 10.0 g (45.1 mmol)",N-(4-Methoxybenzyl)-2-nitrobenzenesulfonamide,13.00-13.15 g,dichloromethane,Room temperature,15 min,90-91%
volume79article22_2_1,"N-(4-Methoxybenzyl)-2-nitrobenzenesulfonamide, potassium carbonate, dimethylformamide, 3-phenylpropyl bromide","10.0 g (31.0 mmol), 12.9 g (93.1 mmol), 40 mL, 5.19 mL (34.1 mmol)",N-(4-Methoxybenzyl)-N-(3-phenylpropyl)-2-nitrobenzenesulfonamide,13.5 g,DMF,60°C,70 min,99%
volume79article22_3_1,"thiophenol, N-(4-Methoxybenzyl)-N-(3-phenylpropyl)-2-nitrobenzenesulfonamide, aqueous potassium hydroxide solution","7.82 mL (76.5 mmol), 13.5 g (30.6 mmol), 7.02 mL (76.5 mmol)",N-(4-Methoxybenzyl)-3-phenylpropylamine,6.98-7.08 g,acetonitrile,50°C,40 min,89-91%
volume79article23_2_1,Anilide 2,30.0 g (0.165 mol),7-Fluoroisatin,12.9-15.7 g,concd sulfuric acid,"70°C, 90°C",60 min,47-57%
volume79article23_3_1,"7-fluoroisatin, sodium hydroxide, hydrogen peroxide","15.0 g (0.09 mol), 200 mL, 22 mL (0.20 mol)",2-Amino-3-fluorobenzoic acid,11.64-13.3 g,water,30-40°C,1.5 hours,84-96%
volume79article25_1_1,"2-fluoroanisole, potassium hexamethyldisilylamide, isobutyronitrile","10.00 g (79.28 mmol), 23.72 g (118.92 mmol), 28.8 mL (316.71 mmol)",2-(2-Methoxyphenyl)-2-methylpropionitrile,13.75 g,tetrahydrofuran,60°C,23 hours,99%
volume79article26_1_1,"p-toluenesulfonyl chloride, pyridine, 3-Methyl-3-oxetanemethanol","57.20 g (0.30 mol), 250 mL, 20.4 g (0.2 mol)",3-Methyl-3-(toluenesulfonyloxymethyl)oxetane,39.8-44.60 g,N/A,N/A,1.5 hours,78-87%
volume79article26_2_1,"Cbz-L-Ser, cesium carbonate, oxetane tosylate, sodium iodide","11.36 g (0.047 mol), 9.19 g (0.028 mol), 12.65 g (0.049 mol), 1.41 g (9.8 mmol)",N-Benzyloxycarbonyl-L-serine 3-methyl-3-(hydroxymethyl)oxetane ester,10.6-10.9 g,"H2O, DMF, ethyl acetate",25°C,48 hours,70-72%
volume79article26_3_1,"Cbz-Ser oxetane ester 2, boron trifluoride etherate, triethylamine","11.85 g (36.6 mmol), 0.23 mL, 1.83 mmol, 1.28 mL, 9.15 mmol","1-[N-Benzyloxycarbonyl-(1S)-1-amino-2-hydroxyethyl]-4-methyl-2,6,7-trioxabicyclo[2.2.2]octane",9.7-11 g,dichloromethane,0°C,"6 hours, 30 minutes",82-93%
volume79article26_4_1,"Cbz-Ser OBO ester, oxalyl chloride, dimethyl sulfoxide, diisopropylethylamine","9.10 g (28.0 mmol), 3.9 mL (45 mmol), 7.0 mL (90 mmol), 24.27 mL (0.14 mol)","1-[N-Benzyloxycarbonyl-(1S)-1-amino-2-oxoethyl]-4-methyl-2,6,7-trioxabicyclo[2.2.2]octane",8.4-8.77 g,CH2Cl2,-78°C,"1.5 hours at -78°C, 30 minutes at 0°C",92-96%
volume79article27_1_1,"p-chloroacetophenone, glacial acetic acid, aqueous hydrobromic acid, bromine","38.6 g (0.25 mol), 220 mL, 1 mL, 40.0 g (0.25 mol)",ω-Bromo-p-chloroacetophenone oxime,53 g (85.3%),"water, aqueous ethanol",15°C,"1 hour, 24 hours",85.3%
volume79article27_2_1,"potassium O-ethyl xanthate, ω-bromo-p-chloroacetophenone oxime","35.3 g (0.22 mol), 49.5 g (0.20 mol)",O-Ethyl S-[oximino-2-(p-chlorophenyl)ethyl]dithiocarbonate,51.9 g (89.5%),"acetone, diethyl ether",room temperature,3 hours,89.5%
volume79article27_3_1,"O-Ethyl S-[2-oximino-2-(p-chlorophenyl)ethyl]dithiocarbonate, anhydrous zinc chloride, hydrochloric acid","56.0 g (0.19 mol), 79.1 g (0.58 mol), 140 mL",N-Hydroxy-4-(p-chlorophenyl)thiazole-2(3H)-thione,21.9 g (53.5%),diethyl ether,"0°C, 20°C","48 hours, 30 minutes",86%
volume79article28_1_1,"N-methylimidazole, acetonitrile, 1-chlorobutane","151.5 g (1.85 mol), 100 mL, 220 g (2.4 mol)",1-Butyl-3-methylimidazolium chloride,289.5 g,"acetonitrile, ethyl acetate",reflux (75-80°C),48 hours,89%
volume79article28_2_1,"1-butyl-3-methylimidazolium chloride, potassium tetrafluoroborate","91.6 g (0.52 mol), 66.1 g (0.52 mol)",1-butyl-3-methylimidazolium tetrafluoroborate,107.5 g (0.48 mol),"water, dichloromethane",Room temperature,2 hours,91%
volume79article28_3_1,"1-butyl-3-methylimidazolium chloride, potassium hexafluorophosphate","65.6 g (0.37 mol), 69.3 g (0.37 mol)",1-butyl-3-methylimidazolium hexafluorophosphate,86.4 g (0.29 mol),water,Room temperature,2 hours,81%
volume79article29_1_1,"methyl acetimidate hydrochloride, methyl glycinate hydrochloride, triethylamine","10.0 g (91 mmol), 11.5 g (91 mmol), 12.7 mL (91 mmol)",Methyl α-[(methoxyethylidene)amino]acetate,10.10 g (76%),dichloromethane,0°C to room temperature,5 hours,76%
volume79article29_2_1,"potassium tert-butoxide, methyl α-[(methoxyethylidene)amino]acetate, methyl formate","7.81 g (70 mmol), 10.10 g (70 mmol), 5.0 mL (84 mmol)",Potassium methyl α-[(methoxyethylidene)amino]-β-hydroxyacrylate,N/A,"THF, diethyl ether","-10°C, 0°C","15 min, 2 hours",N/A
volume79article29_3_1,crude potassium methyl α-[(methoxyethylidene)-amino]-β-hydroxyacrylate,N/A,"4-Methoxycarbonyl-2-methyl-1,3-oxazole",3.74 g,"glacial acetic acid, acetic anhydride, sodium bicarbonate, dichloromethane",reflux,1.5 hours,38%
volume79article30_1_1,pentan-3-one,"85 mL (69.40 g, 0.80 mol)",2-Chloropentan-3-one,77.0 g,carbon tetrachloride,45°C,3 hours,80%
volume79article30_2_1,"2, furan, triethylamine","15.0 g (0.12 mol), 36.1 mL (0.50 mol), 18.05 mL (0.13 mol)","2,4-endo,endo-Dimethyl-8-oxabicyclo[3.2.1]oct-6-en-3-one",6.10 g (33%),water,Room temperature,12 hours,33%
volume79article30_2_2,2,N/A,"2,4-endo,endo-Dimethyl-8-oxabicyclo[3.2.1]oct-6-en-3-one",2.25 g (12%),N/A,Room temperature,5 hours,12%
volume80article1_1_1,"D-Fructose, 2,2-dimethoxypropane, perchloric acid","18.0 g (100 mmol), 7.4 mL (60 mmol), 4.3 mL","1,2:4,5-Di-O-isopropylidene-β-D-fructopyranose",13.4-13.6 g,acetone,0°C,6 hours,51-52%
volume80article1_2_1,"Alcohol, CH2Cl2, Pyridinium chlorochromate","10.4 g (40.0 mmol), 130 mL, 21.5 g (100 mmol)","1,2:4,5-Di-O-isopropylidene-D-erythro-2,3-hexodiulo-2,6-pyranose",8.84-9.08 g,"CH2Cl2, ether, hexane",Room temperature,15 hours,86-88%
volume80article2_1_1,"trans-β-methylstyrene, dimethoxymethane, acetonitrile, potassium carbonate-acetic acid buffer solution, tetrabutylammonium hydrogen sulfate, chiral ketone 1, Oxone, disodium ethylenediaminetetraacetate solution, potassium hydroxide solution","5.91 g (50.0 mmol), 500 mL, 300 mL, N/A, 0.375 g (1.1 mmol), 4.52 g (17.5 mmol), 46.1 g (75.0 mmol), 170 mL, 170 mL","(R,R)-trans-β-Methylstyrene oxide",6.02-6.31 g,"dimethoxymethane, acetonitrile",0°C,2.5 hours,90-94%
volume80article2_2_1,"1-phenylcyclohexene, chiral ketone 1, potassium carbonate, EDTA","7.91 g (50.0 mmol), 1.29 g (5.00 mmol), 75 mL, 75 mL","(R,R)-1-phenylcyclohexene oxide",6.88-8.01 g,"CH3CN, 2.0M potassium carbonate, 4 × 10−4M EDTA",0°C,6 hours,79-92%
volume80article3_1_1,"(1S,2R)-1,2-diphenyl-2-hydroxyethylamine, ethyl bromoacetate, triethylamine","25 g (0.117 mol), 29 g (0.176 mol), 24 g (0.234 mol)","Ethyl (1'S,2'R)-N-(1',2'-diphenyl-2'-hydroxyethyl)glycinate","29.01 g, 28.96 g",tetrahydrofuran,room temperature,20 hours,83%
volume80article4_1_1,"(5R,6S)-4-tert-butoxycarbonyl-5,6-diphenylmorpholin-2-one, allyl iodide, lithium bis(trimethylsilyl)amide","1.0 g (2.83 mmol), 2 mL (10 mmol), 2.8 mL (2.83 mmol)","(3R,5R,6S)-4-tert-butoxycarbonyl-5,6-diphenyl-3-(1'-prop-2'-enyl)-morpholin-2-one",997 mg (90%),tetrahydrofuran (THF),-78°C,1 hour,90%
volume80article4_2_1,"(3R,5R,6S)-4-tert-butoxycarbonyl-5,6-diphenyl-3-(1'-prop-2'enyl)morpholin-2-one, lithium metal","539 mg (1.37 mmol), 124 mg (17.8 mmol)",(R)-(N-tert-Butoxycarbonyl)allylglycine,178 mg (60%),"liquid ammonia, THF, ethanol",-33°C,20 min,N/A
volume80article5_1_1,"cinchonidine, 9-chloromethylanthracene","78.2 g (266 mmol), 63.0 g (278 mmol)",N-(9-anthracenylmethyl)cinchonidinium chloride,144.4 g (235 mmol),toluene,reflux (≈130°C),3 hours,88%
volume80article5_2_1,"N-(9-anthracenylmethyl)cinchonidinium chloride-toluene solvate, allyl bromide, aqueous potassium hydroxide","49.5 g (80.7 mmol), 25 mL (35.0 g, 289 mmol), 50 mL",O-Allyl-N-(9-Anthracenylmethyl)cinchonidinium bromide,38.1 g (62.9 mmol),"methylene chloride, water",N/A,4 hours,78%
volume80article5_3_1,"N-(diphenylmethylene)glycine tert-butyl ester, O-allyl-N-(9-anthracenylmethyl)cinchonidinium bromide, cesium hydroxide monohydrate, methyl acrylate","5.0 g (16.9 mmol), 0.95 g (1.7 mmol), 29 g (170 mmol), 5 mL","(4S)-2-(Benzhydrylidenamino)pentanedioic acid, 1-tert-butyl ester-5-methyl ester",5.8 g,"CH2Cl2, ethyl ether, water, hexane, ethyl acetate",-78°C,3 hours,"90% yield, 95.2% ee for the S-enantiomer"
volume80article6_1_1,"dibenzofuran, tetramethylethylenediamine, sec-butyllithium, carbon dioxide","10.0 g (59.4 mmol), 27 mL (179 mmol), 137 mL (178 mmol), gaseous","Dibenzofuran-4,6-dicarboxylic acid",14.5 g,diethyl ether,"-78°C, 25°C",24 hours,96%
volume80article6_2_1,"diacid 2, thionyl chloride","5.0 g (19.6 mmol), 44 mL (600 mmol)","Dibenzofuran-4,6-dicarbonyl chloride",5.12 g,chloroform,68°C,3 hours,90%
volume80article6_3_1,"diacid chloride 3, (R)-phenylglycinol, triethylamine","5.00 g (17.07 mmol), 5.18 g (37.74 mmol), 5.26 mL (37.74 mmol)","(R,R)-Dibenzofuran-4,6-dicarboxylic acid bis(2-hydroxy-1-phenylethyl) amide",5.9-7.5 g,CHCl3,0°C,15 hours,70-88%
volume80article7_2_1,"magnesium turnings, bromobenzene","25.5 g (1.05 mol), 15.7 g (0.100 mol)",Phenylmagnesium bromide,N/A,tetrahydrofuran (THF),reflux,1 hour,N/A
volume80article7_3_1,"N-(tert-butoxycarbonyl)-L-valine methyl ester, Grignard solution","69.4 g (0.30 mol), N/A","(S)-[1-(Hydroxydiphenylmethyl)-2-methylpropyl]carbamic acid, tert-butyl ester","77.1 g (72%), 12.5 g (12%), 11.3 g (11%)","THF, ethyl acetate, hexane","Below 6°C, room temperature",15 hours,"72%, 12%, 11%"
volume80article7_4_1,"(S)-[1-(hydroxydiphenylmethyl)-2-methylpropyl]carbamic acid, tert-butyl ester, potassium tert-butoxide","97.8 g (0.275 mol), 37.0 g (0.330 mol)","(4S)-4-(1-Methylethyl)-5,5-diphenyl-2-oxazolidinone",72.5 g,THF,Below 5°C,2 hours,94%
volume80article8_1_1,"Furfural, rose bengal","85.84 g (0.893 mol), 1.82 g (1.8 mmol)",5-Hydroxy-2(5H)-furanone,72.70-75.65 g,methanol,≤33°C,18-22 hours,81-85%
volume80article8_2_1,"d-menthol, 5-hydroxy-2(5H)-furanone, D-(+)-camphorsulfonic acid","51.9 g (0.330 mol), 37.3 g (0.370 mol), 3.96 g (0.170 mol)",(5S)-(d-Menthyloxy)-2(5H)-furanone,10.7-17.33 g,benzene,reflux,1-2 hours,14-22%
volume80article8_3_1,"Combined mother liquors, D-(+)-camphorsulfonic acid",N/A,(5S)-(d-menthyloxy)-2(5H)-furanone,24.75-34.93 g,"benzene, dichloromethane",reflux,19 hours,32-44%
volume80article9_1_1,"methyl 2-methyl-3-nitrobenzoate, dibenzoyl peroxide, bromine","19.1 g (97.9 mmol), 1.21 g (5.00 mmol), 16.1 g (100.6 mmol)",methyl 2-bromomethyl-3-nitrobenzoate,25.90 g,carbon tetrachloride,reflux,24 hours,96.5%
volume80article9_2_1,"methyl 2-bromomethyl-3-nitrobenzoate, triphenylphosphine","25.90 g (94.5 mmol), 28.44 g (108.4 mmol)",(2-carbomethoxy-6-nitrobenzyl)triphenylphosphonium bromide,50.91 g,chloroform,reflux,1.5 hours,N/A
volume80article9_3_1,"Paraformaldehyde, 2-carbomethoxy-6-nitrobenzyl)triphenylphosphonium bromide, triethylamine","30 g, 50.91 g, 39.13 g (53.8 mL, 386.7 mmol)",Methyl 2-ethenyl-3-nitrobenzoate,15.87 g (76.6 mmol),"dichloromethane, hexanes",160°C,1-2 hours,81%
volume80article9_4_1,"methyl 2-ethenyl-3-nitrobenzoate, triphenylphosphine, palladium acetate","10.35 g (50.0 mmol), 3.23 g (12.3 mmol), 0.673 g (3.00 mmol)",methyl indole-4-carboxylate,7.95 g (44.75 mmol),acetonitrile,90°C,50 hours,91%
volume80article10_1_1,"bis(tricyclohexylphosphine)benzylidine ruthenium dichloride, N-Boc-diallylamine, tris(hydroxymethyl)phosphine, triethylamine","732 mg (0.89 mmol), 38.3 mL (178 mmol), N/A, 0.247 mL (1.78 mmol)",N-Boc-3-pyrroline,27.2-28.3 g,dichloromethane,reflux,"2.5 hours, overnight",90-94%
volume80article11_1_1,"p-toluenesulfonyl chloride, THF, pyridine, allylamine","97.2 g (0.51 mol), 400 mL, 42.9 mL (0.53 mol), 37.5 mL (0.50 mol)",N-(2-Propenyl)-4-methylbenzenesulfonamide,"65 g (first crop), 27 g (second crop)",THF,10°C to room temperature,8 hours,"62% (first crop), 26% (second crop), 88% (total)"
volume80article11_2_1,"allyl tosylamide, anhydrous potassium carbonate, 1-bromo-2-propyne","31.7 g (150 mmol), 24.8 g (1.2 equiv, 180 mmol), 20.0 mL (1.2 equiv, 180 mmol)",N-(2-Propenyl)-N-(2-propynyl)-4-methylbenzenesulfonamide,"ca. 30 g, 5.9 g",acetone,reflux,24 hours,"80%, 16% (96% in total)"
volume80article11_3_1,"dicobalt octacarbonyl, 2-methyl-3-butyn-2-ol","1.7 g (5.0 mmol), 0.51 mL (5.3 mmol)","Hexacarbonyl[μ-[(3,4-η:3,4-η)-2-methyl-3-butyn-2-ol]]dicobalt",1.4 g,diethyl ether,Ambient temperature,3 hours,79%
volume80article11_4_1,"enyne 3, Co2(CO)6-alkyne complex 5, cyclohexylamine, triethylsilane","6.0 g (24.1 mmol), 445 mg (1.20 mmol), 0.413 mL (3.61 mmol), 2.40 mL (1.20 mmol)","2,3,3α,4-Tetrahydro-2-[(4-methylbenzene)sulfonyl]cyclopenta[c]pyrrol-5(1H)-one",5.8-6.2 g,"1,2-dimethoxyethane",67°C,24 hours,86-93%
volume80article12_1_1,"RuH2(CO)(PPh3)3, triethoxyvinylsilane, 1-tetralone","0.918 g (1.00 mmol), 20.93 g (110 mmol), 14.62 g (100 mmol)",8-[2-(triethoxysilyl)ethyl]-1-tetralone,31-32.5 g,toluene,reflux (135°C),30 min,92-96%
volume80article13_2_1,"allylbenzene, ethyl acetate, chlorotitanium triisopropoxide, cyclopentylmagnesium chloride","2.5 g (21 mmol), 2 mL (20 mmol), 20 mL, 80 mL (80 mmol)",trans-2-Benzyl-1-methylcyclopropan-1-ol,2.6 g (80%),tetrahydrofuran,0°C,"30 minutes at 0°C, 1 hour at room temperature",80%
volume80article14_1_1,"1-(trimethylsilyl)-1-hexyne, titanium tetraisopropoxide, isopropylmagnesium chloride","5.00 g (32.40 mmol), 11.95 mL (40.50 mmol), 50.62 mL of a 2.0M solution in ether (101.24 mmol)","(Z)-1,2-dideuterio-1-(trimethylsilyl)-1-hexene",3.56-4.47 g,diethyl ether,-78°C to room temperature,3 hours,69-87%
volume80article15_1_1,"Copper(I) iodide, hydriodic acid, propiolic acid","200 mg (1.1 mmol), 40 mL, 10 mL (162 mmol)",(E)-3-iodoprop-2-enoic acid,25.3 g (79%),N/A,110-130°C,30 min,79%
volume80article16_1_1,"Meldrum's acid, sodium nitrite, p-Toluenesulfonyl chloride","4.00 g (27.8 mmol), 1.91 g (27.8 mmol), 4.81 g (25.2 mmol)","5-(Tosyloxyimino)-2,2-dimethyl-1,3-dioxane-4,6-dione",4.85 g (56-59% based on TsCl),"methanol, water","Room temperature, 0°C","2 hours, 30 minutes",56-59%
volume80article16_2_1,"oximinosulfonate, isoprene, dimethylaluminum chloride, sodium potassium tartrate solution, sodium methoxide, N-chlorosuccinimide","4.50 g (13.7 mmol), 4.10 mL (2.81 g, 41.1 mmol), 27.5 mL (27.5 mmol), 60 mL, 26.3 mL (41.1 mmol), 1.83 g (13.7 mmol)",Methyl-5-methylpyridine-2-carboxylate,1.61-1.76 g,"dichloromethane, tetrahydrofuran, methanol, ethyl acetate, pH 7 phosphate buffer, 1.0N HCl","-78°C, 0°C","3 hours, 16 hours",78-85%
