Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume21article9_4_1,"4-methyl-7-hydroxy-8-acetylcoumarin, sodium hydroxide","148 g (0.68 mole), 129 g (3.23 moles)","2,6-dihydroxyacetophenone",75-85 g,"water, ethanol","Steam bath, ice-salt bath","5 hours, 15 minutes",83-89%
volume21article10_1_1,"benzoic acid, fuming sulfuric acid, barium carbonate, sodium hydroxide, potassium hydroxide, concentrated hydrochloric acid","200 g (1.64 moles), 500 ml, 2.4-2.5 kg, 600 g, 600 g, N/A","3,5-dihydroxybenzoic acid",137-160 g,"water, ether","240-250°C, 250-260°C, 280-310°C","5 hours, 30 minutes, 1 hour",58-65%
volume21article11_1_1,"o-dianisidine, concentrated hydrochloric acid, sodium nitrite, hypophosphorous acid solution, 20% sodium hydroxide solution, anhydrous potassium carbonate","40 g (0.16 mole), 31 ml, 23.3 g (0.33 mole), 325 ml, N/A, 5 g","3,3'-Dimethoxybiphenyl",23-27.5 g,"water, ether",10-13°C,8-10 hours,66-78%
volume21article11_2_1,"o-tolidine, hypophosphorous acid","27 g (0.13 mole), 290 ml","3,3'-Dimethylbiphenyl",17.5-19 g,benzene,Room temperature,16-18 hours,76-82%
volume21article12_1_1,"n-dodecyl bromide, thiourea, sodium hydroxide","125 g (0.5 mole), 38 g (0.5 mole), 30 g (0.75 mole)",n-dodecyl (lauryl) mercaptan,80-84 g,"95% ethanol, water",reflux,"3 hours, 2 hours",79-83%
volume21article13_1_1,"Dry xylene, dry acetophenone, aluminum tert-butoxide","345 g (400 ml), 120 g (117 ml, 1 mole), 135 g (0.55 mole)",Dypnone,85-91 g,"tert-butyl alcohol, water",133-137°C,"2 hours (distillation), 15 minutes (reflux)",77-82%
volume21article14_1_1,"Sodium, o-hydroxyacetophenone, ethyl propionate","24 g (1.05 gram atoms), 60 g (0.44 mole), 125 g (140 ml, 1.2 moles)",2-ethylchromone,42-45 g,xylene,"Room temperature, steam bath",30-60 minutes,70-75%
volume21article15_1_1,"magnesium turnings, ethyl acetoacetate, acetyl chloride","12 g (0.50 gram atom), 130 g (1.0 mole), 120 g (1.50 moles)",Ethyl diacetylacetate,80-90 g,"benzene, ether",reflux,2 hours,46-52%
volume21article16_1_1,"ethyl hydrogen sebacate, potassium hydroxide, monoethyl sebacate","86.5 g (0.38 mole), 125-130 ml, 10 g","ethyl 1,16-hexadecanedicarboxylate",16-22 g,"water, methanol",Below 50°C,60-70 minutes,40-55%
volume21article17_1_1,"zinc, ethyl bromoacetate, benzaldehyde","40 g (0.62 gram atom), 83.5 g (0.50 mole), 65 g (0.61 mole)",ethyl β-phenyl-β-hydroxypropionate,59-62 g,"benzene, ether",reflux,30 minutes,61-64%
volume21article18_1_1,"Glacial acetic acid, sodium chloride, defibrinated blood","4 l, 1 g, 1 l",Hemin,3.5-4.5 g,water,100-105°C,Overnight,75-85%
volume21article19_1_1,"Ammonium 1,2-naphthoquinone-4-sulfonate, methanol, sulfuric acid","255 g (1 mole), 1 L, 80 mL","2-Hydroxy-1,4-naphthoquinone",101-112 g,methanol,"0°C, boiling","30 minutes, 15 minutes, 15-20 minutes",58-65%
volume21article20_1_1,"diethyl malonate, sec-butyl bromide","250 g (1.56 moles), 210 g (1.53 moles)",Diethyl sec.-butylmalonate,274-278 g,ethanol,Reflux,48 hours,83-84%
volume21article20_2_1,"diethyl sec-butylmalonate, potassium hydroxide, hydrochloric acid, bromine","250 g (1.16 moles), 250 g, N/A, 5 ml",α-Bromo-β-methylvaleric acid,150.5 g,"water, ether","reflux, 130°C",5 hours,66.7%
volume21article20_3_1,α-bromo-β-methylvaleric acid,150 g (0.77 mole),dl-Isoleucine,50 g,"technical ammonium hydroxide, ethanol","Room temperature, steam cone","1 week, overnight",49%
volume21article21_1_1,Acetone,N/A,Ketene dimer,42-46 g,Dry Ice-acetone cooling mixture,Room temperature,4-4.5 hours,50-55%
volume21article22_1_1,"ethyl acetoacetate, glacial acetic acid, sodium nitrite, acetylacetone, zinc dust, sodium, 2,4-dimethyl-3-acetyl-5-carbethoxypyrrole, hydrazine hydrate","402 g (3.09 moles), 1.2 L, 246 g (3.55 moles), 348 g (3.48 moles), 450 g, 30 g, 75 g (0.36 mole)","2,4-dimethyl-3-acetyl-5-carbethoxypyrrole, kryptopyrrole","360-390 g, 22-25.5 g","water, ethanol","Room temperature, 165-170°C",12 hours,"55-60%, 50-58%"
volume21article23_1_1,"Ethyl lactate, liquid ammonia","125 g (1.06 moles), 125 ml",Lactamide,65-70 g,N/A,Below boiling point of ammonia,24 hours,70-74%
volume21article24_1_1,"isocaproic acid, bromine, phosphorus trichloride","500 g (4.3 moles), 743 g (4.65 moles), 10 ml",α-Bromoisocaproic acid,530-550 g,benzene,"80-85°C, 100-105°C","8-15 hours, 2 hours",63-66%
volume21article24_2_1,α-bromoisocaproic acid,300 g (1.56 moles),dl-Leucine,350-365 g,"technical ammonium hydroxide, ethanol",Room temperature,1 week,43-45%
volume21article25_1_1,"bromomesitylene, ethyl bromide, magnesium turnings","199 g (1 mole), 218 g (2 moles), 85.0 g (3.5 gram atoms)",Mesitoic acid,138-141.5 g,dry ether,reflux,30 minutes,84-86%
volume21article25_2_1,"bromomesitylene, magnesium, carbon dioxide, hydrochloric acid, thionyl chloride","200 g (0.95 mole), 24.3 g (1 gram atom), N/A, 100 ml (1.2 moles), 100 g (63 ml, 0.84 mole)","mesitoic acid, mesitoic acid chloride","90-100 g, 90-97 g","absolute ether, methanol","reflux, N/A","2 hours, N/A","55-61%, 90-97%"
volume21article26_1_1,"phenylmagnesium bromide, bromobenzene, methoxyacetonitrile","8.8 g (0.36 gram atom), 56.5 g (38 ml, 0.36 mole), 21.3 g (0.3 mole)",ω-Methoxyacetophenone,32-35 g,dry ether,"Ice-salt bath, room temperature",2 hours,71-78%
volume21article27_1_1,"carbon disulfide, sodium hydroxide, methylamine, ethyl chlorocarbonate","137 g (110 ml, 1.8 moles), 72 g (1.8 moles), 180 ml (56 g, 1.8 moles), 196 g (175 ml, 1.8 moles)",methyl isothiocyanate,170-190 g,water,"10-15°C, 30-40°C","1-2 hours, 30 minutes",65-76%
volume21article28_1_1,"concentrated ammonium hydroxide solution, methyl isothiocyanate","140 ml (34 g; 2 moles), 95 g (1.3 moles)",methylthiourea,"65-75 g (first crop), 15-20 g (second crop)",N/A,N/A,"1 hour (addition), 30 minutes (heating)",74-81%
volume21article29_1_1,"α-bromonaphthalene, cuprous cyanide, pyridine","66 g (0.32 mole), 35 g (0.39 mole), 30 ml",α-naphthonitrile,40-44 g,pyridine,215-225°C,15 hours,82-90%
volume21article30_1_1,"1-amino-2-naphthol-4-sulfonic acid, nitric acid, sodium hydroxide, ammonium chloride","350 g (1.46 moles), 145 ml, 50 g, 175 ml","ammonium 1,2-naphthoquinone-4-sulfonate",350-365 g,water,25-30°C,3-4 minutes,94-98%
volume21article30_1_2,"ammonium 1,2-naphthoquinone-4-sulfonate, bromine, potassium chloride","50 g, 0.3 ml, 400 ml","potassium 1,2-naphthoquinone-4-sulfonate",48-50 g,water,50°C,30 minutes,90-92%
volume21article30_1_3,"potassium 1,2-naphthoquinone-4-sulfonate",50 g,"potassium 1,2-naphthoquinone-4-sulfonate",45-49 g,water,60°C,30 minutes,90-98%
volume21article31_1_1,"p-cymene, concentrated sulfuric acid, glacial acetic acid, nitric acid","500 g (585 ml), 1 kg (544 ml), 300 ml, 369 g (262 ml)",2-nitro-p-cymene,520-550 g,"water, petroleum ether or ether",-15°C to -10°C,10 minutes,78-82%
volume21article32_1_1,"Sodium, diethyl malonate, benzyl chloride","115 g (5 gram atoms), 830 g (5.18 moles), 632 g (5 moles)",Diethyl benzylmalonate,1265-1420 g,ethanol,Reflux,8-11 hours,51-57%
volume21article32_2_1,"diethyl benzylmalonate, potassium hydroxide, hydrochloric acid, bromine","1 kg (4 moles), 860 g, N/A, 225 ml",α-Bromo-β-phenylpropionic acid,N/A,"water, ether",130-135°C,5 hours,N/A
volume21article32_3_1,"crude bromo acid, technical ammonium hydroxide, Norit",N/A,dl-Phenylalanine,412 g,"water, methanol, alcohol",N/A,"1 week, overnight",62.4%
volume21article33_1_1,"anhydrous zinc chloride, glacial acetic acid, resorcinol","165 g (1.2 moles), 165 g (158 ml, 2.7 moles), 110 g (1 mole)",resacetophenone,93-99 g,"glacial acetic acid, hydrochloric acid, water",140-159°C,20 minutes,61-65%
volume21article34_1_1,"Anhydrous nitric acid, acetic anhydride","31.5 g (0.5 mole), 51 g (0.5 mole)",Tetranitromethane,14-16 g,N/A,Below 10°C,7 days,57-65%
volume21article35_1_1,"benzaldehyde, m-toluidine","106 g (1 mole), 107 g (1 mole)",m-tolylbenzylamine,175-185 g,ether,60°C,15 minutes,89-94%
volume22article1_1_1,"d-glucose monohydrate, acetic anhydride, sulfuric acid","66 g (0.33 mole), 302 g, 3 small drops",Acetobromoglucose,110-120 g,"acetic anhydride, acetic acid",100°C,2 hours,80-87%
volume22article2_1_1,"N-phenylanthranilic acid (or acridone), phosphorus oxychloride, ammonia, chloroform, phenol, ammonium carbonate, sodium hydroxide","50 g (0.23 mole), 160 ml (270 g, 1.76 moles), N/A, 200 ml, 250 g (2.7 moles), 30 g (0.38 mole), 60 g, 300 ml","9-chloroacridine, 9-aminoacridine hydrochloride","50 g, 34-38 g","chloroform, oil bath","85-90°C, 135-140°C, 70°C, 120°C","2 hours, 45 minutes","Practically theoretical, 76-85% based on phenylanthranilic acid or acridone"
volume22article3_1_1,"2-nitro-p-cymene, ethanol, Raney nickel","179 g (167 ml, 1 mole), 300 ml, 3-5 g",2-AMINO-p-CYMENE,130-135 g,ethanol,80-90°C,"15 minutes, 30 minutes",87-90%
volume22article4_1_1,"sodium cyanide, ammonium chloride, ammonium hydroxide, diethyl ketone","50 g (1 mole), 58.9 g (1.1 moles), 67 ml (1 mole), 86.1 g (1 mole)",α-aminodiethylacetic acid,58.8-65 g,"water, methanol",55-60°C,5 hours,39-43%
volume22article5_1_1,"p-toluidine, concentrated sulfuric acid, sodium thiocyanate, sulfuryl chloride","107 g (1 mole), 54 g (29.3 ml, 0.55 mole), 90 g (1.1 moles), 180 g (108 ml, 1.34 moles)",2-amino-6-methylbenzothiazole,100-105 g,chlorobenzene,100°C,3 hours,64-67%
volume22article6_1_1,"28% aqueous ammonia, zinc chloride, 3-hydroxy-2-naphthoic acid","600 ml (9.5 moles), 78 g (0.57 mole), 167 g (0.89 mole)",3-amino-2-naphthoic acid,110-115 g,water,195°C,36 hours,66-70%
volume22article7_1_1,"sodium cyanide, ammonium chloride, benzaldehyde, methanol, hydrochloric acid, Norit, ammonium hydroxide, sodium hydroxide","100 g (2.0 moles), 118 g (2.2 moles), 212 g (2.0 moles), 400 ml, N/A, 10 g, N/A, N/A",dl-α-aminophenylacetic acid,98-112 g,"water, benzene, 6 N hydrochloric acid, Norit, ammonium hydroxide, 1 N sodium hydroxide, ethanol","room temperature, reflux","2 hours, N/A",33-37%
volume22article8_1_1,"sodium, hydroxylamine hydrochloride, cinnamic acid","46 g (2 gram atoms), 139 g (2 moles), 148 g (1 mole)",dl-β-amino-β-phenylpropionic acid,56 g,"ethanol, water",reflux,9 hours,34%
volume22article9_1_1,"Nitrobenzene, sodium hydroxide, zinc dust","250 g (208 ml, 2 moles), 325 g (8.1 moles), 265 g (4.1 moles)",Azobenzene,156-160 g,Methanol,Reflux,10 hours,84-86%
volume22article10_1_1,"phthalide, potassium cyanide","100 g, 100 g",o-Carboxyphenylacetonitrile,80-100 g,N/A,180-190°C,4-5 hours,67-83%
volume22article11_1_1,"p-acetaminobenzenesulfinic acid, sodium hydroxide, ethylene glycol, carbitol or methyl carbitol, 4-chloronitrobenzene, stannous chloride dihydrate, concentrated hydrochloric acid, 40% sodium hydroxide solution","155 g (0.78 mole), 31.5 g, 75 ml, 120 ml, 31.5 g, 300 g, 300 ml, 1.35 l","4,4'-diaminodiphenylsulfone",55-57 g,"water, ethylene glycol, carbitol or methyl carbitol, 95% ethanol, concentrated hydrochloric acid, 40% sodium hydroxide solution",N/A,"1.5 hours, overnight, 2 hours, 30 minutes",74-77%
volume22article12_1_1,"m-dinitrobenzene, potassium cyanide","500 g (2.97 moles), 230 g",2-Nitro-6-methoxybenzonitrile,120-125 g,methanol,40°C,2-3 days,22-23%
volume22article12_2_1,"Crude nitrile, potassium hydroxide, methanol",N/A,"2,6-Dimethoxybenzonitrile",75-86 g,methanol,Reflux,2 hours,15-17%
volume22article13_1_1,"1,4-naphthoquinone, 2,3-dimethylbutadiene-1,3","80 g (0.5 mole), 80 g (1 mole)","2,3-dimethylanthraquinone",116 g,alcohol,reflux,5 hours,96%
volume22article13_1_2,"2,3-dimethylanthraquinone",40 g,"2,3-dimethylanthraquinone",36.5-37.5 g,5% ethanolic potassium hydroxide solution,N/A,24 hours,94-96%
volume22article14_1_1,"Pinacol, hydrobromic acid","354 g (3 moles), 10 ml","2,3-Dimethylbutadiene, Pinacolone","135-147 g, 66-75 g",water,N/A,2 hours,"55-60%, 22-25%"
volume22article14_2_1,Pinacol or pinacolone,100 g,"2,3-dimethyl-1,3-butadiene",55-60 g,N/A,420-470°C,15 minutes,79-86%
volume22article15_1_1,"5-nitro-2-aminotoluene, concentrated sulfuric acid, potassium persulfate","50 g (0.33 mole), 200 ml, 300 g",2-nitroso-5-nitrotoluene,30-39 g,water,"Room temperature, 40°C","4 hours, 2 hours",55-71%
volume22article15_2_1,"2-nitroso-5-nitrotoluene, potassium dichromate, sulfuric acid","20 g (0.12 mole), 50 g (0.17 mole), 175 ml","2,5-Dinitrobenzoic acid",14-17 g,water,5-65°C,"20 minutes, 1 hour",55-66%
volume22article16_1_1,"benzoic acid, concentrated sulfuric acid, fuming nitric acid","61 g (0.5 mole), 300 ml, 100 ml","3,5-dinitrobenzoic acid",57-61 g,N/A,"70-90°C, steam bath, 135-145°C","4 hours, overnight, 3 hours, 3 hours",54-58%
volume22article16_2_1,"benzoic acid, sulfuric acid, fuming nitric acid","200 g (1.6 moles), 1 L, 80 ml, 240 ml","3,5-dinitrobenzoic acid",200-213 g,concentrated sulfuric acid,"below 45°C, 30°C, 145°C","6 weeks, 4 hours",60%
volume22article17_1_1,"trans-stilbene, bromine, potassium hydroxide, ethanol","45 g (0.25 mole), 13.8 ml (43 g; 0.27 mole), 90 g, 150 ml",diphenylacetylene,29.2-30.5 g,ether,reflux,24 hours,66-69%
volume22article18_1_1,"iodosobenzene, iodoxybenzene, sodium hydroxide, potassium iodide","22 g (0.1 mole), 24 g (0.1 mole), 200 ml, 20 g (0.12 mole)",diphenyliodonium iodide,29-30 g,water,N/A,24 hours,70-72%
volume22article19_1_1,"Glucose, emulsin, toluene, baker's yeast, calcium carbonate, sodium acetate, acetic anhydride","1.65 kg (8.3 moles), 15 g, 20 ml, 56 g, N/A, 100 g, 1.125 l",β-Gentiobiose octaacetate,77-87 g,"water, methanol, ether","Room temperature, 28-32°C, boiling point","5 weeks, 12-14 days, 30 minutes, 20 minutes",77-87%
volume22article20_1_1,"Anhydrous glucose, trityl chloride, pyridine, acetic anhydride","120 g (0.67 mole), 193.2 g (0.7 mole), 500 ml, 360 ml","6-Trityl-β-d-glucose-1,2,3,4-tetraacetate",137 g,pyridine,"Steam cone, N/A","12 hours, 2 hours",35%
volume22article20_2_1,"6-trityl-β-d-glucose-1,2,3,4-tetraacetate, hydrogen bromide","46 g (0.078 mole), 18 ml","β-d-Glucose-1,2,3,4-tetraacetate",15 g,acetic acid,10°C,45 seconds,55%
volume22article21_1_1,"thiourea, ethyl bromide","150 g (1.97 moles), 250 g (2.29 moles)",S-Ethylthiourea hydrobromide,340-360 g,absolute ethanol,55-65°C,3 hours,93-99%
volume22article21_2_1,"S-ethylthiourea hydrobromide, sodium hydroxide, glycine","92.5 g (0.50 mole), 252 ml, 41 g",Guanidoacetic acid,47-53 g,"water, ether, ethanol",25°C,overnight,80-90%
volume22article22_1_1,"β-naphthol, sodium hydroxide, chloroform","100 g (0.69 mole), 200 g (5 moles), 131 g (1.1 moles)",2-hydroxy-1-naphthaldehyde,45.2-57.5 g,"ethanol, water",70-80°C,1 hour,38-48%
volume22article23_1_1,"d-tartaric acid, nitric acid, fuming nitric acid, sulfuric acid","200 g (1.33 moles), 432 ml, 432 ml, 800 ml","Imidazole-4,5-dicarboxylic acid",90-100 g,water,20-25°C,3 hours,43-48%
volume22article23_1_2,"Imidazole-4,5-dicarboxylic acid, copper-chromium oxide catalyst or powdered copper oxide",N/A,Imidazole,13-14.5 g,benzene,260°C,N/A,68-76%
volume22article24_1_1,"iodobenzene, chlorine","102 g (0.5 mole), excess",iodobenzene dichloride,120-134 g,chloroform,ice-salt mixture,3 hours,87-94%
volume22article25_1_1,"iodobenzene dichloride, sodium carbonate, sodium hydroxide","55 g (0.2 mole), 50 g, 140 ml",iodosobenzene,26-27 g,water,N/A,overnight,60-62%
volume22article26_1_1,iodosobenzene,110 g (0.5 mole),Iodoxybenzene,54-56 g,water,N/A,N/A,92-95%
volume22article26_2_1,"iodobenzene dichloride, sodium hypochlorite solution, glacial acetic acid","110 g (0.4 mole), 1.0 mole, 2 ml",iodoxybenzene,82-87 g,water,65-75°C,1 hour,87-92%
volume22article27_1_1,"sunflower-seed oil, potassium hydroxide, sulfuric acid","110 ml (100 g, 0.11 mole), 40 g (0.71 mole), 150 ml",Fatty acids (linoleic acid),90-95 g,glycerin,120-140°C,N/A,N/A
volume22article27_2_1,Fatty acids,N/A,Tetrabromostearic acid,35-40 g,petroleum ether,0-10°C,20-25 minutes,32-36%
volume22article27_3_1,"recrystallized tetrabromostearic acid, absolute ethanol, granulated zinc, hydrochloric acid","26-30 g, 85 ml, 30 g, 10 ml",Ethyl linoleate,12-15 g,ethanol,Reflux,"30 minutes (reflux), 2 hours (esterification), 1 hour (reflux)",N/A
volume22article27_4_1,"Ester, sodium hydroxide, sulfuric acid",N/A,Linoleic acid,10-12 g,"ethanol, water",Room temperature,Overnight,N/A
volume22article28_1_1,Linseed oil,N/A,Linolenic acid,N/A,N/A,N/A,N/A,N/A
volume22article28_2_1,"Fatty acids, bromine","90-95 g, 35 ml",Hexabromostearic acid,20-22 g,ethyl ether,0-10°C,overnight,N/A
volume22article28_2_2,"Crude hexabromostearic acid, dioxane","100 g, 600 ml",Hexabromostearic acid,80 g,dioxane,70-80°C,several hours or overnight,N/A
volume22article28_3_1,"Hexabromide, ethanol, zinc, ethanol-hydrochloric acid","80 g, 190 ml, 40 g, 10 ml",Ethyl linolenate,N/A,ethanol,Reflux,"1 hour, 6 hours, 3 hours",N/A
volume22article28_4_1,Ester,N/A,Linolenic acid,22-24 g,"ethanolic solution of sodium hydroxide, dilute sulfuric acid",Room temperature,Overnight,N/A
volume22article29_1_1,"α-methyl-d-mannoside, sulfuric acid","200 g (1.03 moles), 3.2 l (2 N sulfuric acid)",D-mannose,112-115 g,"water, glacial acetic acid, dry ethanol, dry ether","Steam distillation, 60°C","1 hour (steam distillation), overnight (standing), 1-2 days (refrigeration)",60%
volume22article30_1_1,"creatinine, vanillin","11.3 g (0.1 mole), 24 g (0.16 mole)",5-(3-Methoxy-4-hydroxybenzal)creatinine,24 g (95%),N/A,170°C,N/A,N/A
volume22article30_2_1,"crude condensation product, sodium amalgam","24 g (0.1 mole), 180 g",5-(3-Methoxy-4-hydroxybenzyl)creatinine,17.5-18 g,water,N/A,45-60 minutes,72-74%
volume22article30_3_1,Crude reduction product,18 g (0.07 mole),N-Methyl-(3-methoxy-4-hydroxyphenyl)alanine,12 g,water,reflux,12 hours,74%
volume22article30_4_1,"Methoxy compound, red phosphorus, acetic anhydride, hydriodic acid","12 g (0.05 mole), 24 g, 60 ml, 60 ml","N-Methyl-3,4-dihydroxyphenylalanine",9.5 g (82%),"acetic anhydride, hydriodic acid",Boiling,3 hours,82%
volume22article31_1_1,"sodium amide, acetyl-o-toluidine","64 g, 100 g",2-methylindole,70-72 g,"dry ether, 95% ethanol, water",240-260°C,10 minutes,80-83%
volume22article32_1_1,"phenylhydrazine, hydrochloric acid, sodium nitrite","33.5 g (0.31 mole), 55.5 ml, 25 g",phenyl azide,24-25 g,"water, ether","0°C, 25-30°C, 60-65°C","5-10 minutes, 25-30 minutes, N/A",65-68%
volume22article33_1_1,"acetophenone phenylhydrazone, anhydrous zinc chloride, water, concentrated hydrochloric acid","53 g (0.25 mole), 250 g, 800 ml, 25 ml",2-phenylindole,"30-33 g (first crop), 5-6 g (second crop)",N/A,170°C,"3-4 minutes (stirring), overnight (digesting), N/A (boiling), N/A (cooling)",72-80%
volume23article1_1_1,"isonitrosopropiophenone, sulfuric acid","50 g (0.31 mole), 500 g",Acetylbenzoyl,30-32 g,water,N/A,6 hours,66-70%
volume23article2_1_1,"alloxantin dihydrate, fuming nitric acid","25 g (0.078 mole), 3.6 ml",alloxan monohydrate,18-19 g,water,50-65°C,10-15 minutes,72-76%
volume23article2_2_1,"barbituric acid, benzaldehyde","128 g (1 mole), 115 g (110 ml, 1.08 moles)",Benzalbarbituric acid,190-205 g,water,Steam bath,1 hour,88-95%
volume23article2_3_1,"benzalbarbituric acid, chromium trioxide","180 g (0.83 mole), 162 g (1.62 moles)",Alloxan monohydrate,105-112 g,"acetic acid, water",50-60°C,30 minutes,79-84%
volume23article3_1_1,"Uric acid, concentrated hydrochloric acid, potassium chlorate","15 g (0.09 mole), 30 g (25.2 ml), 4 g (0.014 mole)",Alloxantin dihydrate,8-10 g,water,30°C,45 minutes,55-69%
volume23article4_1_1,"Vinyl acetate, bromine","430 g (5 moles), 255 ml (5 moles)",Bromoacetal,610-625 g,ethanol,"-10°C, room temperature","8-10 hours, overnight",62-64%
volume23article5_1_1,"3-bromo-4-aminotoluene, concentrated sulfuric acid, sodium nitrite","75 g (0.4 mole), 72 ml, 32.2 g (0.47 mole)",3-bromo-4-hydroxytoluene,60-69 g,"water, ether, sodium bicarbonate solution, sodium hydroxide solution, hydrochloric acid","Below 5°C, 130-135°C","15 minutes, 3-3.5 hours",80-92%
volume23article6_1_1,"Toluene, phosgene, benzyl alcohol","500 g, 109 g (1.1 moles), 108 g (104 ml, 1 mole)",Benzyl chloroformate,155-160 g,Toluene,"Ice bath, room temperature","30 minutes (ice bath), 2 hours (room temperature)",91-94%
volume23article6_2_1,"benzyl chloroformate, concentrated ammonium hydroxide",N/A,benzyl carbamate,7.0-7.2 g,N/A,room temperature,30 minutes,91-94%
volume23article6_3_1,"glycine, benzyl chloroformate, sodium hydroxide, hydrochloric acid","7.5 g (0.1 mole), 17 g (0.1 mole), 50 ml, N/A",carbobenzoxyglycine,18-19 g,"toluene, ether",ice bath,"20-25 minutes, 10 minutes",86-91%
volume23article7_1_1,"ethyl malonate, trimethylene bromide, sodium, ethanol, potassium hydroxide, barium chloride, hydrochloric acid","160 g (1 mole), 212 g (1.05 moles), 46 g (2 gram atoms), 800 ml, 112 g, N/A, N/A","1,1-Cyclobutanedicarboxylic acid",30-34 g,"ethanol, water, ether, ethyl acetate","60-65°C, reflux, boiling","2 hours, 4 l distillate, 2 hours reflux, few minutes boiling, N/A",21-23%
volume23article7_2_1,Dibasic acid,N/A,Cyclobutanecarboxylic acid,18-21 g,N/A,"160-170°C, 210-220°C",N/A,18-21%
volume23article8_1_1,"γ-chlorobutyronitrile, sodium, liquid ammonia","440 g (4.25 moles), 92 g (4 gram atoms), 1.5 L","Cyclopropyl cyanide, γ-chlorobutyronitrile","149-152 g, 52-62 g","liquid ammonia, dry ether",N/A,"1-2 hours, 2 hours",52-53%
volume23article9_1_1,"di-n-butylaminoethyl bromide hydrobromide, ammonia, ethanol, sodium hydroxide","49 g (0.16 mole), 41 g (2.4 moles), 325 ml, 16 g",β-DI-n-BUTYLAMINOETHYLAMINE,11-14.7 g,ethanol,Room temperature,6 days,41-55%
volume23article10_1_1,Tetrahydrofurfuryl alcohol,"204 g (195 ml, 2 moles)",Dihydropyran,110-118 g,N/A,300-340°C,N/A,66-70%
volume23article11_1_1,"mesityl oxide, potassium hypochlorite","100 g (1.02 moles), 4.6 moles","β,β-Dimethylacrylic acid",49-53 g,"dioxane, water",Room temperature,3-4 hours,49-53%
volume23article12_1_1,"acetophenone, dimethylamine hydrochloride, paraformaldehyde","60 g (58.5 ml, 0.5 mole), 52.7 g (0.65 mole), 19.8 g (0.22 mole)",β-Dimethylaminopropiophenone hydrochloride,72-77 g,"ethanol, acetone",reflux,2 hours,68-72%
volume23article13_1_1,"β-ethoxyethyl alcohol, phosphorus tribromide","630 g (670 ml, 7 moles), 600 g (210 ml, 2.2 moles)",β-ethoxyethyl bromide,660-670 g,N/A,Reflux,1.5-2 hours,65-66%
volume23article14_1_1,"sodium cyanide, β-ethoxyethyl bromide","175 g (3.6 moles), 535 g (360 ml, 3.5 moles)",β-ethoxypropionitrile,178-200 g,"water, ethanol",reflux,10 hours,52-58%
