volume46article12_1_1,"1-bromo-2-fluoroheptane, dry sodium iodide, anhydrous sodium acetate","29.6 g (0.150 mole), 22.5 g (0.150 mole), 24.6 g (0.30 mole)",2-fluoroheptyl acetate,16.6-20.6 g,dimethylformamide,120-130°C,40 hours,63-78%
volume46article12_2_1,"2-fluoroheptyl acetate, glacial acetic acid, nitric acid","17.6 g (0.100 mole), 50 ml, 60 ml",2-Fluoroheptanoic acid,11.5-12.5 g,water,48-50°C,25 hours,78-84%
volume46article13_1_1,"triethyl orthoformate, glacial acetic acid","90.0 g, 49.2 g",Formamidine acetate,53.0-55.8 g,N/A,125-130°C,20-30 minutes,83.8-88.2%
volume46article14_1_1,"phosphorus trichloride, anhydrous dimethylamine","137.3 g (1.0 mole), excess",hexamethylphosphorous triamide,152-154 g,dry ether,0-15°C,overnight,94-95%
volume46article15_1_1,"benzophenone, tetraphenylcyclopentadienone, diphenylacetylene","40 g, 8.0 g (0.021 mole), 8.0 g (0.043 mole)",Hexaphenylbenzene,9.4 g,diphenyl ether,Reflux,45 minutes,84%
volume46article16_1_1,"magnesium sulfate heptahydrate, potassium cyanide, epichlorohydrin","493 g (2.00 moles), 143 g (2.20 moles), 102 g (1.10 moles)",3-Hydroxyglutaronitrile,65-75 g,water,"8-12°C, room temperature","45 minutes, 24 hours",54-62%
volume46article17_1_1,"chlorosulfonyl isocyanate, isobutylene","47.1 g (0.33 mole), 19.5 g (0.35 mole)",β-Isovalerolactam-N-sulfonyl chloride,"52-56 g (10-20% water), 43-46 g (anhydrous)","sulfur dioxide, water","-40 to -50°C, -6°C",20 minutes,65-70%
volume46article17_2_1,"β-isovalerolactam-N-sulfonyl chloride, sodium hydroxide","52-56 g (about 0.20-0.22 mole), N/A",β-Isovalerolactam,16.7-17.3 g,water,20-25°C,"1-3 hours (for first quarter to half of sulfonyl chloride), 30 minutes to 1 hour (for remainder of sulfonyl chloride)",51-53% overall from chlorosulfonyl isocyanate
volume46article18_1_1,"benzoylacetone, methyl anisate, sodium hydride","8.1 g (0.050 mole), 12.5 g (0.075 mole), 6 g (0.25 mole)","1-(p-methoxyphenyl)-5-phenyl-1,3,5-pentanetrione",11.4-12.8 g,monoglyme,Reflux,6 hours,77-86%
volume46article19_1_1,"1-(p-methoxyphenyl)-5-phenyl-1,3,5-pentanetrione, concentrated sulfuric acid","2.96 g (0.010 mole), 10 ml",2-(p-methoxyphenyl)-6-phenyl-4-pyrone,2.46-2.72 g,N/A,0°C,1 hour,88-98%
volume46article20_1_1,"diphenyl disulfide, lead tetraacetate","54.6 g (0.25 mole), 443.4 g (1.00 mole)",methyl benzenesulfinate,48.6-53 g,"chloroform, methanol",reflux,overnight,62-68%
volume46article21_1_1,"2-aminobiphenyl, boron trichloride, aluminum chloride","250 g (1.48 moles), 250 g (174 ml, 2.14 moles), 15 g, 5 g","Bis(10,9-borazarophenanthryl) ether",221-250 g,xylene,Reflux,16 hours,80-91%
volume46article21_2_1,"bis(10,9-borazarophenanthryl) ether, methylmagnesium bromide solution in ether",N/A,"10-Methyl-10,9-borazarophenanthrene",155-182 g,anhydrous ether,reflux,overnight,54-65%
volume46article22_1_1,"2-methylcyclohexanol, sulfuric acid, formic acid","28.5 g (0.25 mole), 497 g (4.86 moles), 3 ml",1-methylcyclohexanecarboxylic acid,31.5-33.5 g,hexane,15-20°C,1 hour,89-94%
volume46article23_1_1,"quinoline, p-toluenesulfonyl chloride, N-methylformamide","1034 g (8.0 moles), 572 g (3.0 moles), 118 g (2.0 moles)",methyl isocyanide,57-61 g,N/A,75°C,45-60 minutes,69-74%
volume46article24_1_1,"Sodium metaperiodate, thioanisole","22.5 g (0.105 mole), 12.4 g (0.100 mole)",Methyl phenyl sulfoxide,12.7-12.8 g,"water, methylene chloride",Ice bath,15 hours,91%
volume46article25_1_1,"o-nitrotoluene, N-bromosuccinimide, benzoyl peroxide","102 g (0.744 mole), 120 g (0.675 mole), 1.0 g",o-Nitrobenzylpyridinium bromide,N/A,carbon tetrachloride,Reflux,6-8 hours,N/A
volume46article25_2_1,"o-nitrobenzylpyridinium bromide, p-nitrosodimethylaniline hydrochloride, sodium hydroxide","wet o-nitrobenzylpyridinium bromide, 100 g (0.536 mole), 54 g (1.35 mole)",N-(p-dimethylaminophenyl)-α-(o-nitrophenyl)nitrone,N/A,ethanol,0-5°C,1 hour,N/A
volume46article25_3_1,N-bromosuccinimide,N/A,o-Nitrobenzaldehyde,48-54 g,"sulfuric acid, crushed ice",N/A,10 minutes,47-53%
volume46article26_1_1,"o-nitrobiphenyl, hydrogen","60 g (0.30 mole), N/A",o-Aminobiphenyl,48-51 g,ethanol,N/A,70 minutes,94-100%
volume46article26_2_1,"o-aminobiphenyl, concentrated sulfuric acid, fuming nitric acid, sodium hydroxide","45.0 g (0.27 mole), 400 ml, 30 ml, 11.0 ml",o-Amino-p'-nitrobiphenyl,32-42 g,"water, ethanol",0-5°C,45 minutes,56-74%
volume46article26_3_1,"o-amino-p'-nitrobiphenyl, sulfuric acid, sodium nitrite, sodium azide","32.1 g (0.15 mole), 30 ml, 11 g (0.16 mole), 12 g (0.17 mole)",o-Azido-p'-nitrobiphenyl,35.5-36 g,water,0-5°C,"45 minutes, 40 minutes",99-100%
volume46article26_4_1,o-azido-p'-nitrobiphenyl,35.5 g (0.15 mole),2-Nitrocarbazole,24-26.5 g,o-dichlorobenzene,>170°C,1 hour,77-85%
volume46article27_1_1,"Palladous chloride, hydrochloric acid, sodium hydroxide, calcium carbonate, sodium formate, lead acetate","1.48 g (0.0083 mole), 3.6 ml (0.043 mole), N/A, 18 g, 6.0 ml, 18 ml",Palladium catalyst,19-19.5 g,water,75-85°C,"15 minutes (for precipitation), 40 minutes (for reduction), 45 minutes (for lead acetate treatment)",N/A
volume46article28_1_1,"decachlorobi-2,4-cyclopentadienyl, triisopropyl phosphite","47.5 g (0.100 mole), 25.2 g (0.121 mole)",perchlorofulvalene,26-29 g,petroleum ether,20-24°C,"50-80 minutes, 20 minutes",65-72%
volume46article29_1_1,"N-Phenylhydroxylamine, N-phenylmaleimide, n-butyraldehyde","11 g (0.10 mole), 17.4 g (0.10 mole), 8.98 g (11.2 ml, 0.124 mole)","2-Phenyl-3-n-propylisoxazolidine-4,5-cis-dicarboxylic acid N-phenylimide",26-27 g,ethanol,Boiling,1 day,77-80%
volume46article30_1_1,"sodium trichloroacetate, phenylmercuric chloride","27.8 g (0.15 mole), 31.3 g (0.1 mole)",Phenyl(trichloromethyl)mercury,25.6 g,dimethoxyethane,reflux (~85°C),~1 hour,65%
volume46article31_1_1,coumalic acid,37.5 g (0.266 mole),α-pyrone,16.9-18 g,N/A,"650-670°C, 180-215°C",N/A,66-70%
volume46article32_1_1,"o-iodobenzoic acid, potassium persulfate","20 g (0.081 mole), 26 g (0.096 mole)",Diphenyliodonium-2-carboxylate,20-22 g,"concentrated sulfuric acid, thiophene-free benzene, distilled water, ammonium hydroxide, methylene chloride","10°C, -15°C, 15-25°C","20 minutes, 1 hour",72-79%
volume46article32_2_1,"diethylbenzene, tetraphenylcyclopentadienone, diphenyliodonium carboxylate monohydrate","60 ml, 10 g (0.026 mole), 11.8 g (0.035 mole)","1,2,3,4-Tetraphenylnaphthalene",9.2-10.2 g,diethylbenzene,Reflux,10-15 minutes,82-90%
volume46article33_1_1,"Epichlorohydrin, boron fluoride etherate","140 g (119 ml, 1.51 moles), 284 g (252 ml, 2.00 moles)",Triethyloxonium fluoborate,244-272 g,sodium-dried ether,"reflux, room temperature","1 hour, overnight",85-95%
volume46article34_1_1,"toluene, lithium metal, 2,6-dimethylphenol","150 ml, 1.40 g (0.202 mole), 25.0 g (0.205 mole)","lithium 2,6-dimethylphenoxide",25.0-25.5 g,toluene,reflux,36 hours,98-100%
volume46article34_2_1,"lithium 2,6-dimethylphenoxide, methyl iodide","25.0 g (0.195 mole), 75 ml (170 g, 1.20 moles)","2,6,6-Trimethyl-2,4-cyclohexadienone",4.8-5.1 g,"ether, Claisen's alkali, water",135°C,36 hours,18-19%
volume46article35_1_1,"triethyloxonium fluoborate, dimethyl ether","170 g (0.90 mole), 138 g (3.00 moles)",trimethyloxonium fluoborate,114-124 g,methylene chloride,Room temperature,Overnight,86-94%
volume46article36_1_1,"Nitrosomethylurea, potassium hydroxide, diazomethane, 2,4,6-Trinitrobenzenesulfonic acid","15.0 g (0.146 mole), 20 g, 4.2 g (0.10 mole), 14.7 g (0.050 mole)","Trimethyloxonium 2,4,6-trinitrobenzenesulfonate",12-14 g,"xylene, acetone, dimethyl ether, ethyl acetate","20-25°C, -35 to -40°C, room temperature",N/A,68-79%
volume46article37_1_1,"N-phenylhydroxylamine, benzaldehyde","27.3 g (0.25 mole), 26.5 g (25.3 ml, 0.25 mole)","N,α-Diphenylnitrone",35-39 g,ethanol,Room temperature,Overnight,71-79%
volume46article37_2_1,"N,α-diphenylnitrone, styrene","20.0 g (0.101 mole), 50 ml (0.43 mole)","2,3,5-Triphenylisoxazolidine",23-25 g,"petroleum ether, methylene chloride, methanol","60°C, boiling, room temperature","40 hours, N/A, 3 hours",76-82%
volume47article1_1_1,"mesitylene, titanium tetrachloride, dichloromethyl methyl ether","72 g (0.60 mole), 190 g (110 ml, 1.0 mole), 57.5 g (0.5 mole)",mesitaldehyde,60-66 g,methylene chloride,"Ice bath, 35°C","5 minutes (in ice bath), 30 minutes (without cooling), 15 minutes (at 35°C)",81-89%
volume47article2_1_1,"2-Nitroaniline, sulfuric acid, phosphoric acid, water, sodium nitrite, sulfamic acid, liquid sulfur dioxide, FeSO4·7 H2O, defatted copper powder, ether, methylene chloride, calcium chloride, dilute ammonia, hydrochloric acid","13.8 g (0.10 mole), 75 ml, 100 ml, 50 ml, 8.3 g (0.12 mole), N/A, 50 ml, 55.6 g (0.20 mole), 1 g, 750 ml, 750 ml, N/A, N/A, 6N",2-Nitrobenzenesulfinic acid,9.4-14.9 g,"sulfuric acid, phosphoric acid, water, ice bath, ice-salt bath","10-15°C, -10°C",30 minutes,50-80%
volume47article2_2_1,"2-Nitrobenzenesulfinic acid, NaOH, palladium oxide","3.74 g (0.020 mole), N/A, 0.2-1.0 g",Sodium 2-aminobenzenesulfinate,3.05-3.20 g,water,N/A,2-6 hours,85-89%
volume47article2_3_1,"sodium 2-aminobenzenesulfinate, sodium nitrite","1.43 g (0.0080 mole), 0.55 g (0.0080 mole)","1,2,3-Benzothiadiazole 1,1-dioxide",0.77-1.04 g,"water, sulfuric acid, glycerol, ether",-15°C,2 hours,57-77%
volume47article3_1_1,"cis,cis-1,5-cyclooctadiene, benzoyl peroxide","325 g (3.0 moles), 14.6 g (0.06 mole)",2-(Trichloromethyl)bicyclo[3.3.0]octane,106-117 g,chloroform,reflux,5 days,approximately 35%
volume47article3_2_1,"2-(trichloromethyl)bicyclo[3.3.0]octane, phosphoric acid","100 g (0.440 mole), 500 ml",exo-cis-Bicyclo[3.3.0]octane-2-carboxylic acid,29-32 g,"water, ether, 2% aqueous sodium hydroxide, concentrated hydrochloric acid",150°C,16 hours,43-47%
volume47article4_1_1,"N,N'-diphenylethylenediamine, triethyl orthoformate","20 g (0.094 mole), 100 ml","Bis(1,3-diphenylimidazolidinylidene-2)",19-20 g,triethyl orthoformate,190-200°C,5 hours,91-95%
volume47article5_1_1,"anhydrous aluminum chloride, lithium aluminum hydride, 4-t-butylcyclohexanone","67 g (0.5 mole), 5.5 g, 77.2 g (0.5 mole)",trans-4-t-butylcyclohexanol,57-61 g,dry ether,reflux,"2 hours, 4 hours, overnight",73-78%
volume47article6_1_1,"sodium hydride, diethyl carbonate, cyclooctanone","35 g (0.85 mole), 71 g (0.6 mole), 38 g (0.3 mole)",2-carbethoxycyclooctanone,54-56 g,benzene,reflux,3-4 hours,91-94%
volume47article7_1_1,Cholane-24-ol,1.033 g (3 mmoles),Cholane-24-al,870 mg,"benzene, dimethyl sulfoxide",Room temperature,18 hours,84%
volume47article8_1_1,"cyclobutanecarboxylic acid, sodium azide, sulfuric acid, sodium hydroxide","16.0 g (0.16 mole), 20.0 g (0.31 mole), 48 ml, 100 g",Cyclobutylamine,7-9 g,chloroform,45-50°C,1.5 hours,60-80%
volume47article9_1_1,"triethylene glycol dimethyl ether, isopropyl alcohol, sodium hydride, 1,2-dibromocyclohexane","500 ml, 300 ml, 53.5 g (2.23 moles), 242 g (1.00 mole)","1,3-cyclohexadiene","56 g (70%), 28-32 g (35-40%)",N/A,100-110°C,30 minutes,"70%, 35-40%"
volume47article10_1_1,"Cyclohexanecarbonyl chloride, triethylamine","30.0 g (0.205 mole), 35.0 g (0.35 mole)","Dispiro[5.1.5.1]tetradecane-7,14-dione",11-13 g,benzene,Reflux,Overnight,49-58%
volume47article10_2_1,"dispiro[5.1.5.1]tetradecane-7,14-dione",15 g (0.068 mole),Cyclohexylidenecyclohexane,5.5 g,methylene chloride,N/A,8-10 hours,49%
volume47article11_1_1,"cyclohexanone, 1,2-ethanediol, p-toluenesulfonic acid monohydrate","118 g (1.20 moles), 82 g (1.32 moles), 0.05 g","1,4-Dioxaspiro[4.5]decane",128-145 g,benzene,Reflux,6 hours,75-85%
volume47article11_2_1,"1,4-dioxaspiro[4.5]decane, anhydrous aluminum chloride, lithium aluminum hydride","125 g (0.88 mole), 242 g (1.81 moles), 16.7 g (0.44 mole)",2-Cyclohexyloxyethanol,105-119 g,ether,Reflux,3 hours,83-94%
volume47article12_1_1,"p-cymene, hydrogen fluoride, boron trifluoride","67 g (0.5 mole), 135 ml, N/A",m-cymene,50-54 g,N/A,-50°C to -60°C,30 minutes + additional 30 minutes,75-80%
volume47article13_1_1,"2-phenylethylamine, pyridine, benzoyl chloride","12.1 g (0.10 mole), 7.9 g (0.10 mole), 15.5 g (0.11 mole)",N-(2-Phenylethyl)benzamide,20-22 g,chloroform,Ice bath,N/A,89-98%
volume47article13_2_1,"N-(2-phenylethyl)benzamide, anhydrous sodium acetate, glacial acetic acid","10.4 g (0.046 mole), 7.36 g (0.09 mole), 50 ml",N-Nitroso-N-(2-phenylethyl)benzamide,7.5 g,glacial acetic acid,Room temperature,15 minutes,64%
volume47article13_3_1,"N-nitroso-N-(2-phenylethyl)benzamide, sodium carbonate",N/A,2-Phenylethyl benzoate,5.8-6.1 g,carbon tetrachloride,Reflux,24 hours,56-59%
volume47article14_1_1,"triphenylphosphine, benzaldehyde, sodium chlorodifluoroacetate","23.1 g (0.088 mole), 8.5 g (0.081 mole), 18.3 g (0.12 mole)","β,β-Difluorostyrene",7.6-8.9 g,"2,2'-dimethoxydiethyl ether (diglyme)",160°C,1.5-2 hours,67-79%
volume47article15_1_1,"phosphorus pentachloride, phosphorus oxychloride, methyl formate","832 g (4.0 moles), 250 ml, 264 g (272 ml, 4.4 moles)",dichloromethyl methyl ether,353-386 g,N/A,10-20°C,N/A,77-84%
volume47article16_1_1,"dimethylformamide, dimethyl sulfate","73 g (1.0 mole), 126 g (1.0 mole)","N,N-Dimethylformamide-dimethyl sulfate complex",N/A,N/A,"50-60°C, 70-80°C",2 hours,N/A
volume47article16_1_6,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume47article16_1_7,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume47article16_1_8,"6-chlorofulvene, dimethylformamide-dimethyl sulfate complex","50 g (0.25 mole), 50 g (0.25 mole)",6-(Dimethylamino)fulvene,40-45 g,benzene,reflux,2 hours,80-90%
volume47article16_2_1,"cyclopentadienylsodium, dimethylformamide-dimethyl sulfate complex","1.0 mole, N/A",6-(Dimethylamino)fulvene,84-92 g,tetrahydrofuran,"-10°C, 20°C",2 hours,69-76%
volume47article17_1_1,"Polyphosphoric acid, glacial acetic acid, dibenzyl ketone","400 g, 250 ml, 42.0 g (0.200 mole)","2,6-dimethyl-3,5-diphenyl-4H-pyran-4-one",19-21 g,"benzene, hexane",Reflux (130-135°C),1.5 hours,34-38%
volume47article18_1_1,"Methylene chloride, red fuming nitric acid, anhydrous hydrogen fluoride, gaseous boron trifluoride","400 ml, 41 ml (65.5 g, 1.00 mole), 22 ml (22 g, 1.10 moles), 136 g (2.00 moles)",Nitronium tetrafluoroborate,85-106 g,"Nitromethane, methylene chloride",Cooling bath,1.5 hours,64-80%
volume47article18_2_1,"tetramethylene sulfone, nitronium tetrafluoroborate, o-tolunitrile","335 g, 73.1 g (0.55 mole), 58.5 g (0.50 mole)","3,5-Dinitro-o-tolunitrile",50-55 g,tetramethylene sulfone,"10-20°C, 100-115°C","15 minutes, 1 hour",48-53%
volume47article19_1_1,"dibenzyl ketone, bromine","70 g (0.33 mole), 110 g (0.67 mole)","α,α'-Dibromodibenzyl ketone",97 g + 11 g,"glacial acetic acid, acetic acid",N/A,5 minutes,N/A
volume47article19_2_1,"Dibromoketone, triethylamine, concentrated sulfuric acid, water, sodium carbonate","108 g (0.29 mole), 100 ml, 50 ml, 25 ml, 5 g",Diphenylcyclopropenone,30 g,"methylene chloride, cyclohexane",N/A,"1 hour, 30 minutes",44%
volume47article20_1_1,"Michler's ketone, butadiene","1 g, 250 ml (160 g, 3.0 moles)","cis- and trans-1,2-divinylcyclobutane",96-104 g,N/A,Room temperature,72 hours,60-65%
volume47article21_1_1,"ethyl p-nitrophenylacetate, formaldehyde, palladium on charcoal","41.8 g (0.20 mole), 40 ml, 2.0 g",ethyl p-dimethylaminophenylacetate,27.7-31.8 g,95% ethanol,N/A,2.5 hours,67-77%
volume47article22_1_1,"sodium amide, ethyl phenylacetate, (2-bromoethyl) benzene, ammonium chloride","0.1 mole, 16.4 g (0.1 mole), 18.5 g (0.1 mole), 5.35 g (0.1 mole)","ethyl 2,4-diphenylbutanoate",20.6-21.8 g,"liquid ammonia, ethyl ether",N/A,3 hours,77-81%
volume47article23_1_1,"n-butyric acid, hydrogen-reduced iron powder","370 ml (4 moles), 123 g (2.2 moles)",4-heptanone,157-171 g,N/A,Reflux,5 hours,69-75%
volume47article24_1_1,"α,α'-diamino-m-xylene, hexamethylenetetramine, hydrochloric acid, sodium hydroxide","272 g (261 ml, 2.00 moles), 1.00 kg (7.1 moles), 480 ml, 298 g",Isophthalaldehyde,158-166 g,50% aqueous acetic acid,Reflux,2.5 hours,59-62%
volume47article25_1_1,"2-methoxyethanol, metallic sodium, vinylidene chloride","152 g (2.00 moles), 46.0 g (2.00 moles), 120 g (1.24 moles)",Ketene di(2-methoxyethyl) acetal,98-132 g,xylene,130-150°C,2 hours,56-75%
volume47article26_1_1,"methyl anthranilate, 2,5-dimethoxytetrahydrofuran","90 g (0.59 mole), 78 g (0.59 mole)",1-(2-methoxycarbonylphenyl)pyrrole,84-96 g,glacial acetic acid,reflux,1 hour,70-80%
volume47article27_1_1,"sodium, ethanol, 2-butanone, diethyl oxalate","69.0 g (3 moles), 950 ml, 108 g (1.50 moles), 482 g (3.30 moles)","2-Methyl-4-ethoxalylcyclopentane-1,3,5-trione",180-200 g,ethanol,reflux,30 minutes,53-59%
volume47article27_2_1,"Keto ester, water, phosphoric acid","200 g (0.89 mole), 910 ml, 100 ml","2-Methylcyclopentane-1,3,5-trione hydrate",95-105 g,water,Reflux,4 hours,74-82%
volume47article27_3_1,"trione hydrate, sodium acetate, semicarbazide hydrochloride","144 g (1.00 mole), 150 g, 112 g (1.00 mole)","2-Methylcyclopentane-1,3,5-trione 5-semicarbazone",110-120 g,"water, ethanol",45°C,1.5 hours,60-66%
volume47article27_4_1,"potassium hydroxide pellets, ethylene glycol, semicarbazone","115 g (2.00 moles), 1150 ml, 115 g (0.628 mole)","2-Methylcyclopentane-1,3-dione",42-47 g,ethylene glycol,"130°C, 150°C, 180-185°C","30 minutes, 2 hours",60-67%
volume47article28_1_1,"Potassium carbonate, methallyl chloride, 2,4-pentanedione","78.0 g (0.56 mole), 45.0 g (0.50 mole), 55.0 g (0.55 mole)",5-methyl-5-hexen-2-one,26-29 g,ethanol,Reflux,16 hours,47-52%
volume47article29_1_1,"Nicotinic acid, anhydrous benzene, triethylamine, phosgene","10 g (0.081 mole), 275 ml, 8.65 g (0.086 mole), 34 g",Nicotinic anhydride,"6.25 g, 2.4 g",benzene,"5°C, room temperature","45 minutes, 2-3 hours","68%, 25%"
volume47article30_1_1,"sodium amide, 2,4-pentanedione, 1-bromobutane","1.10 moles, 60.0 g (0.600 mole), 68.5 g (0.500 mole)","2,4-nonanedione",63.0-63.6 g,"liquid ammonia, ether",-,-,81-82%
volume47article31_1_1,"anhydrous trimethylamine oxide, n-octyl iodide","30 g (0.4 mole), 48.0 g (0.2 mole)",Octanal,10.6-11.0 g,chloroform,40-50°C,"20-30 minutes (addition), 20 minutes (reflux)",41.5-43%
volume47article32_1_1,"Cinnamaldehyde, hydrazine hydrate","200 g (1.51 moles), 230 ml (236 g)",Phenylcyclopropane,80-100 g,ethanol,Reflux,3 hours,45-56%
volume47article33_1_1,"hippuric acid, acetic anhydride","537 g (3 moles), 1.6 l (17 moles)",2-phenyl-5-oxazolone,320-328 g,"acetic anhydride, t-butanol","80°C, 5°C",40 minutes,66-68%
volume47article34_1_1,"Chlorobenzene, magnesium powder, 2-propanol","11.3 g (0.1 mole), 6.0 g (0.25 mole), 9.0 g (0.15 mole)",Benzene,5.5-6.5 g,decahydronaphthalene,Reflux,1 hour,70-83%
volume47article35_1_1,"magnesium turnings, p-Bromotoluene, ethyl bromide, dichloroacetone, ethylmagnesium bromide, anhydrous ferric chloride","5.76 g (0.237 mole), 40 drops, 20 drops, 25.4 g (0.200 mole), 128.6 g (1.18 moles), 2.5 g (0.0154 mole)",1-p-tolylcyclopropanol,15-17 g,anhydrous ether,reflux,14 hours,51-57%
volume47article36_1_1,"53% sodium hydride, dimethylformamide, p-toluenesulfonamide, o-xylylene dibromide","18.9 g (0.42 mole), 60 ml, 34.2 g (0.20 mole), 52.8 g (0.20 mole)",2-(p-tolylsulfonyl)dihydroisoindole,41-46 g,"dimethylformamide, ethanol","Room temperature, 60-70°C","1 hour, 3 hours",75-84%
volume47article37_1_1,"magnesium powder, 1-chlorobutane","3.22 g (0.132 mole), 9.26 g (0.1 mole)",n-butylmagnesium chloride,0.073 mole,methylcyclohexane,reflux,15 minutes,73%
volume48article1_1_1,"Malononitrile, water, acetic acid, sodium nitrite","25 g (0.38 mole), 20 ml, 100 ml, 50 g (0.72 mole)",Oximinomalononitrile,N/A,"water, acetic acid, tetrahydrofuran, ether",-10°C to 5°C,4 hours,N/A
volume48article1_2_1,"Aluminum foil, mercuric chloride, oximinomalononitrile, p-toluenesulfonic acid monohydrate","13.7 g (0.51 g atom), N/A, N/A, 60 g (0.32 mole)",Aminomalononitrile p-toluenesulfonate,75-79 g,"tetrahydrofuran, ether","-15°C to -30°C, reflux, 0°C","15 minutes, 45 minutes, N/A",78-82%
volume48article2_1_1,"calcium hypochlorite, ammonium chloride, concentrated hydrochloric acid","270 g (1.32 moles), 66.0 g (1.23 moles), 150 ml",Trichloramine,N/A,"water, methylene chloride",0-10°C,1 hour,N/A
volume48article2_2_1,"methylcyclohexane, anhydrous aluminum chloride, trichloramine","196 g (2.0 moles), 106 g (0.80 mole), 0.40 mole",1-Amino-1-methylcyclohexane,21.5-30 g,methylene chloride,-5°C to 5°C,2 hours,48-67%
volume48article3_1_1,"72% aqueous hydrazine hydrate, acrylonitrile","417 g (6.00 moles), 318 g (6.00 moles)",β-Cyanoethylhydrazine,490-511 g,N/A,30-35°C,2 hours,96-100%
volume48article3_2_1,"β-cyanoethylhydrazine, sulfuric acid, ethanol","85.1 g (1.00 mole), 308 g (169 ml, 3.0 moles), 450 ml",3-Amino-3-pyrazoline sulfate,177-183 g,ethanol,88-90°C,15-20 hours,97-100%
