volume41article14_1_1,"indene, formic acid, hydrogen peroxide","116.2 g (117.3 ml, 1.00 mole), 700 ml, 140 ml",2-indanone,90-107 g,formic acid,35-40°C,7 hours,69-81%
volume41article15_1_1,"sodium hydroxide, resorcinol, nickel catalyst","96.0 g (2.4 moles), 220.2 g (2.0 moles), 40.0 g","2-methyl-1,3-cyclohexanedione",138-142 g,"water, dioxane",45-50°C,12-14 hours,54-56%
volume41article16_1_1,"crotonic acid, sec-butyl alcohol, concentrated sulfuric acid","258 g (3 moles), 370 g (5 moles), 6-7 ml",sec-butyl crotonate,360-390 g,benzene,reflux,12 hours,85-90%
volume41article16_2_1,"magnesium turnings, n-butyl bromide, sec-butyl crotonate, potassium hydroxide","25.0 g (1.04 g atoms), 178 g (1.30 moles), 56.8 g (0.4 mole), 40 g (0.2 mole)",3-Methylheptanoic acid,26-27 g,"dry ether, concentrated hydrochloric acid, ethanol, water, benzene-ether","reflux, room temperature","1 hour, 15 minutes, 1 hour, 30 minutes",90-94%
volume41article17_1_1,"cyclohexanone, morpholine, p-toluenesulfonic acid","147 g (1.50 moles), 157 g (1.80 moles), 1.5 g",1-Morpholino-1-cyclohexene,180-200 g,toluene,boiling,4-5 hours,72-80%
volume41article18_1_1,"paraformaldehyde, nitromethane, 3N methanolic potassium hydroxide solution, concentrated sulfuric acid","125 g (4.16 moles), 2.5 l (46.6 moles), N/A, 1 ml",2-nitroethanol,174-188 g,diphenyl ether,Room temperature,1 hour,46-49%
volume41article19_1_1,"zinc powder, hydrochloric acid, copper sulfate solution","49.2 g (0.75 g atom), 40 ml, N/A",zinc-copper couple,N/A,"hydrochloric acid, distilled water, aqueous copper sulfate solution, absolute ethanol, absolute ether",N/A,N/A,N/A
volume41article19_1_2,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume41article19_1_3,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume41article19_1_4,N/A,N/A,norcarane,N/A,N/A,N/A,N/A,N/A
volume41article19_2_1,"zinc-copper couple, cyclohexene, methylene iodide","46.8 g (0.72 g atom), 53.3 g (0.65 mole), 190 g (0.71 mole)",Norcarane,35-36 g,ether,Reflux,15 hours,56-58%
volume41article20_1_1,"sodium methoxide, dihydropyran, ethyl trichloracetate","50 g (0.92 mole), 67.4 g (0.8 mole), 164.8 g (0.86 mole)","2-oxa-7,7-dichloronorcarane",91-100 g,pentane,"Ice bath, room temperature","6 hours, overnight",68-75%
volume41article21_1_1,"D-glucono-δ-lactone, acetic anhydride, zinc chloride","50 g (0.28 mole), 250 ml, 20 g","2,3,4,6-Tetra-O-acetyl-D-gluconic acid monohydrate",79-84 g,acetic anhydride,Below 65°C,24 hours,74-79%
volume41article21_2_1,"Tetra-O-acetyl-D-gluconic acid monohydrate, fused zinc chloride, acetic anhydride","50 g (0.13 mole), 18 g, 190 ml","2,3,4,5,6-Penta-O-acetyl-D-gluconic acid",44-45 g,"chloroform, toluene, petroleum ether","0-5°C, room temperature","1 hour (ice bath), 24 hours (room temperature)",83-84%
volume41article21_3_1,"2,3,4,5,6-penta-O-acetyl-D-gluconic acid, phosphorus pentachloride","25 g (0.062 mole), 15 g (0.072 mole)","2,3,4,5,6-Penta-O-acetyl-D-gluconyl chloride",21-24 g,ethyl ether,Room temperature,Overnight,80-92%
volume41article22_1_1,"α-phenylethylamine, tert-butyl hypochlorite, sodium, methanol","24.2 g (26 ml, 0.20 mole), 44.5 g (50 ml, 0.41 mole), 13.8 g (0.60 g atom), 140 ml",Phenacylamine hydrochloride,18.9-24.8 g,"benzene, methanol","5°C, reflux","1-4 hours, 45-70 minutes",55-72%
volume41article23_1_1,"t-butyl alcohol, dimethyl sulfoxide, potassium t-butoxide, bromobenzene","37.5 g (48 ml), 150 ml, 75 g (0.67 mole), 25 g (0.159 mole, 17 ml)",Phenyl t-butyl ether,10-11 g,water,125-130°C,1 minute,42-46%
volume41article24_1_1,"maleic anhydride, aniline","196 g (2 moles), 182 ml (186 g, 2 moles)",Maleanilic acid,371-374 g,ethyl ether,"Room temperature, 15-20°C",1 hour,97-98%
volume41article24_2_1,"maleanilic acid, acetic anhydride, anhydrous sodium acetate","316 g, 670 ml, 65 g",N-Phenylmaleimide,214-238 g,acetic anhydride,30 minutes,N/A,75-80%
volume41article25_1_1,"sodium, 1,2-dimethoxyethane, cyclopentadiene, ruthenium trichloride, ruthenium metal","7.2 g (0.312 g atom), 300 ml, 31.0 ml (0.376 mole), 14.6 g (0.07 mole), 2.4 g (0.024 g atom)",ruthenocene,12.2-15.1 g,"1,2-dimethoxyethane, benzene",slightly below reflux temperature,80 hours,56-69%
volume41article26_1_1,"malononitrile, pyridine, tetracyanoethylene, tetramethylammonium chloride","6.6 g (0.10 mole), 8.7 g (0.11 mole), 12.8 g (0.10 mole), 12.1 g (0.11 mole)","Tetramethylammonium 1,1,2,3,3-pentacyanopropenide",19.5-20.5 g,water,"Warm on hot plate, almost boiling, room temperature",5-10 minutes,81-85%
volume41article27_1_1,"potassium tert-butoxide, tert-butyl alcohol, N-o-Tolylformamide, phosphorus oxychloride","100 g (2.6 g atoms), 1250 ml, 135 g (1.00 mole), 92 g (0.60 mole)",o-Tolyl isocyanide,74-85 g,tert-butyl alcohol,30-35°C,1 hour,63-73%
volume41article28_1_1,"heptanoic acid, sulfur tetrafluoride","26 g (0.20 mole), 65 g (95% pure, 0.57 mole)","1,1,1-Trifluoroheptane",21.7-24.6 g,pentane,"100°C, 130°C","4 hours, 6 hours",70-80%
volume42article1_1_1,"acetone dimethyl acetal, butanol, p-toluenesulfonic acid, sodium methoxide","312 g (3 moles), 489 g (6.6 moles), 0.2 g, 0.5 g in 20 ml",acetone dibutyl acetal,421-453 g,"benzene, methanol",N/A,N/A,74.6-80.3%
volume42article2_1_1,"sodium hydroxide, bromine, 3β-acetoxy-5-pregnen-20-one, dioxane, water, anhydrous sodium sulfite, concentrated hydrochloric acid, pyridine, acetic anhydride","42 g (1.05 moles), 43 g (0.263 mole), 28.8 g (0.08 mole), 240 ml, 320 ml, 10 g, 50 ml, 150 ml, 20 ml","3β-hydroxyetienic acid, 3β-acetoxyetienic acid","18-20 g, 23-24 g","water, dioxane, pyridine","-5°C, 0°C, 8°C, 90°C, 5°C, room temperature","24 hours, 15 minutes, 2 hours, 18-24 hours, N/A","91-95%, 55-63%"
volume42article3_1_1,dicyclopentadiene,200 g (1.51 moles),endo-Tetrahydrodicyclopentadiene,196-200 g,dry ether,50 p.s.i. hydrogen pressure,4-6 hours,96.5-98.4%
volume42article3_2_1,"molten endo-tetrahydrodicyclopentadiene, anhydrous aluminum chloride","200 g (1.47 moles), 40 g",Adamantane,27-30 g,petroleum ether,150-180°C,8-12 hours,13.5-15.0%
volume42article8_1_1,"cuprous oxide, 1-butanethiol","42.9 g (0.30 mole), 61.3 g (0.68 mole)",cuprous n-butylmercaptide,91.6 g,95% ethanol,reflux,N/A,essentially quantitative
volume42article8_2_1,"o-dibromobenzene, cuprous n-butylmercaptide","59.0 g (0.25 mole), 84.0 g (0.55 mole)","1,2-Bis(n-butylthio)benzene",46.5-56.0 g,"quinoline, pyridine",reflux,3.5 hours,73-87%
volume42article9_1_1,"phthalide, N-bromosuccinimide","10 g (0.075 mole), 13.3 g (0.075 mole)",3-bromophthalide,12-13 g,carbon tetrachloride,reflux,30 minutes,75-81%
volume42article10_1_1,"t-Butyl alcohol, diketene","79 g (1.07 moles), 96 g (1.14 moles)",t-Butyl acetoacetate,127-135 g,N/A,80-85°C,2.5 hours,75-80%
volume42article11_1_1,"dry powdered 2-picoline-1-oxide, dimethyl sulfate","109 g (1.0 mole), 126 g (1.0 mole)",1-Methoxy-2-methylpyridinium methyl sulfate,235 g,N/A,80-90°C,2 hours,Quantitative yield
volume42article11_2_1,"sodium cyanide, 1-methoxy-2-methylpyridinium methyl sulfate","147 g (3.0 mole), 235 g (1.0 mole)",2-Cyano-6-methylpyridine,48-54 g,water,0°C,"overnight, 6 hours",40-46%
volume42article12_1_1,"cyclohexanone, acetone dimethyl acetal, allyl alcohol","294 g (3 moles), 343 g (3.3 moles), 418 g (7.2 moles)",cyclohexanone diallyl acetal,382-435 g,"benzene, methanol",N/A,N/A,65-74%
volume42article13_1_1,"dihydroxycyclopentene mixture, chromium trioxide, sulfuric acid","45.1 g (0.45 mole), 100 g (1.0 mole), 160 ml","2-cyclopentene-1,4-dione",17-22 g,"water, methylene chloride, chloroform",-5°C to 0°C,1 hour,39-50%
volume42article14_1_1,Mixture of cyclopentenediols,100 g (1.0 mole),2-cyclopentenone,44-49 g,methylene chloride,50-55°C,30-60 minutes,53-60%
volume42article15_1_1,"sodium, ethyl acetoacetate, γ-carbethoxybutyryl chloride","11.5 g (0.5 g atom), 65.0 g (63.5 ml, 0.5 mole), 89.0 g (0.5 mole)",Diethyl α-acetyl-β-ketopimelate,84-91 g,dry ether,"overnight, reflux",N/A,61-66%
volume42article15_2_1,diethyl α-acetyl-β-ketopimelate,50 g (0.18 mole),Diethyl β-ketopimelate,21-25 g,dry ether,Room temperature,Overnight,50-59%
volume42article16_1_1,"1,1-dichloroethylene, chlorotrifluoroethylene","350 g (3.6 moles), 300 g (2.6 moles)","1,1,2-trichloro-2,3,3-trifluorocyclobutane",242-262 g,N/A,180°C,7 hours,44-48%
volume42article16_2_1,"1,1,2-trichloro-2,3,3-trifluorocyclobutane, zinc dust","235 g (1.1 moles), 76 g (1 mole)","1-Chloro-2,3,3-trifluorocyclobutene",107-113 g,ethyl alcohol,Reflux,"1 hour, 30 minutes",68-72%
volume42article16_3_1,"sodium hydroxide, potassium permanganate, 1-chloro-2,3,3-trifluorocyclobutene","80 g (2 moles), 158 g (1 mole), 107 g (0.75 mole)","2,2-difluorosuccinic acid",85-92 g,water,15-20°C,2 hours,74-80%
volume42article17_1_1,"anthracene, sodium, ethanol","50 g (0.28 mole), 75 g (3.25 g atom), 750 ml","9,10-dihydroanthracene",38-40 g,ethanol,50°C,15 minutes,75-79%
volume42article18_1_1,dicyclopentadiene,N/A,cyclopentadiene,N/A,mineral oil,240-270°C,N/A,N/A
volume42article18_1_2,"cyclopentadiene, anhydrous sodium carbonate, peracetic acid","56 g (0.81 mole), 106 g (1.0 mole), 76 g (0.40 mole)","3-cyclopentene-1,2-diol, 2-cyclopentene-1,4-diol","4.5-5.5 g, 17-20 g",methylene chloride,20°C,1 hour,65-70%
volume42article19_1_1,"1,2-bis(n-butylthio) benzene, sodium, ammonium chloride","5.1 g (0.020 mole), 1.6 g (0.070 g atom), 6 g (0.11 mole)","1,2-dimercaptobenzene",1.6-2.4 g,liquid ammonia,N/A,12-15 hours,56-85%
volume42article20_1_1,"paraformaldehyde, formic acid, mesitylene","165 g (5 moles), 1250 g (24 moles), 1.8 kg (15 moles)",dimesitylmethane,779 g,benzene,reflux,6 hours,62%
volume42article21_1_1,"potassium thiocyanate, ethylene carbonate","145 g (1.5 mole), 88 g (1.0 mole)",ethylene sulfide,41-45 g,N/A,165-175°C,3 hours,68-75%
volume42article22_1_1,Gallic acid monohydrate,50 g (0.266 mole),Hexahydrogallic acid,18-20 g,95% ethanol,90-100°C,8-12 hours,38-43%
volume42article22_2_1,Hexahydrogallic acid,10 g (0.057 mole),Hexahydrogallic acid triacetate,13.5-14.5 g,"acetic anhydride, sulfuric acid",Steam bath,30 minutes,78-84%
volume42article23_1_1,"stannous chloride dihydrate, tetrahydroxyquinone, hydrochloric acid","100 g (0.44 mole), 10 g (0.058 mole), 200 ml",hexahydroxybenzene,7.1-7.8 g,hydrochloric acid,Boiling,N/A,70-77%
volume42article24_1_1,"o-toluidine, glacial acetic acid, acetic anhydride, nitric acid, sodium nitrite","90 g (90.2 ml, 0.839 mole), 90 ml, 180 ml (1.90 mole), N/A, 180 g",Indazole,33-43 g,benzene,35-45°C,7 hours,36-47%
volume42article25_1_1,"iodine, N-silver succinimide","20 g (0.079 mole), 18 g (0.087 mole)",N-Iodosuccinimide,14.3-15.1 g,"dioxane, carbon tetrachloride","50°C, -8°C to -20°C","several minutes, overnight",81-85%
volume42article26_1_1,"pentane-2,4-dione, methyl iodide, potassium carbonate","65.2 g (0.65 mole), 113 g (0.80 mole), 84 g","3-methylpentane-2,4-dione",56-57 g,acetone,reflux,20 hours,75-77%
volume42article27_1_1,"Sodium carbonate monohydrate, hydrogen peroxide, phthalic anhydride","62 g (0.5 mole), 69 g (63 ml, 0.6 mole), 74 g (0.5 mole)",Monoperphthalic acid,71-78 g,water,0°C,30 minutes,78-86%
volume42article28_1_1,"formic acid, nobornene","800 g (17.4 moles), 400 g (4.25 moles)",2-exo-Norbornyl formate,540-550 g,N/A,reflux,4 hours,90.5-92.5%
volume42article28_2_1,"2-exo-norbornyl formate, chromic acid solution","510 g (3.64 moles), 1870 ml",2-Norbornanone,335-350 g,acetone,20-30°C,overnight,83-87%
volume42article29_1_1,"α-bromo-p-xylene, trimethylamine","100 g (0.54 mole), 50 g (0.85 mole)",p-Methylbenzyltrimethylammonium bromide,125-130 g,dry ether,Room temperature,Overnight,95-99%
volume42article29_2_1,"p-Methylbenzyltrimethylammonium bromide, silver oxide","24.4 g (0.10 mole), 23 g",[2.2]Paracyclophane,1.0-1.1 g,"water, toluene","Room temperature, reflux","1.5 hours, 3 hours, 1.25 hours",10-11%
volume42article30_1_1,"85% potassium hydroxide, methylisourea hydrochloride, phenyl isothiocyanate","23.0 g (0.35 mole), 38.7 g (0.35 mole), 27.0 g (24 ml, 0.2 mole)",1-Phenyl-2-thio-4-methylisobiuret,27-31.5 g,"water, acetone, benzene","Boiling, reflux",10-15 minutes,65-75%
volume42article30_2_1,"1-phenyl-2-thio-4-methylisobiuret, hydrochloric acid","20.9 g (0.1 mole), 40 ml",1-Phenyl-2-thiobiuret,8.8-10.5 g,absolute ethanol,reflux,6-12 minutes,45-54%
volume42article31_1_1,"anhydrous sodium sulfite, anhydrous sodium bicarbonate, glyoxal solution","400 g (3.17 moles), 150 g (1.79 moles), 600 g (480 ml, 3.11 moles)",sodium salt of tetrahydroxyquinone,20-21 g,water,"40-45°C, 80-90°C","1 hour, 30 minutes",6.2-8.4%
volume42article32_1_1,"glacial acetic acid, zinc dust, 3-methylpentane-2,4-dione, diacetyl monoxime","250 ml, 54.5 g (0.84 g atom), 52.5 g (0.46 mole), 42 g (0.415 mole)","2,3,4,5-tetramethylpyrrole",20.5-22.5 g,glacial acetic acid,65-70°C,"1 hour (addition), 30 minutes (reflux), 1-2 hours (steam distillation)",40-44%
volume42article33_1_1,"9-fluorenone, concentrated sulfuric acid, fuming nitric acid","73 g (0.4 mole), 840 ml, 950 ml","2,4,5,7-tetranitrofluorenone",80-86 g,"concentrated sulfuric acid, fuming nitric acid",Reflux,10 hours,51-54%
volume42article34_1_1,"Methylacetylene, sodium, carbon dioxide","44-48 g (1.1-1.2 mole), 23 g (1 g atom), N/A",Tetrollic acid,42-50 g,"liquid ammonia, tetrahydrofuran, ether",N/A,"overnight, 8 hours, 24-36 hours",50-59%
volume42article35_1_1,"alcoholic caustic potash, hydrogen sulfide, benzotrichloride, chloroacetic acid, sodium bicarbonate","59.3 g (85% potassium hydroxide), N/A, 49 g (35 ml), 33.1 g (0.35 mole), 29.4 g (0.35 mole)",thiobenzoylthioglycolic acid,28.9-30.4 g,"ethanol, water","45-50°C, reflux","1-1.5 hours, 30 minutes, 5 minutes",54-57%
volume43article1_1_1,"hydroxylamine-O-sulfonic acid, pyridine, potassium carbonate, hydriodic acid","11.3 g (0.10 mole), 24 ml (24 g, 0.30 mole), 13.8 g (0.10 mole), 14 ml (22 g, 0.10 mole)",1-aminopyridinium iodide,14-16 g,"water, ethanol","90°C, -20°C","20 minutes, 1 hour",63-72%
volume43article2_1_1,"3-benzoylpropionic acid, benzaldehyde, acetic anhydride, anhydrous sodium acetate","17.8 g (0.10 mole), 10.6 g (10.6 ml, 0.10 mole), 61.3 g (57 ml, 0.60 mole), 8.2 g (0.10 mole)","α-benzylidene-γ-phenyl-Δβ,γ-butenolide",11.1-12.4 g,acetic anhydride,95-100°C,2 hours,45-50%
volume43article3_1_1,"hexamethylenetetramine, 2,3-dibromopropene","154 g (1.10 moles), 200 g (1.00 mole)",2-Bromoallylhexaminium bromide,292-308 g,chloroform,reflux,3 hours,86-91%
volume43article3_2_1,2-bromoallylhexaminium bromide,204 g (0.60 mole),2-Bromoallylamine,49-59 g,"water, ethanol, hydrochloric acid, sodium hydroxide",Warm solution,24 hours,59-72%
volume43article4_1_1,"red mercuric oxide, bromine, cyclopropanecarboxylic acid","24 g (0.11 mole), 32.2 g (0.20 mole), 17.2 g (0.20 mole)",bromocyclopropane,9.8-11.2 g,"1,1,2,2-tetrachloroethane",30-35°C,N/A,41-46%
volume43article5_1_1,"o-bromoaniline, hydrochloric acid, sodium nitrite, hexafluorophosphoric acid","60 g (0.35 mole), 95 ml, 29 g (0.42 mole), 74 ml (134 g, 0.60 mole)",o-Bromobenzenediazonium hexafluorophosphate,108-111 g,"water, methanol, ether",-5 to -10°C,30 minutes,94-97%
volume43article5_2_1,"o-bromoaniline, hexafluorophosphate salt, heavy mineral oil, aqueous sodium carbonate",N/A,1-Bromo-2-fluorobenzene,45-47 g,heavy mineral oil,165-170°C,30 minutes,73-75%
volume43article6_1_1,"anthracene, cupric chloride","17.8 g (0.100 mole), 27.2 g (0.202 mole)",9-chloroanthracene,16-17 g,carbon tetrachloride,reflux,18-24 hours,75-80%
volume43article7_1_1,"hydroquinone, vinyl acetate, chlorotrifluoroethylene","1.0 g, 140 g (1.63 moles), 47 g (0.40 mole)","2-Chloro-2,3,3-trifluorocyclobutyl acetate",22-30 g,N/A,215°C,3 hours,27-37%
volume43article7_2_1,"2-Chloro-2,3,3-trifluorocyclobutyl acetate",70 g (0.35 mole),"1-Chloro-1,4,4-trifluorobutadiene",30-35 g,N/A,700°C,N/A,60-70%
volume43article8_1_1,"Benzoic acid, ethanol, sodium, ammonium chloride","10 g (0.082 mole), 100 ml, 6.2 g (0.27 g atom), 14.6 g (0.27 mole)","1,4-Dihydrobenzoic acid",9.0-9.7 g,anhydrous ethanol,Room temperature,N/A,89-95%
volume43article9_1_1,"Benzaldehyde, sodium bisulfite, dimethylamine, sodium cyanide","636 g (6.00 moles), 624 g (6.00 moles), 1100 g, 294 g (6.00 moles)","α-(N,N-dimethylamino)phenylacetonitrile",842-844 g,"water, ether",N/A,4 hours,87-88%
volume43article10_1_1,"Maleic anhydride, benzene, hydroquinone, allene","500 g (5.1 moles), 645 ml, 0.25 g, 100 g (2.5 moles)","3-Methylenecyclobutane-1,2-dicarboxylic anhydride",65-80 g,"benzene, acetone",200-210°C,8-10 hours,19-23%
volume43article11_1_1,"phenyl isocyanate, 3-methyl-1-phenylphospholene 1-oxide","100 ml (108 g, 0.91 mole), 1 g (0.052 mole)",diphenylcarbodiimide,72-82 g,N/A,50°C,2.5 hours,82-93%
volume43article12_1_1,"1-morpholino-1-cyclohexene, anhydrous triethylamine, sebacoyl chloride","167 g (1.00 mole), 101 g (139 ml, 1.00 mole), 120 g (0.50 mole)","2,2'-Sebacoyldicyclohexanone",181-192 g,chloroform,35°C,3 hours,100-106%
volume43article12_2_1,"sodium hydroxide, ethanol, crude 2,2'-sebacoyldicyclohexanone","120 g (3.00 moles), 1.4 l, 300 ml","Disodium 7,16-diketodocosanedioate",248-255 g,ethanol,Reflux,1 hour,112-115%
volume43article12_3_1,"disodium 7,16-diketodocosanedioate, triethanolamine, hydrazine hydrate, potassium hydroxide, hydrochloric acid",N/A,Docosanedioic acid,127-133 g,"triethanolamine, water, 2-methoxyethanol, 95% ethanol","Reflux, 140-195°C, 200-220°C","4 hours, 6 hours",69-72%
volume43article13_1_1,"Potassium, ethanol, diethyl oxalate, o-nitrotoluene","39.1 g (1.00 g atom), 250 ml, 146 g (1.00 mole), 137 g (1.00 mole)",Potassium salt of ethyl o-nitrophenylpyruvate,204-215 g,ether,Room temperature,24 hours,74-78%
volume43article13_2_1,"Potassium salt, glacial acetic acid, platinum catalyst","30 g (0.109 mole), 200 ml, 0.20 g",Ethyl indole-2-carboxylate,11.3-11.7 g,glacial acetic acid,N/A,1-2 hours,41-44%
volume43article14_1_1,"piperidine, sodium, pyridine","340 g (4.00 moles), 4.4 g (0.19 g atom), 5.0 g (5.1 ml, 0.063 mole)",N-ethylpiperidine,434-468 g,ethylene,"reflux, 100°C",2.5-10 hours,77-83%
volume43article15_1_1,"p-hydroxybenzaldehyde, hydantoin, piperidine","6.11 g (0.050 mole), 5.5 g (0.055 mole), 10 ml",5-(p-hydroxybenzal)hydantoin,8.5-8.8 g,piperidine,130°C,30 minutes,83-86%
volume43article15_2_1,"5-(p-hydroxybenzal)hydantoin, sodium hydroxide, hydrochloric acid","8.5 g (0.042 mole), 240 ml, 100 ml",p-Hydroxyphenylpyruvic acid,4.4-4.7 g,water,170-180°C,3 hours,59-63%
volume43article16_1_1,"2-bromothiophene, magnesium turnings, t-butyl perbenzoate","65.2 g (0.40 mole), 10 g (0.41 g atom), 62 g (56 ml, 0.32 mole)",2-t-butoxythiophene,35-38 g,dry ether,0-5°C,overnight,70-76%
volume43article16_2_1,"2-t-butoxythiophene, p-toluenesulfonic acid",N/A,2-Hydroxythiophene,20-23 g,N/A,155°C,5-10 minutes,89-94%
volume43article17_1_1,"indole-3-carboxaldehyde, diammonium hydrogen phosphate, 1-nitropropane","1.44 g (0.0099 mole), 7.0 g (0.053 mole), 30 g (30 ml, 0.34 mole)",indole-3-carbonitrile,0.68-0.89 g,glacial acetic acid,reflux,12.5 hours,48-63%
volume43article18_1_1,"iodosobenzene diacetate, sodium hydroxide","32.2 g (0.10 mole), 150 ml",Iodosobenzene,18.7-20.5 g,water,N/A,45 minutes,85-93%
volume43article19_1_1,iodobenzene,20.4 g (0.10 mole),iodosobenzene diacetate,26.7-29.3 g,N/A,30°C,20 minutes,83-91%
volume43article20_1_1,"iodobenzene, peracetic acid","20.4 g (0.10 mole), 75 g (65 ml, 0.50 mole)",iodoxybenzene,17-19 g,chloroform,"35°C, 100°C",45 minutes,72-80%
volume43article21_1_1,"Thiourea, ethyl alcohol, hydrochloric acid, 1,1,3,3-tetraethyoxypropane","61 g (0.80 mole), 600 ml, 200 ml, 176 g (0.80 mole)",2-Mercaptopyrimidine hydrochloride,71-76 g,ethyl alcohol,Boiling,1 hour,60-64%
volume43article21_2_1,Crude 2-mercaptopyrimidine hydrochloride,25 g (0.17 mole),2-Mercaptopyrimidine,15-16 g,"water, alcohol",N/A,N/A,80-85%
volume43article22_1_1,"dimethyl 3-methylenecyclobutane-1,2-dicarboxylate",184 g (1.00 mole),"methyl acrylate, methyl butadienoate","41-47 g, 39-43 g",N/A,"300°C (upper section), 600°C (lower section)",3 hours,"48-55% (methyl acrylate), 40-44% (methyl butadienoate)"
volume43article23_1_1,"dichlorophenylphosphine, isoprene","179 g (1.00 mole), 300 ml (about 204 g, 3.0 moles)","1,1-dichloro-1-phenyl-3-methyl-1-phospha-3-cyclopentene",N/A,petroleum ether,Room temperature,5-7 days,N/A
volume43article23_2_1,Adduct,N/A,3-Methyl-1-phenylphosphacyclopentene 1-oxide,110-120 g,ice water,N/A,N/A,57-63%
