Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume25article26_2_1,Crude chloride,N/A,Methyl sebacamate,200-204 g,concentrated aqueous ammonia,8°C,N/A,93-95%
volume25article27_1_1,"magnesium turnings, carbon tetrachloride, malonic ester, absolute ethanol, phenylacetyl chloride","12.5 g (0.52 atom), 1 ml, 40 g (0.25 mole), 90 ml, 88 g (74 ml, 0.57 mole)",Ethyl phenylacetylmalonate,87 ml,"absolute ethanol, dry ether",N/A,N/A,N/A
volume25article27_2_1,"Crude ester, concentrated sulfuric acid","1 volume (87 ml.), 3 volumes (261 ml.)","Ethyl 1,3-dihydroxy-2-naphthoate",58-68 g,N/A,N/A,1 week,50-59%
volume25article27_2_2,"Ethyl 1,3-dihydroxy-2-naphthoate",50 g,Naphthoresorcinol,45 g,70% ethanol,N/A,N/A,N/A
volume25article27_3_1,"recrystallized ester, barium hydroxide octahydrate, concentrated sulfuric acid","20.9 g (0.09 mole), 40 g (0.13 mole), 11 ml","1,3-Dihydroxy-2-napthoic acid",16.5 g,"dioxane, water, absolute ethanol","heated on a steam bath, 3 hours",5 minutes,90%
volume25article27_4_1,crude acid,16.5 g,Naphthoresorcinol,7.0-7.3 g,water,Boiling,2 hours,54-56%
volume25article28_1_1,"p-anisidine, glacial acetic acid, water, acetic anhydride, concentrated nitric acid","123 g (1 mole), 300 ml, 217 ml, 103 ml (1.1 moles), 100 ml",2-Nitro-4-methoxyacetanilide,158-168 g,"glacial acetic acid, water","0-5°C, 45°C, 60-65°C, 25°C",overnight,75-79%
volume25article28_2_1,"2-nitro-4-methoxyacetanilide, Claisen's alkali","160 g, 250 ml",2-Nitro-4-methoxyaniline,122-124 g,water,Steam bath,15 minutes,95-97%
volume25article29_1_1,"nitrobenzene, ammonium chloride, zinc dust","250 ml (2.44 moles), 150 g, 372 g (5.15 moles)",Nitrosobenzene,128-138 g,water,50-55°C,20 minutes,49-53%
volume25article30_1_1,"tetrahydrofurfuryl alcohol, pyridine, thionyl chloride","408 g (4 moles), 348 g (4.4 moles), 500 g (4.2 moles)",Tetrahydrofurfuryl chloride,354-360 g,N/A,Ice bath,3-4 hours,73-75%
volume25article30_2_1,"tetrahydrofurfuryl chloride, sodium","300 g (2.5 moles), 112 g (4.87 moles)",4-Penten-1-ol,161-178 g,ether,Ice bath,"5 hours, 2 hours",76-83%
volume25article31_1_1,"p-aminobenzoic acid, nitrosobenzene","54 g (0.39 mole), 42 g (0.39 mole)",p-phenylazobenzoic acid,54 g (61%),glacial acetic acid,Room temperature,12 hours,61%
volume25article32_1_1,"p-phenylazobenzoic acid, anhydrous sodium carbonate, thionyl chloride","50 g (0.22 mole), 50 g (0.47 mole), 250 ml (3.5 moles)",p-phenylazobenzoyl chloride,48 g,ligroin,reflux,1.5 hours,89%
volume25article33_1_1,"90% formic acid, β-phenylethylamine, formaldehyde solution, hydrochloric acid, sodium hydroxide solution","51.2 g (1 mole), 24.2 g (0.2 mole), 45 ml (0.6 mole), 100 ml, 18 N",β-phenylethyldimethylamine,22-24.7 g,"water, benzene",95-100°C,8 hours,74-83%
volume25article34_2_1,"α-bromocinnamic aldehyde, ethyl orthoformate, ammonium chloride","45 g (0.21 mole), 50 ml (0.3 mole), 0.5 g",α-Bromocinnamic aldehyde acetal,50-52 g,ethanol,reflux,30 minutes,82-86%
volume25article34_3_1,"α-bromocinnamic aldehyde acetal, potassium hydroxide","50 g (0.18 mole), 20.7 g (0.25 mole)",Phenylpropargyl aldehyde acetal,28-31 g,ethanol,reflux,1.5 hours,80-86%
volume25article34_4_1,Acetal,29 g (0.14 mole),Phenylpropargyl aldehyde,13-15 g,water,Steam bath,30 minutes,70-81%
volume25article35_1_1,"Sebacic acid, urea","505 g (2.5 moles), 180 g (3 moles)",Sebaconitrile,190-200 g,N/A,"160°C, 220°C","4 hours, N/A",46-49%
volume25article35_2_1,N/A,N/A,ω-Cyanopelargonic acid,146-155 g,water,Nearly boiling,N/A,32-34%
volume31article21_1_1,"2,3-dimethoxybenzaldehyde, ethyl acetoacetate, piperidine, glacial acetic acid","183 g (1.1 moles), 130 g (1.0 mole), 4 ml, 12 ml","Ethyl α-acetyl-β-(2,3-dimethoxyphenyl)acrylate",180-199 g,"benzene, ether",reflux,2-3 hours,64-72%
volume31article21_2_1,N/A,N/A,"Ethyl α-acetyl-β-(2,3-dimethoxyphenyl)propionate",158-176 g,ethyl acetate,N/A,45 minutes,56-63%
volume35article33_1_1,"benzylamine, ethyl chlorocarbonate, sodium hydroxide","1 kg (9.33 moles), 525 g (4.83 moles), 400 g (10 moles)",Ethyl N-benzylcarbamate,1.6 kg,ice water,10-15°C,"1.0-1.5 hours, 2.5-3.0 hours",96%
volume35article33_2_1,"ethyl N-benzylcarbamate, sodium nitrite, concentrated nitric acid, water","360 g (2.0 moles), 1.2 kg (17.4 moles), 1 l, 2 l",Ethyl N-nitroso-N-benzylcarbamate,400-415 g,ether,20-30°C,"5 hours, 30 minutes",95-99%
volume35article34_1_1,"γ-butyrolactone, anhydrous aluminum chloride","104 g (1.21 moles), 600 g (4.5 moles)",α-tetralone,160-170 g,benzene,reflux,16 hours,91-96%
volume35article34_2_1,"γ-phenylbutyric acid, phosphorus pentachloride, anhydrous stannic chloride","98.5 g (0.6 mole), 125 g (0.6 mole), 150 ml (1.28 moles)",α-tetralone,75-80 g,"benzene, thiophene-free","Boiling, reflux, 0-10°C","20 minutes, 1 hour",85-91%
volume35article36_1_1,"Chlorine, p-toluenethiol","25-32 g, 7.3 g per 10 g of dissolved chlorine",p-toluenesulfenyl chloride,24.5-28 g,carbon tetrachloride,N/A,"1 hour, 30 minutes",77-88%
volume45article27_1_1,"bromobenzene, magnesium, t-butyl perbenzoate","79 g (0.5 mole), 13 g (0.53 g atom), 58.3 g (0.3 mole)",phenyl t-butyl ether,35-38 g,anhydrous ether,N/A,N/A,78-84%
volume45article29_1_1,"N-phenylglycine, sodium nitrite","100 g (0.66 mole), 50 g (0.72 mole)",N-Nitroso-N-phenylglycine,96-99 g,water,Below 0°C,40 minutes,80-83%
volume45article30_1_1,"phosphorous pentachloride, styrene","104 g (0.50 mole), 26 g (0.25 mole)",Styrylphosphonic dichloride,49-52 g,dry benzene,"Ice bath, room temperature",30 minutes,89-94%
volume45article32_1_1,"1-octene, ferric chloride hexahydrate, diethylammonium chloride, benzoin","11.2 g (0.1 mole), 0.54 g (2 mmoles), 0.33 g (3 mmoles), 0.42 g (2 mmoles)","1,1,3-trichloro-n-nonane",15 g,"methanol, chloroform",130°C,15 hours,80%
volume49article31_1_1,"2,4,6-triphenylnitrobenzene, Raney nickel catalyst","70 g (0.20 mole), 10 g","2,4,6-Triphenylaniline",60-63 g,dioxane,N/A,overnight,94-98%
volume49article31_2_1,"2,4,6-triphenylaniline, glacial acetic acid, concentrated sulfuric acid, sodium nitrite, water, urea or amidosulphonic acid","32 g (0.10 mole), 300 ml, 90 ml, 9 g (0.13 mole), 600 ml, 150 ml, 3 g","2,4,6-Triphenylphenol",13-15 g,"glacial acetic acid, water","70°C, 0-5°C, boiling","20 minutes, 30 minutes, 10 minutes",39-47%
volume49article31_3_1,"2,4,6-triphenylphenol, potassium hexacyanoferrate(III), sodium hydroxide","10 g (31 moles), 60 ml, N/A","2,4,6-Triphenylphenoxyl",8-9 g,ether,N/A,10 minutes,81-91%
volume49article32_1_1,"Acetic anhydride, t-butyl alcohol, fluoroboric acid","50 ml (54 g, 530 mmol), 4.0 ml (3.1 g, 41 mmol), 7 ml (39 mmol)","2,4,6-trimethylpyrylium tetrafluoroborate",3.4-3.5 g,ether,"100°C, 5°C",N/A,41-43%
volume49article33_1_1,"benzalacetophenone, acetophenone, fluoboric acid","208 g (1.00 mole), 60 g (58.5 ml, 0.50 mole), 160 ml","2,4,6-triphenylpyrylium tetrafluoroborate",125-135 g,"1,2-dichloroethane",70-75°C,1 hour,63-68%
volume50article1_1_1,"Sodium formate, acetyl chloride","300 g (4.41 moles), 294 g (266 ml, 3.75 moles)",Acetic formic anhydride,212 g,diethyl ether,23-27°C,5.5 hours,64%
volume50article2_1_1,"acetone, hydrazine hydrate, potassium hydroxide","145 g (183 ml, 2.50 moles), 65.5 g (1.31 moles), 50 g",acetone azine,120-126 g,N/A,below 35°C,20-30 minutes,86-90%
volume50article2_2_1,"acetone azine, anhydrous hydrazine","112 g (1.00 mole), 32 g (1.0 mole)",Acetone hydrazone,111-127 g,N/A,100°C,12-16 hours,77-88%
volume50article3_1_1,"anhydrous hydrazine, hexafluoroacetone imine","16 g (0.50 mole), 82.5 g (0.500 mole)",Hexafluoroacetone hydrazone,48-53 g,N/A,"Below 10°C, room temperature",N/A,53-59%
volume50article3_2_1,"hexafluoroacetone hydrazone, benzonitrile, lead tetraäcetate","45 g (0.25 mole), 375 ml, 120 g (0.271 mole)",Bis(trifluoromethyl)diazomethane,20-21 ml or 34-35 g,benzonitrile,Room temperature,1 hour,76-79%
volume50article4_1_1,"potassium tert-butoxide, diethyl phosphorochloridate","13.9 g (0.124 mole), 20.6 g (0.120 mole)",tert-Butylcarbonic diethylphosphoric anhydride,25-28 g,tetrahydrofuran,Ice bath,"1.5 hours (carbon dioxide flow), 30 minutes (stirring)",84-91%
volume50article4_2_1,"tert-butylcarbonic diethylphosphoric anhydride, potassium azide","25.4 g (0.100 mole), 8.1 g (0.10 mole)",tert-Butyl azidoformate,7.2-9.3 g,dimethyl sulfoxide,20-25°C,1 hour,50-65%
volume50article5_1_1,"iridium tetrachloride, trimethyl phosphite, 4-tert-butylcyclohexanone","4.0 g (0.012 mole), 52 g (50 ml, 0.42 mole), 30.8 g (0.200 mole)",cis-4-tert-butylcyclohexanol,29-31 g,"concentrated hydrochloric acid, water, 2-propanol",reflux,48 hours,93-99%
volume50article7_1_1,"cinnamic acid, chlorosulfonyl isocyanate, N,N-Dimethylformamide","296 g (2.00 moles), 290 g (2.05 moles), 300 g (4.11 moles)",cinnamonitrile,197-225 g,dichloromethane,reflux,1 hour,78-87%
volume50article9_1_1,"mercury(II) acetate, cycloöctatetraene","160 g (0.502 mole), 52.0 g (0.500 mole)","trans-7,8-diacetoxybicyclo[4.2.0]octa-2,4-diene",83-86 g,glacial acetic acid,70-75°C,2 hours,75-77.5%
volume50article9_2_1,"diacetate, dimethyl acetylenedicarboxylate","83.0 g (0.373 mole), 54.0 g (0.380 mole)","trans,trans-1,3-Butadiene-1,4-diyl diacetate",26-31 g,benzene,reflux,6 hours,41-49%
volume50article10_1_1,"yellow mercury(II) oxide, diethyl ether, potassium hydroxide, acetone hydrazone","60 g (0.27 mole), 100 ml, 4.5 ml, 15 g (0.21 mole)",2-diazopropane,70-90%,diethyl ether,room temperature,N/A,70-90%
volume50article11_1_1,"phenylacetic acid, phosphorus trichloride, bromine","230 g (1.69 moles), 15 g (0.12 mole), 288 g (1.80 moles)",α-Bromophenylacetic acid,217-233 g,benzene,reflux,2-3 days,60-62%
volume50article11_2_1,"α-bromophenylacetic acid, sodium carbonate, sodium sulfide","223 g (1.04 moles), 157 g (1.48 moles), 104 g (0.8 mole)","α,α'-Diphenylthiodiglycolic acid",135-140 g,water,"Room temperature, boiling point",3 hours,86-89%
volume50article11_3_1,"crude α,α'-diphenylthiodiglycolic acid, hydrogen peroxide, bromine, potassium bromide","24.9 g (0.0824 mole), 37.4 g (0.33 mole), 30 g, 30 g","α,α'-Dibromodibenzyl sulfone",9-10 g,glacial acetic acid,"Room temperature, 80°C","3 days, 30 minutes",27-30%
volume50article11_5_1,"dibenzyl sulfide, bromine","11.35 g (0.05304 mole), 17.6 g (0.0978 mole)","α,α'-Dibromodibenzyl sulfone",6.5 g,carbon tetrachloride,reflux,3 hours,30%
volume50article13_2_1,"magnesium turnings, methyl iodide, copper(I) chloride, diethyl isopropylidenemalonate","18.3 g (0.753 g-atom), 113.5 g (0.7993 mole), 1.0 g (0.010 mole), 100 g (0.500 mole)",Diethyl tert-butylmalonate,93.5-102 g,diethyl ether,0-5°C,30 minutes,87-94%
volume50article14_1_1,"3-sulfolene, diethyl fumarate, hydroquinone","60.0 g (0.508 mole), 86.0 g (82.0 ml, 0.500 mole), 1.0 g",DIETHYL trans-Δ4-TETRAHYDROPHTHALATE,75-82 g,ethanol,105-110°C,8-10 hours,66-73%
volume50article15_1_1,"phthalic acid, sodium acetate, sodium amalgam, acetic acid","170 g (1.02 moles), 281 g, 3400 g, 10-20 ml (500 ml total)","trans-1,2-Dihydrophthalic acid",124 g,water,Ice bath,4-5 hours,72%
volume50article15_1_2,"phthalic acid, sodium acetate, sodium amalgam, acetic acid","170 g (1.02 moles), 281 g, 3400 g, 10-20 ml (500 ml total)","trans-1,2-Dihydrophthalic acid",93-107 g,water,Boiling,N/A,54-62%
volume50article16_1_1,"resorcinol dimethyl ether, chlorosulfonyl isocyanate, N,N-dimethylformamide","138 g (131 ml, 1.00 mole), 150 g (1.06 moles), 154 g (2.1 moles)","2,4-dimethoxybenzonitrile",155-157 g,dichloromethane,"15-20°C, room temperature, 10-12°C",1 hour,95-96%
volume50article17_1_1,"N,N-dimethyldodecylamine, tert-butyl hydroperoxide, vanadium oxyacetylacetonate","21.3 g (0.100 mole), 9.6 g (0.10 mole), 0.050 g","N,N-dimethyldodecylamine oxide",17.4-18.9 g,tert-butyl alcohol,"65-70°C, reflux",25 minutes,76-83%
volume50article19_1_1,"diphenylacetylene, dimethyl sulfoxide, sodium hydride","4.45 g (0.0250 mole), 30 ml, 2.4 g (ca. 0.05 mole)","2,3-diphenyl-1,3-butadiene",0.55-0.70 g,dimethyl sulfoxide,65°C,2.5 hours,10.7-13.6%
volume50article20_1_1,"α,α'-dibromodibenzyl sulfone, triethylamine","6.36 g (0.0157 mole), 5.05 g (0.0500 mole)","2,3-diphenylvinylene sulfone",2.4-2.5 g,dichloromethane,reflux,3 hours,63-67%
volume50article23_1_1,"2-Bromothiophene, potassium hydroxide, copper(I) oxide, 2-Thiophenethiol","16.4 g (0.101 mole), 5.6 g (0.10 mole), 7.15 g (0.0500 mole), 11.6 g (0.100 mole)","2,2'-dithienyl sulfide",11.5-12.5 g,"N,N-dimethylformamide",130-140°C,16 hours,58-63%
volume50article24_1_1,"1-naphthoyl chloride, diazomethane, triethylamine","30.5 g (0.160 mole), 6.72 g (0.160 mole), 16.1 g (0.160 mole)",1-(diazoacetyl)naphthalene,26.6-28.8 g,diethyl ether,ice-cooled,3 hours,85-92%
volume50article24_2_1,"1-(diazoacetyl)naphthalene, silver benzoate, triethylamine","15.7 g (0.0801 mole), 1 g, 10 ml",Ethyl 1-naphthylacetate,14.4-15.8 g,ethanol,Reflux,1 hour,84-92%
volume50article25_1_1,"hexafluoroacetone, pyridine, liquid ammonia, phosphorus oxychloride","462 g (2.78 moles), 1.2 l, 58.3 ml (47.6 g, 2.80 moles), 394 g (235 ml, 2.57 moles)",hexafluoroacetone imine,254-291 g,N/A,"-45°C to -40°C, 40°C, 100°C","30 minutes, 30 minutes",55-65%
volume50article26_1_1,"Cycloöctene, dinitrogen tetroxide, triethylamine","44.4 g (53.5 ml, 0.404 mole), 39.3 g (27.1 ml, 0.427 mole), 121 g (1.20 moles)",1-nitrocycloöctene,39-40 g,diethyl ether,-10°C to room temperature,"30 minutes (stirring), 12 minutes (triethylamine addition), 30 minutes (room temperature)",63-64%
volume50article27_1_1,"Naphthalene, anhydrous ethylamine, anhydrous dimethylamine, lithium metal wire","25.6 g (0.200 mole), 250 ml, 250 ml, 11.55 g (1.674 g-atoms)","Δ9,10-octalin, Δ1,9-octalin",19-20 g,"anhydrous ethylamine, anhydrous dimethylamine","Ice bath, overnight",14 hours,70-74%
volume50article27_2_1,"sodium borohydride, 2-methyl-2-butene, boron trifluoride diethyl etherate","2.35 g (0.0618 mole), 11.55 g (0.1650 mole), 11.75 g (0.08275 mole)","Δ9,10-octalin",9-13 g,tetrahydrofuran,Room temperature,3.5 hours,33-48%
volume50article28_1_1,"ethyl diazoacetate, styrene","179 g (1.57 moles), 163 g (1.57 moles)",Ethyl cis- and trans-2-phenylcyclopropanecarboxylate,155 g,xylene,reflux,90 minutes,52%
volume50article28_2_1,"ethyl cis- and trans-2-phenylcyclopropanecarboxylate, sodium hydroxide","155 g (0.816 mole), 24.5 g (0.612 mole)",cis-2-Phenylcyclopropanecarboxylic acid,19.5-23.8 g,"ethanol, water, benzene",reflux,5 hours,"14.6-20.7% based on mixed ester, 38-46.4% based on cis ester"
volume50article29_1_1,"magnesium, ethyl bromide, phenylacetylene","19 g (0.81 g-atom), 109 g (1.00 mole), 102 g (1.00 mole)",Phenylethynylmagnesium bromide,N/A,tetrahydrofuran,reflux,ca. 1.5 hours,N/A
volume50article29_3_1,"1-phenyl-1,4-pentadiyne, sodium hydroxide","10 g (0.071 mole), 2 g","1-phenyl-1,3-pentadiyne",5.4-7.5 g,ethanol,N/A,ca. 2 hours,54-75%
volume50article30_1_1,"acetophenone, anhydrous N,N-dimethylhydrazine","12.0 g (0.100 mole), 18.0 g (0.300 mole)","acetophenone N,N-dimethylhydrazone",14.6-15.2 g,"ethanol, glacial acetic acid",reflux,24 hours,90-94%
volume50article31_1_1,"thiophene, n-butyllithium, sulfur","56 g (53 ml, 0.67 mole), 490 ml (0.662 mole), 20.4 g (0.638 g-atom)",2-thiophenethiol,49.5-53.5 g,tetrahydrofuran,-40°C to -10°C,1 hour,65-70%
