type,field,entry,row_index,csv_set,ann_set,corrected_label,Unnamed: 7
FN,STARTING_MATERIAL,N-hydroxyphthalimide,15,(R)-Isopropylidene glycerol,"(R)-Isopropylidene glycerol, N-hydroxyphthalimide",TP,
FP,REAGENT_CATALYST,N-hydroxyphthalimide,15,"N-hydroxyphthalimide, Triphenylphosphine, dimethyl azodicarboxylate","Triphenylphosphine, dimethyl azodicarboxylate",FP,
FP,REACTION_PRODUCT,"2-(7-bromo-2,3-dihydrobenzofuran-5-yl)ethan-1-ol",16,"2-(7-bromo-2,3-dihydrobenzofuran-5-yl)ethan-1-ol","methyl 2-(2,3-dihydrobenzofuran-5-yl)acetate",FP,
FN,REACTION_PRODUCT,"methyl 2-(2,3-dihydrobenzofuran-5-yl)acetate",16,"2-(7-bromo-2,3-dihydrobenzofuran-5-yl)ethan-1-ol","methyl 2-(2,3-dihydrobenzofuran-5-yl)acetate",TP,
FN,STARTING_MATERIAL,methanol,16,"2-(2,3-dihydrobenzofuran-5-yl)acetic acid","2-(2,3-dihydrobenzofuran-5-yl)acetic acid, methanol",TP,
FP,SOLVENT,methanol,16,methanol,,TP,
FN,REAGENT_CATALYST,propylphosphonic anhydride,18,pyridine,"propylphosphonic anhydride, pyridine",TP,
FN,SOLVENT,ethyl acetate,18,acetonitrile,"acetonitrile, ethyl acetate",TP,
FN,REACTION_PRODUCT,desired product,19,"5-bromo-1-methyl-3-(1-methyl-1,2,3,6-tetrahydropyridin-4-yl)-1H-pyrrolo-[2,3-b]pyridine","5-bromo-1-methyl-3-(1-methyl-1,2,3,6-tetrahydropyridin-4-yl)-1H-pyrrolo-[2,3-b]pyridine, desired product",TP,
FP,STARTING_MATERIAL,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",21,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine, tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate","1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl) carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine, tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate",TP,
FN,STARTING_MATERIAL,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl) carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",21,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine, tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate","1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl) carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine, tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate",TP,
FN,REAGENT_CATALYST,acetic acid,22,picoline - borane complex,"acetic acid, picoline - borane complex",TP,
FP,SOLVENT,acetic acid,22,"acetic acid, dichloromethane, methanol","dichloromethane, methanol",TP,
FP,STARTING_MATERIAL,1-[(3-chloro-4-fluorophenyl)carbonyl]piperidin-4-one,23,1-[(3-chloro-4-fluorophenyl)carbonyl]piperidin-4-one,"1-[(3-chloro-4-fluorophenyl) carbonyl] piperidin-4-one, 2-chloroacetonitrile",TP,
FN,STARTING_MATERIAL,1-[(3-chloro-4-fluorophenyl) carbonyl] piperidin-4-one,23,1-[(3-chloro-4-fluorophenyl)carbonyl]piperidin-4-one,"1-[(3-chloro-4-fluorophenyl) carbonyl] piperidin-4-one, 2-chloroacetonitrile",TP,
FN,STARTING_MATERIAL,2-chloroacetonitrile,23,1-[(3-chloro-4-fluorophenyl)carbonyl]piperidin-4-one,"1-[(3-chloro-4-fluorophenyl) carbonyl] piperidin-4-one, 2-chloroacetonitrile",TP,
FN,REACTION_PRODUCT,6b,24,N-(1-(benzo[b]thiophen-2-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine,"6b, N-(1-(benzo[b]thiophen-2-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine, title compound",TP,
FN,STARTING_MATERIAL,6a,24,"1-(benzo[b]thiophen-2-yl)propan-2-amine, 2-fluoro-2-methylpropyl trifluoromethanesulfonate","1-(benzo[b]thiophen-2-yl)propan-2-amine, 1b, 2-fluoro-2-methylpropyl trifluoromethanesulfonate, 6a",TP,
FN,STARTING_MATERIAL,1b,24,"1-(benzo[b]thiophen-2-yl)propan-2-amine, 2-fluoro-2-methylpropyl trifluoromethanesulfonate","1-(benzo[b]thiophen-2-yl)propan-2-amine, 1b, 2-fluoro-2-methylpropyl trifluoromethanesulfonate, 6a",TP,
FP,TEMPERATURE,85°C,25,"85°C, room temperature","85° C, room temperature",TP,
FN,TEMPERATURE,85° C,25,"85°C, room temperature","85° C, room temperature",TP,
FP,TEMPERATURE,on ice,28,"60° C, on ice",60° C,TP,
FN,REAGENT_CATALYST,sodium hydrogen carbonate,30,triphenylphosphine,"sodium hydrogen carbonate, triphenylphosphine",TP,
FN,SOLVENT,aqueous,30,DMF,"DMF, aqueous",FN,
FN,REACTION_PRODUCT,"(E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2, 3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate",32,"(E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate","(E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2, 3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate, (E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate, 3c, title compound",TP,
FN,REACTION_PRODUCT,3c,32,"(E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate","(E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2, 3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate, (E)-methyl 3-(3,5-difluoro-4-((1S,3R/1R,3S)-2-(2-fluoro-2-methylpropyl)-6-hydroxy-3-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)phenyl)acrylate, 3c, title compound",TP,
FN,STARTING_MATERIAL,1e,32,"(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 3-(2-((2-fluoro-2-methylpropyl)amino)propyl)phenol","(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 1e, 3-(2-((2-fluoro-2-methylpropyl)amino)propyl)phenol, 3b",TP,
FN,STARTING_MATERIAL,3b,32,"(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 3-(2-((2-fluoro-2-methylpropyl)amino)propyl)phenol","(E)-methyl 3-(3,5-difluoro-4-formylphenyl) acrylate, 1e, 3-(2-((2-fluoro-2-methylpropyl)amino)propyl)phenol, 3b",TP,
FN,REACTION_PRODUCT,"1-(Cyclopropylmethyl)-6-(2-(2,4-dimethylthiazol-5-yl)ethyl)-4-methyl-pyrazolo [4,3 - d]pyrimidine-5,7-dione",34,"1-(cyclopropylmethyl)-6-(2-(2,4-dimethylthiazol-5-yl)ethyl)-4-methyl-pyrazolo[4,3-d]pyrimidine-5,7-dione","1-(Cyclopropylmethyl)-6-(2-(2,4-dimethylthiazol-5-yl)ethyl)-4-methyl-pyrazolo [4,3 - d]pyrimidine-5,7-dione, 1-(cyclopropylmethyl)-6-(2-(2,4-dimethylthiazol-5-yl)ethyl)-4-methyl-pyrazolo[4,3-d]pyrimidine-5,7-dione",TP,
FN,REACTION_PRODUCT,compound of Example 7,35,1-(4-(dimethylamino)piperidin-1-yl)-3-hydroxy-3-(1-methyl-1H-imidazol-2-yl)propan-1-one hydrochloride,"1-(4-(dimethylamino)piperidin-1-yl)-3-hydroxy-3-(1-methyl-1H-imidazol-2-yl)propan-1-one hydrochloride, compound of Example 7",TP,
FP,TIME,overnight,36,"10 min, overnight",10 minutes,TP,
FN,SOLVENT,CH2Cl2,39,dichloromethane,"CH2Cl2, dichloromethane",TP,
FP,TIME,overnight,39,overnight,,TP,
FN,REAGENT_CATALYST,pyridine,40,DMAP,"DMAP, pyridine",TP,
FP,SOLVENT,pyridine,40,pyridine,,TP,
FP,STARTING_MATERIAL,hydroxylamine hydrochloride,42,"1-(5-bromo-3-fluoropyridin-2-yl)-N-((1S,3R)-1-(5-bromo-3-fluoropyridin-2-yl)-2-((1-fluorocyclopropyl)methyl)-3,5-dimethyl-1,2,3,4-tetrahydroisoquinolin-6-yl)methanimine, hydroxylamine hydrochloride","1-(5-bromo-3-fluoropyridin-2-yl)-N-((1S,3R)-1-(5-bromo-3-fluoropyridin-2-yl)-2-((1-fluorocyclopropyl)methyl)-3,5-dimethyl-1,2,3,4-tetrahydroisoquinolin-6-yl)methanimine",TP,
FN,REAGENT_CATALYST,Hydroxylamine hydrochloride,42,potassium acetate,"Hydroxylamine hydrochloride, potassium acetate",TP,
FN,REACTION_PRODUCT,compound of Example 14,43,(S)-1-(3-(dimethylamino)piperidin-1-yl)-3-(1-methyl-1H-imidazol-2-yl)propan-1-one hydrochloride,"(S)-1-(3-(dimethylamino)piperidin-1-yl)-3-(1-methyl-1H-imidazol-2-yl)propan-1-one Hydrochloride, (S)-1-(3-(dimethylamino)piperidin-1-yl)-3-(1-methyl-1H-imidazol-2-yl)propan-1-one hydrochloride, compound of Example 14",TP,
FN,REACTION_PRODUCT,11139,44,"1-ethyl-N-phenyl-N-(4-(5-(trifluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)azetidine-3-carboxamide","1-ethyl-N-phenyl-N-(4-(5-(trifluoromethyl)-1,3,4-oxadiazol-2-yl)benzyl)azetidine-3-carboxamide, 11139, title compound",TP,
FN,REAGENT_CATALYST,Acetic acid,45,isopentyl nitrite,"Acetic acid, isopentyl nitrite",TP,
FN,SOLVENT,CH2Cl2,47,dichloromethane,"CH2Cl2, dichloromethane",TP,
FN,STARTING_MATERIAL,prop-1-yn-1-ylmagnesium bromide,48,"2,4,5-trichloronicotinaldehyde","2,4,5-trichloronicotinaldehyde, prop-1-yn-1-ylmagnesium bromide",TP,
FP,REAGENT_CATALYST,prop-1-yn-1-ylmagnesium bromide,48,prop-1-yn-1-ylmagnesium bromide,,FP,
FN,REACTION_PRODUCT,solid,52,9-[Ethyl-(2-hydroxyethyl)-amino]-5-phenylamino-benzo[a]phenoxazine,"9-[Ethyl-(2-hydroxyethyl)-amino]-5-phenylamino-benzo[a]phenoxazine, solid",TP,
FN,STARTING_MATERIAL,4-trifluoromethoxyphenacyl bromide,54,1-(4-chlorophenyl)-5-oxopyrrolidin-3-carboxamide,"1-(4-chlorophenyl)-5-oxopyrrolidin-3-carboxamide, 4-trifluoromethoxyphenacyl bromide",TP,
FN,SOLVENT,mineral oil,54,DMF,"DMF, mineral oil",TP,
FP,TEMPERATURE,110°C,54,"110°C, room temperature","110 °C, room temperature",TP,
FN,TEMPERATURE,110 °C,54,"110°C, room temperature","110 °C, room temperature",TP,
FN,TIME,30 minutes,54,"18 h, 3 h","18 hours, 3 hours, 30 minutes",TP,
FN,REAGENT_CATALYST,TFA,56,N-bromosuccinimide,"N-bromosuccinimide, TFA",TP,
FP,SOLVENT,TFA,56,TFA,,TP,
FP,TEMPERATURE,ice cooling,59,"-20°C, ice cooling",-20°C,TP,
FP,TEMPERATURE,room temperature,62,"80°C, room temperature","80°C, room tempreature",TP,
FN,TEMPERATURE,room tempreature,62,"80°C, room temperature","80°C, room tempreature",TP,
FN,SOLVENT,mineral oil,63,"DMF, THF","DMF, THF, mineral oil",TP,
FP,TEMPERATURE,0°C,63,"0°C, room temperature","0 °C, room temperature",TP,
FN,TEMPERATURE,0 °C,63,"0°C, room temperature","0 °C, room temperature",TP,
FN,STARTING_MATERIAL,ethylaminehydrochloride,64,4-(3-(N-phenylpentaneamido)prop-1-yn-1-yl)benzoic acid,"4-(3-(N-phenylpentaneamido)prop-1-yn-1-yl)benzoic acid, ethylaminehydrochloride",TP,
FP,REAGENT_CATALYST,ethylaminehydrochloride,64,"1-ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride, 1-hydroxybenzotriazole hydrate, ethylaminehydrochloride","1-ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride, 1-hydroxybenzotriazole hydrate, triethylamine",FP,
FN,REAGENT_CATALYST,triethylamine,64,"1-ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride, 1-hydroxybenzotriazole hydrate, ethylaminehydrochloride","1-ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride, 1-hydroxybenzotriazole hydrate, triethylamine",TP,
FP,SOLVENT,triethylamine,64,"N,N-dimethylformamide (DMF), triethylamine","DMF, N,N-dimethylformamide",TP,
FP,TEMPERATURE,90°C,65,"90°C, room temperature","90° C, room temperature",TP,
FN,TEMPERATURE,90° C,65,"90°C, room temperature","90° C, room temperature",TP,
FP,REACTION_PRODUCT,"tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3,4-dihydroisoquinoline-2(1H)-carboxylate",68,"tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3,4-dihydroisoquinoline-2(1H)-carboxylate","desired product, tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3, 4-dihydroisoquinoline-2(1H)-carboxylate",TP,
FN,REACTION_PRODUCT,"tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3, 4-dihydroisoquinoline-2(1H)-carboxylate",68,"tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3,4-dihydroisoquinoline-2(1H)-carboxylate","desired product, tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3, 4-dihydroisoquinoline-2(1H)-carboxylate",TP,
FN,REACTION_PRODUCT,desired product,68,"tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3,4-dihydroisoquinoline-2(1H)-carboxylate","desired product, tert-Butyl 5-(6-cyano-1H-pyrazolo[4,3-b]pyridin-5-yl)-6-fluoro-3, 4-dihydroisoquinoline-2(1H)-carboxylate",TP,
FN,YIELD_OTHER,0.04 mmol,70,20 mg,"0.04 mmol, 20 mg",TP,
FP,REACTION_PRODUCT,"N-phenyl-N-(4-(2-(2,2,2-trifluoroacetyl)hydrazine-1-carbonyl)benzyl)benzamide",79,"N-phenyl-N-(4-(2-(2,2,2-trifluoroacetyl)hydrazine-1-carbonyl)benzyl)benzamide","11107, title compound",FP,
FN,REACTION_PRODUCT,11107,79,"N-phenyl-N-(4-(2-(2,2,2-trifluoroacetyl)hydrazine-1-carbonyl)benzyl)benzamide","11107, title compound",TP,
FN,REAGENT_CATALYST,1-methoxy-N-triethylammoniosulfonyl-methanimidate,79,Burgess reagent,"1-methoxy-N-triethylammoniosulfonyl-methanimidate, Burgess reagent",TP,
FN,STARTING_MATERIAL,bis-(3-methoxyphenyl)zinc,81,"N-phenyl-[1,1'-phenyl]-2-amine","Boron tribromide, N-phenyl-[1,1'-phenyl]-2-amine, bis-(3-methoxyphenyl)zinc",TP,
FN,STARTING_MATERIAL,Boron tribromide,81,"N-phenyl-[1,1'-phenyl]-2-amine","Boron tribromide, N-phenyl-[1,1'-phenyl]-2-amine, bis-(3-methoxyphenyl)zinc",TP,
FP,REAGENT_CATALYST,Boron tribromide,81,Boron tribromide,,TP,
FN,TEMPERATURE,˜22° C,81,"120° C, 180° C, room temperature","120° C, 180° C, room temperature, ˜22° C",TP,
FN,TIME,30 mins,81,"12 h, 3 h","12 hours, 3 hours, 30 mins",TP,
FN,REAGENT_CATALYST,HBr,84,bromine,"HBr, bromine",TP,
FN,YIELD_OTHER,408 g,84,420 g,"408 g, 420 g",TP,
FP,TIME,overnight,87,overnight,,TP,
FP,STARTING_MATERIAL,N-alpha,88,"(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt","(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt",TP,
FP,STARTING_MATERIAL,N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt,88,"(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt","(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt",TP,
FN,STARTING_MATERIAL,"N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt",88,"(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt","(2S)-2-{[(1S)-1-phenyl-2-(pyridin-1-ium-2-yl)ethyl]carbamoyl}pyrrolidin-1-ium dichloride, N-alpha, N-epsilon-bis(tert-Butoxycarbonyl)-L-lysine dicyclohexylammonium salt",TP,
FN,REACTION_PRODUCT,product,90,methyl-3-oxodecanoate (1a),"1a, methyl-3-oxodecanoate, product",TP,
FN,STARTING_MATERIAL,MeOH,90,"2,2-Dimethyl-1,3-dioxane-4,6-dione (Meldrum's acid), octanoyl chloride","2,2-Dimethyl-1,3-dioxane-4,6-dione, MeOH, Meldrum's acid, octanoyl chloride",TP,
FP,TEMPERATURE,reflux,90,"0° C, reflux, room temperature","0° C, 0°C, room temperature",TP,
FN,TEMPERATURE,0°C,90,"0° C, reflux, room temperature","0° C, 0°C, room temperature",TP,
FN,REACTION_PRODUCT,viscous oil,92,"1-Methoxymethyl-2-(4-iso-butylphenyl)-4,5-dibromoimidazole","1-Methoxymethyl-2-(4-iso-butylphenyl)-4,5-dibromoimidazole, 6, viscous oil",TP,
FN,REACTION_PRODUCT,6,92,"1-Methoxymethyl-2-(4-iso-butylphenyl)-4,5-dibromoimidazole","1-Methoxymethyl-2-(4-iso-butylphenyl)-4,5-dibromoimidazole, 6, viscous oil",TP,
FN,REAGENT_CATALYST,K2CO3,92,Pd(PPh3)4,"K2CO3, Pd(PPh3)4",TP,
