row_index,field,entry,classification,matched_with,csv_set_size,ann_set_size
3,STARTING_MATERIAL,"6-(2-Amino-6-morpholinopyrimidin-4-yl)-3'-fluoro-5-methoxy-[2,4'-bipyridin]-2'-amine",TP,"6-(2-Amino-6-morpholinopyrimidin-4-yl)-3'-fluoro-5-methoxy-[2,4'-bipyridin]-2'-amine",1,1
3,TEMPERATURE,170 °C,TP,170 °C,2,2
3,TEMPERATURE,room temperature,TP,room temperature,2,2
3,TIME,30 min,TP,30 min,1,1
3,YIELD_OTHER,72 mg,TP,72 mg,1,1
3,YIELD_PERCENT,62%,TP,62 %,1,1
4,REACTION_PRODUCT,"8-Chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-2-(hydroxymethyl)-1,6-naphthyridin-4(1H)-one",TP,"8-Chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-2-(hydroxymethyl)-1,6-naphthyridin-4(1H)-one",1,2
4,REACTION_PRODUCT,title compound,TP,,1,2
4,REAGENT_CATALYST,TBAF,TP,TBAF,1,1
4,SOLVENT,THF,TP,THF,1,1
4,STARTING_MATERIAL,"2-(((tert-butyldimethylsilyl)oxy)methyl)-8-chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-1,6-naphthyridin-4(1H)-one",TP,"2-(((tert-butyldimethylsilyl)oxy)methyl)-8-chloro-1-(2,6-dichlorophenyl)-5-((2,2-dimethyl-1,3-dioxolan-4-yl)methoxy)-1,6-naphthyridin-4(1H)-one",1,1
4,TEMPERATURE,0° C,TP,0° C,1,1
4,TIME,1 h,TP,1 hour,1,1
4,YIELD_OTHER,1.74 g,TP,1.74 g,1,1
4,YIELD_PERCENT,74%,TP,74%,1,1
5,REACTION_PRODUCT,"(R)-tert-Butyl (2-(8-(benzyloxy)-2-oxo-1,2-dihydroquinolin-5-yl)-2-((tert-butyldimethylsilyl)oxy)ethyl)((1-benzylpiperidin-4-yl)methyl)carbamate",TP,"(R)-tert-Butyl (2-(8-(benzyloxy)-2-oxo-1,2-dihydroquinolin-5-yl)-2-((tert-butyldimethylsilyl)oxy)ethyl)((1-benzylpiperidin-4-yl)methyl)carbamate",1,2
5,REACTION_PRODUCT,title compound,TP,,1,2
5,REAGENT_CATALYST,di-tert-butyldicarbonate,FP,,1,0
5,SOLVENT,DCM,TP,DCM,1,1
5,STARTING_MATERIAL,(R)-8-(benzyloxy)-5-(2-(((1-benzylpiperidin-4-yl)methyl)amino)-1-((tert-butyldimethylsilyl)oxy)ethyl)quinolin-2(1H)-one,TP,(R)-8-(benzyloxy)-5-(2-(((1-benzylpiperidin-4-yl)methyl)amino)-1-((tert-butyldimethylsilyl)oxy)ethyl)quinolin-2(1H)-one,1,2
5,STARTING_MATERIAL,di-tert-butyldicarbonate,FN,,1,2
5,TEMPERATURE,room temperature,TP,room temperature,1,1
5,TIME,16 hours,TP,16 hours,1,1
5,YIELD_OTHER,2.83 g,TP,2.83 g,1,1
5,YIELD_PERCENT,92%,TP,92%,1,1
6,REACTION_PRODUCT,N-((5-(hydrazinecarbonyl)pyridin-2-yl)methyl)-1-methyl-N-phenylpiperidine-4-carboxamide,TP,N-((5-(hydrazinecarbonyl)pyridin-2-yl)methyl)-1-methyl-N-phenylpiperidine-4-carboxamide,1,2
6,REACTION_PRODUCT,title compound,TP,,1,2
6,REAGENT_CATALYST,hydrazine monohydrate,TP,hydrazine monohydrate,1,1
6,SOLVENT,ethanol,TP,ethanol,1,1
6,STARTING_MATERIAL,Methyl 6-((1-methyl-N-phenylpiperidine-4-carboxamido)methyl)nicotinate,TP,Methyl 6-((1-methyl-N-phenylpiperidine-4-carboxamido)methyl)nicotinate,1,1
6,TEMPERATURE,reflux,TP,reflux,2,2
6,TEMPERATURE,room temperature,TP,room temperature,2,2
6,TIME,12 h,TP,12 hours,1,1
6,YIELD_OTHER,0.115 g,TP,0.115 g,1,1
6,YIELD_PERCENT,95.8%,TP,95.8%,1,1
7,REACTION_PRODUCT,1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one,TP,1-(4-(dimethylamino)piperidin-1-yl)-3-(1-ethyl-1H-imidazol-2-yl)-3-hydroxypropan-1-one,1,2
7,REACTION_PRODUCT,compound of Example 8,FN,,1,2
7,REAGENT_CATALYST,lithium diisopropylamide,TP,lithium diisopropylamide,1,1
7,SOLVENT,tetrahydrofuran,TP,tetrahydrofuran,1,1
7,STARTING_MATERIAL,1-(4-(dimethylamino)piperidin-1-yl)ethanone,TP,1-(4-(dimethylamino)piperidin-1-yl)ethanone,2,2
7,STARTING_MATERIAL,1-ethyl-1H-imidazole-2-carbaldehyde,TP,1-ethyl-1H-imidazole-2-carbaldehyde,2,2
7,TEMPERATURE,-78°C,TP,-78°C,2,2
7,TEMPERATURE,0°C,TP,0°C,2,2
7,TIME,1 h,TP,1 hour,1,1
7,YIELD_OTHER,0.221 g,TP,0.221 g,2,2
7,YIELD_OTHER,0.751 mmol,TP,0.751 mmol,2,2
7,YIELD_PERCENT,43%,TP,43%,1,1
8,REACTION_PRODUCT,Compound 7,TP,7,1,1
8,STARTING_MATERIAL,2-bromonaphthalene,TP,2-bromonaphthalene,2,2
8,STARTING_MATERIAL,Compound A,TP,A,2,2
8,YIELD_OTHER,12.12 g,TP,12.12 g,1,1
8,YIELD_PERCENT,87%,TP,87%,1,1
9,REACTION_PRODUCT,Compound 34,TP,34,1,1
9,REAGENT_CATALYST,EDCI,TP,EDCI,1,1
9,SOLVENT,DMF,TP,DMF,1,1
9,STARTING_MATERIAL,Compound 33,TP,33,1,2
9,STARTING_MATERIAL,N-hydroxy succinimide,FN,,1,2
9,TEMPERATURE,room temperature,TP,room temperature,1,1
9,TIME,overnight,FP,,1,0
9,YIELD_OTHER,273 mg,TP,273 mg,1,1
9,YIELD_PERCENT,76.4%,TP,76.4%,1,1
10,REACTION_PRODUCT,7-c,FN,,1,1
10,REACTION_PRODUCT,"N-(2-Methoxy-4-(piperidin-4-yl)phenyl)-3-(2-methoxyphenyl)-3H-[1,2,3]triazolo[4,5-d]pyrimidin-5-amine (compound 7)",FP,,1,1
10,REAGENT_CATALYST,diisopropylethylamine,TP,diisopropylethylamine,1,1
10,SOLVENT,tetrahydrofuran,TP,tetrahydrofuran,1,1
10,STARTING_MATERIAL,"2,3-Dichloro-4-nitropyrimidine",TP,"2,3-Dichloro-4-nitropyrimidine",2,2
10,STARTING_MATERIAL,2-methoxyaniline,TP,2-methoxyaniline,2,2
10,TEMPERATURE,-78°C,TP,-78°C,2,2
10,TEMPERATURE,room temperature,TP,room temperature,2,2
10,TIME,2 h,TP,2 hours,1,1
10,YIELD_OTHER,6.9 g,TP,6.9 g,1,1
10,YIELD_PERCENT,82%,TP,82%,1,1
11,REACTION_PRODUCT,5-Bromo-7-chloroindolin-2-one,TP,5-Bromo-7-chloroindolin-2-one,1,2
11,REACTION_PRODUCT,title compound,TP,,1,2
11,REAGENT_CATALYST,N-bromosuccinimide,TP,N-bromosuccinimide,1,2
11,REAGENT_CATALYST,TFA,FN,,1,2
11,SOLVENT,TFA,FP,,1,0
11,STARTING_MATERIAL,7-chloroindolin-2-one,TP,7-chloroindolin-2-one,1,1
11,TEMPERATURE,0° C,TP,0° C,1,1
11,TIME,6 h,TP,6 h,1,1
11,YIELD_OTHER,861 mg,TP,861 mg,1,1
11,YIELD_PERCENT,58%,TP,58%,1,1
12,REACTION_PRODUCT,"8-Bromo-2-(tert-butyl)-7-methylimidazo[1,2-a]pyridine",TP,"8-Bromo-2-(tert-butyl)-7-methylimidazo[1,2-a]pyridine",1,2
12,REACTION_PRODUCT,title compound,TP,,1,2
12,REAGENT_CATALYST,potassium phosphate,TP,potassium phosphate,1,1
12,SOLVENT,EtOH,TP,EtOH,1,1
12,STARTING_MATERIAL,"1-bromo-3,3-dimethylbutan-2-one",TP,"1-bromo-3,3-dimethylbutan-2-one",2,2
12,STARTING_MATERIAL,3-bromo-4-methylpyridin-2-amine,TP,3-bromo-4-methylpyridin-2-amine,2,2
12,TEMPERATURE,160° C,TP,160° C,1,1
12,TIME,60 min,TP,60 minutes,1,1
12,YIELD_OTHER,105 mg,TP,105 mg,1,1
12,YIELD_PERCENT,74%,TP,74%,1,1
13,REACTION_PRODUCT,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate",FN,,1,4
13,REACTION_PRODUCT,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate",FP,,1,4
13,REACTION_PRODUCT,"(E)-methyl3-(4-((1R,3R/1S,3S)-6-(1-ethyl-1H-pyrazol-4-yl)-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluoroph enyl)acrylate",FN,,1,4
13,REACTION_PRODUCT,76f,FN,,1,4
13,REACTION_PRODUCT,title compound,TP,,1,4
13,REAGENT_CATALYST,"[1,1'-bis(diphenylphosphino)ferrocene]dichloropalladium (II)",TP,"[1,1'-bis(diphenylphosphino)ferrocene]dichloropalladium (II)",2,2
13,REAGENT_CATALYST,potassium carbonate,TP,potassium carbonate,2,2
13,SOLVENT,"1,4-dioxane",TP,"1,4-dioxane",2,2
13,SOLVENT,water,TP,water,2,2
13,STARTING_MATERIAL,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate",TP,"(E)-methyl 3-(4-((1R,3R/1S,3S)-6-bromo-2-(2-fluoro-2-methylpropyl)-3-methyl-1,2,3,4-tetrahydrobenzofuro[2,3-c]pyridin-1-yl)-3,5-difluorophenyl)acrylate",2,4
13,STARTING_MATERIAL,"1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",TP,"1-ethyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",2,4
13,STARTING_MATERIAL,17a,FN,,2,4
13,STARTING_MATERIAL,76e,FN,,2,4
13,TEMPERATURE,85°C,TP,85°C,2,2
13,TEMPERATURE,room temperature,TP,room temperature,2,2
13,TIME,12 h,TP,12 hours,1,1
13,YIELD_OTHER,110 mg,TP,110 mg,1,1
13,YIELD_PERCENT,53%,TP,53%,1,1
14,REACTION_PRODUCT,compound 50-e,TP,50-e,1,1
14,SOLVENT,water,TP,water,1,1
14,STARTING_MATERIAL,compound 50-f,TP,50-f,1,1
14,TEMPERATURE,reflux,TP,reflux,2,2
14,TEMPERATURE,room temperature,TP,room temperature,2,2
14,TIME,2 hrs,TP,2hrs,1,1
14,YIELD_OTHER,1.6g,TP,1.6g,1,1
14,YIELD_PERCENT,64%,TP,64%,1,1
15,REACTION_PRODUCT,compound 44a,TP,44a,1,1
15,REAGENT_CATALYST,N-hydroxyphthalimide,FP,,3,2
15,REAGENT_CATALYST,Triphenylphosphine,TP,Triphenylphosphine,3,2
15,REAGENT_CATALYST,dimethyl azodicarboxylate,TP,dimethyl azodicarboxylate,3,2
15,SOLVENT,tetrahydrofuran,TP,tetrahydrofuran,2,2
15,SOLVENT,toluene,TP,toluene,2,2
15,STARTING_MATERIAL,(R)-Isopropylidene glycerol,TP,(R)-Isopropylidene glycerol,1,2
15,STARTING_MATERIAL,N-hydroxyphthalimide,FN,,1,2
15,TEMPERATURE,0°C,TP,0°C,2,2
15,TEMPERATURE,room temperature,TP,room temperature,2,2
15,TIME,30 min,TP,30 minutes,1,1
15,YIELD_OTHER,1.78 g,TP,1.78 g,1,1
15,YIELD_PERCENT,21%,TP,21%,1,1
16,REACTION_PRODUCT,"2-(7-bromo-2,3-dihydrobenzofuran-5-yl)ethan-1-ol",FP,,1,1
16,REACTION_PRODUCT,"methyl 2-(2,3-dihydrobenzofuran-5-yl)acetate",FN,,1,1
16,REAGENT_CATALYST,sulfuric acid,TP,sulfuric acid,1,1
16,SOLVENT,methanol,FP,,1,0
16,STARTING_MATERIAL,"2-(2,3-dihydrobenzofuran-5-yl)acetic acid",TP,"2-(2,3-dihydrobenzofuran-5-yl)acetic acid",1,2
16,STARTING_MATERIAL,methanol,FN,,1,2
16,TEMPERATURE,70° C,TP,70° C,1,1
16,TIME,2 h,TP,2 h,1,1
16,YIELD_OTHER,4.0 g,TP,4.0 g,1,1
16,YIELD_PERCENT,93%,TP,93%,1,1
17,REACTION_PRODUCT,Compound I-307,TP,I-307,1,1
17,STARTING_MATERIAL,Compound 202,TP,202,2,2
17,STARTING_MATERIAL,Compound 208,TP,208,2,2
17,YIELD_OTHER,0.105 mmol,TP,0.105 mmol,2,2
17,YIELD_OTHER,56 mg,TP,56 mg,2,2
17,YIELD_PERCENT,56%,TP,56%,1,1
18,REACTION_PRODUCT,"N-(4-(2-oxo-1,2,3,4-tetrahydroquinolin-6-yl)thiazol-2-yl)thiazole-5-carboxamide",TP,"N-(4-(2-oxo-1,2,3,4-tetrahydroquinolin-6-yl)thiazol-2-yl)thiazole-5-carboxamide",1,1
18,REAGENT_CATALYST,propylphosphonic anhydride,FN,,1,2
18,REAGENT_CATALYST,pyridine,TP,pyridine,1,2
18,SOLVENT,acetonitrile,TP,acetonitrile,1,2
18,SOLVENT,ethyl acetate,FN,,1,2
18,STARTING_MATERIAL,5-thiazole carboxylic acid,TP,5-thiazole carboxylic acid,2,2
18,STARTING_MATERIAL,"6-(2-aminothiazol-4-yl)-3,4-dihydroquinolin-2(1H)-one",TP,"6-(2-aminothiazol-4-yl)-3,4-dihydroquinolin-2(1H)-one",2,2
18,TEMPERATURE,48.5° C,TP,48.5° C,1,1
18,TIME,4 days,TP,4 days,1,1
18,YIELD_OTHER,0.132 g,TP,0.132 g,1,1
18,YIELD_PERCENT,91%,TP,91%,1,1
19,REACTION_PRODUCT,"5-bromo-1-methyl-3-(1-methyl-1,2,3,6-tetrahydropyridin-4-yl)-1H-pyrrolo-[2,3-b]pyridine",TP,"5-bromo-1-methyl-3-(1-methyl-1,2,3,6-tetrahydropyridin-4-yl)-1H-pyrrolo-[2,3-b]pyridine",1,2
19,REACTION_PRODUCT,desired product,FN,,1,2
19,REAGENT_CATALYST,K2CO3,TP,K2CO3,2,2
19,REAGENT_CATALYST,tetrakis(triphenylphosphine)palladium(0),TP,tetrakis(triphenylphosphine)palladium(0),2,2
19,SOLVENT,dioxane,TP,dioxane,2,2
19,SOLVENT,water,TP,water,2,2
19,STARTING_MATERIAL,"1-methyl-1,2,3,6-tetrahydropyridin-4-boronic acid",TP,"1-methyl-1,2,3,6-tetrahydropyridin-4-boronic acid",2,2
19,STARTING_MATERIAL,"5-bromo-3-iodo-1-methyl-1H-pyrrolo[2,3-b]pyridine",TP,"5-bromo-3-iodo-1-methyl-1H-pyrrolo[2,3-b]pyridine",2,2
19,TEMPERATURE,40° C,TP,40° C,1,1
19,TIME,15 h,TP,15 h,1,1
19,YIELD_OTHER,106 mg,TP,106 mg,1,1
19,YIELD_PERCENT,65%,TP,65%,1,1
20,REACTION_PRODUCT,N-(2-fluoro-4-(hydrazinecarbonyl)benzyl)-N-phenylacetamide,TP,N-(2-fluoro-4-(hydrazinecarbonyl)benzyl)-N-phenylacetamide,1,2
20,REACTION_PRODUCT,title compound,TP,,1,2
20,REAGENT_CATALYST,nitrogen oxide,TP,nitrogen oxide,1,1
20,SOLVENT,ethanol,TP,ethanol,1,1
20,STARTING_MATERIAL,Methyl 3-fluoro-4-((N-phenylacetamido)methyl)benzoate,TP,Methyl 3-fluoro-4-((N-phenylacetamido)methyl)benzoate,1,1
20,TEMPERATURE,reflux,TP,reflux,2,2
20,TEMPERATURE,room temperature,TP,room temperature,2,2
20,TIME,5 h,TP,5 hours,1,1
20,YIELD_OTHER,0.150 g,TP,0.150 g,1,1
20,YIELD_PERCENT,94.9%,TP,94.9%,1,1
21,REACTION_PRODUCT,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-{N-[1-(R)-2-(R)-1-(t-butoxycarbonyl)-1-hydroxy-prop-2-yl]carbamoyl}benzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",TP,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-{N-[1-(R)-2-(R)-1-(t-butoxycarbonyl)-1-hydroxy-prop-2-yl]carbamoyl}benzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",1,2
21,REACTION_PRODUCT,title compound,TP,,1,2
21,REAGENT_CATALYST,N-methylmorpholine,TP,N-methylmorpholine,2,2
21,REAGENT_CATALYST,TBTU,TP,TBTU,2,2
21,SOLVENT,DCM,TP,DCM,2,2
21,SOLVENT,DMF,TP,DMF,2,2
21,STARTING_MATERIAL,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl) carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",FN,,2,2
21,STARTING_MATERIAL,"1,1-Dioxo-3,3-dibutyl-5-phenyl-7-methylthio-8-[N-((R)-α-carboxybenzyl)carbamoylmethoxy]-2,3,4,5-tetrahydro-1,2,5-benzothiadiazepine",FP,,2,2
21,STARTING_MATERIAL,"tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate",TP,"tert-butyl (2R,3R)-3-amino-2-hydroxybutanoate",2,2
21,TIME,4 h,TP,4 hours,1,1
21,YIELD_OTHER,33 mg,TP,33 mg,1,1
21,YIELD_PERCENT,53%,TP,53%,1,1
22,REACTION_PRODUCT,Compound 155,TP,155,1,1
22,REAGENT_CATALYST,acetic acid,FN,,1,2
22,REAGENT_CATALYST,picoline - borane complex,TP,picoline - borane complex,1,2
22,SOLVENT,acetic acid,FP,,3,2
22,SOLVENT,dichloromethane,TP,dichloromethane,3,2
22,SOLVENT,methanol,TP,methanol,3,2
22,STARTING_MATERIAL,Compound 154,TP,154,2,2
22,STARTING_MATERIAL,morpholine,TP,morpholine,2,2
22,TEMPERATURE,room temperature,TP,room temperature,1,1
22,TIME,1 h,TP,1 hour,1,1
22,YIELD_OTHER,23.2 mg,TP,23.2 mg,1,1
22,YIELD_PERCENT,68%,TP,68%,1,1
23,REACTION_PRODUCT,6-[(3-chloro-4-fluorophenyl)carbonyl]-1-oxa-6-azaspiro[2.5]octane-2-carbonitril,TP,6-[(3-chloro-4-fluorophenyl)carbonyl]-1-oxa-6-azaspiro[2.5]octane-2-carbonitril,1,1
23,REAGENT_CATALYST,TBAC,TP,TBAC,2,2
23,REAGENT_CATALYST,sodium hydroxide,TP,sodium hydroxide,2,2
23,SOLVENT,H2O,TP,H2O,2,2
23,SOLVENT,dichloromethane,TP,dichloromethane,2,2
23,STARTING_MATERIAL,1-[(3-chloro-4-fluorophenyl) carbonyl] piperidin-4-one,FN,,1,2
23,STARTING_MATERIAL,1-[(3-chloro-4-fluorophenyl)carbonyl]piperidin-4-one,FP,,1,2
23,STARTING_MATERIAL,2-chloroacetonitrile,FN,,1,2
23,TEMPERATURE,0° C,TP,0° C,2,2
23,TEMPERATURE,room temperature,TP,room temperature,2,2
23,TIME,1 h,TP,1 h,1,1
23,YIELD_OTHER,1.1 g,TP,1.1 g,1,1
23,YIELD_PERCENT,48%,TP,48%,1,1
24,REACTION_PRODUCT,6b,FN,,1,3
24,REACTION_PRODUCT,N-(1-(benzo[b]thiophen-2-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine,TP,N-(1-(benzo[b]thiophen-2-yl)propan-2-yl)-2-fluoro-2-methylpropan-1-amine,1,3
24,REACTION_PRODUCT,title compound,TP,,1,3
24,REAGENT_CATALYST,"N,N-diisopropylethylamine",TP,"N,N-diisopropylethylamine",1,1
24,SOLVENT,"1,4-dioxane",TP,"1,4-dioxane",1,1
24,STARTING_MATERIAL,1-(benzo[b]thiophen-2-yl)propan-2-amine,TP,1-(benzo[b]thiophen-2-yl)propan-2-amine,2,4
24,STARTING_MATERIAL,1b,FN,,2,4
24,STARTING_MATERIAL,2-fluoro-2-methylpropyl trifluoromethanesulfonate,TP,2-fluoro-2-methylpropyl trifluoromethanesulfonate,2,4
24,STARTING_MATERIAL,6a,FN,,2,4
24,TEMPERATURE,90°C,TP,90°C,1,1
24,TIME,5 h,TP,5 hours,1,1
24,YIELD_OTHER,75 mg,TP,75 mg,1,1
24,YIELD_PERCENT,35%,TP,35%,1,1
25,REACTION_PRODUCT,"N,N'-(((((((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxypyridine-6,3-diyl))bis(methylene))bis(azanediyl))bis(ethane-2,1-diyl))diacetamide",TP,"N,N'-(((((((2,2'-dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxypyridine-6,3-diyl))bis(methylene))bis(azanediyl))bis(ethane-2,1-diyl))diacetamide",1,2
25,REACTION_PRODUCT,"N,N'-(((((((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxypyridine-6,3-diyl))bis(methylene))bis(azanediyl))bis(ethane-2,1-diyl))diacetamide",TP,"N,N'-(((((((2,2'-Dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxypyridine-6,3-diyl))bis(methylene))bis(azanediyl))bis(ethane-2,1-diyl))diacetamide",1,2
25,REAGENT_CATALYST,sodium triacetoxyborohydride,TP,sodium triacetoxyborohydride,1,1
25,SOLVENT,"1,2-dichloroethane",TP,"1,2-dichloroethane",1,1
25,STARTING_MATERIAL,"6,6'-(((2,2'-dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxynicotinaldehyde)",TP,"6,6'-(((2,2'-dimethyl-[1,1'-biphenyl]-3,3'-diyl)bis(methylene))bis(oxy))bis(2-methoxynicotinaldehyde)",2,2
25,STARTING_MATERIAL,N-(2-aminoethyl)acetamide,TP,N-(2-aminoethyl)acetamide,2,2
25,TEMPERATURE,85° C,FN,,2,2
25,TEMPERATURE,85°C,FP,,2,2
25,TEMPERATURE,room temperature,TP,room temperature,2,2
25,TIME,20 min,TP,20 min,2,2
25,TIME,3 h,TP,3 h,2,2
25,YIELD_OTHER,230 mg,TP,230 mg,1,1
25,YIELD_PERCENT,33%,TP,33%,1,1
26,REACTION_PRODUCT,"1-(2-Methoxyethyl)-5-methyl-2,4-dioxo-3-(2-phenylethyl)-1,2,3,4-tetrahydrothieno[2,3-d]pyrimidine-6-carboxylic acid",TP,"1-(2-Methoxyethyl)-5-methyl-2,4-dioxo-3-(2-phenylethyl)-1,2,3,4-tetrahydrothieno[2,3-d]pyrimidine-6-carboxylic acid",1,2
26,REACTION_PRODUCT,title compound,TP,,1,2
26,REAGENT_CATALYST,trifluoroacetic acid,TP,trifluoroacetic acid,1,1
26,SOLVENT,dichloromethane,TP,dichloromethane,1,1
26,STARTING_MATERIAL,compound from Ex. 10A,TP,compound from Ex. 10A,1,1
26,TEMPERATURE,RT,TP,RT,1,1
26,TIME,2 h,TP,2 h,1,1
26,YIELD_OTHER,4.1 g,TP,4.1 g,1,1
