volume,article,raw_name,CAS,CIRsmiles,PubChemsmiles,PubChem_after_cas_check_smiles,PubChem_name_smiles,OPSIN_name_smiles,Processed_name,Processed_PubChemsmiles
7,1,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
7,1,ether ,60-29-7,CCOCC,CCOCC,CCOCC,CCOCC,CCOCC,,CCOCC
7,1,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
7,1,phenol ,108-95-2,Oc1ccccc1,Oc1ccccc1,Oc1ccccc1,Oc1ccccc1,Oc1ccccc1,,Oc1ccccc1
7,1,chloroacetic acid ,79-11-8,OC(=O)CCl,OC(=O)CCl,OC(=O)CCl,OC(=O)CCl,OC(=O)CCl,,OC(=O)CCl
7,1,acetone ,67-64-1,CC(C)=O,CC(C)=O,CC(C)=O,CC(C)=O,CC(C)=O,,CC(C)=O
7,1,phenolarsonic acid,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,none,
7,1,decolorizing carbon ,7782-42-5,Not Found,[C],[C],[C],[C],,[C]
7,1,"p-ARSONOPHENOXYACETIC ACID,
Acetic acid, p-arsonophenoxy- ",53663-15-3,Not Found,Not Found,Not Found,Not Found,[As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1,,[As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1
7,1,p-hydroxyphenylarsonic acid ,98-14-6,Oc1ccc(cc1)[As](O)(O)=O,Oc1ccc(cc1)[As](O)(O)=O,Oc1ccc(cc1)[As](O)(O)=O,Oc1ccc(cc1)[As](O)(O)=O,Oc1ccc(cc1)[As](O)(O)=O,,Oc1ccc(cc1)[As](O)(O)=O
7,1,sodium p-hydroxyphenylarsonate ,53663-20-0,Not Found,Not Found,Not Found,C1=CC(=CC=C1O)[As](=O)(O)[O-].[Na+],C1=CC(=CC=C1O)[As](=O)(O)[O-].[Na+],,C1=CC(=CC=C1O)[As](=O)(O)[O-].[Na+]
7,2,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
7,2,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
7,2,aniline ,62-53-3,Nc1ccccc1,Nc1ccccc1,Nc1ccccc1,Nc1ccccc1,Nc1ccccc1,,Nc1ccccc1
7,2,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
7,2,Benzoic acid ,65-85-0,OC(=O)c1ccccc1,OC(=O)c1ccccc1,OC(=O)c1ccccc1,OC(=O)c1ccccc1,OC(=O)c1ccccc1,,OC(=O)c1ccccc1
7,2,Benzanilide ,93-98-1,O=C(Nc1ccccc1)c2ccccc2,O=C(Nc1ccccc1)c2ccccc2,O=C(Nc1ccccc1)c2ccccc2,O=C(Nc1ccccc1)c2ccccc2,O=C(Nc1ccccc1)c2ccccc2,,O=C(Nc1ccccc1)c2ccccc2
7,2,"decolorizing carbon (Norite),
carbon ",7782-42-5,Not Found,[C],[C],[C],[C],,[C]
7,2,benzoyl chloride ,98-88-4,ClC(=O)c1ccccc1,ClC(=O)c1ccccc1,ClC(=O)c1ccccc1,ClC(=O)c1ccccc1,ClC(=O)c1ccccc1,,ClC(=O)c1ccccc1
7,2,Benzoic anhydride ,93-97-0,O=C(OC(=O)c1ccccc1)c2ccccc2,O=C(OC(=O)c1ccccc1)c2ccccc2,O=C(OC(=O)c1ccccc1)c2ccccc2,O=C(OC(=O)c1ccccc1)c2ccccc2,O=C(OC(=O)c1ccccc1)c2ccccc2,,O=C(OC(=O)c1ccccc1)c2ccccc2
7,2,benzamide ,55-21-0,NC(=O)c1ccccc1,NC(=O)c1ccccc1,NC(=O)c1ccccc1,NC(=O)c1ccccc1,NC(=O)c1ccccc1,,NC(=O)c1ccccc1
7,2,boron fluoride ,7637-07-2,FB(F)F,FB(F)F,FB(F)F,FB(F)F,FB(F)F,,FB(F)F
7,2,p-Dimethylaminobenzophenone ,530-44-9,CN(C)c1ccc(cc1)C(=O)c2ccccc2,CN(C)c1ccc(cc1)C(=O)c2ccccc2,CN(C)c1ccc(cc1)C(=O)c2ccccc2,CN(C)c1ccc(cc1)C(=O)c2ccccc2,CN(C)c1ccc(cc1)C(=O)c2ccccc2,,CN(C)c1ccc(cc1)C(=O)c2ccccc2
7,3,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
7,3,bromide ,24959-67-9,[Br-],[Br-],[Br-],[Br-],[Br-],,[Br-]
7,3,acetone ,67-64-1,CC(C)=O,CC(C)=O,CC(C)=O,CC(C)=O,CC(C)=O,,CC(C)=O
7,3,"decolorizing carbon,
decolorizing carbon (Norite) ",7782-42-5,Not Found,[C],[C],[C],[C],,[C]
7,3,potassium hydroxide ,1310-58-3,[OH-].[K+],[OH-].[K+],[OH-].[K+],[OH-].[K+],[OH-].[K+],,[OH-].[K+]
7,3,carbon disulfide ,75-15-0,S=C=S,S=C=S,S=C=S,S=C=S,S=C=S,,S=C=S
7,3,"β-Bromoethylphthalimide,
bromoethylphthalimide",Not Found,Not Found,Not Found,Not Found,C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr,C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr,,C1=CC(=C2C(=C1)C(=O)NC2=O)CCBr
7,3,Potassium Phthalimide ,1074-82-4,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,,[K+].O=C1[N-]C(=O)c2ccccc12
7,3,Phthalimide ,85-41-6,O=C1NC(=O)c2ccccc12,O=C1NC(=O)c2ccccc12,O=C1NC(=O)c2ccccc12,O=C1NC(=O)c2ccccc12,O=C1NC(=O)c2ccccc12,,O=C1NC(=O)c2ccccc12
7,3,ethylene dibromide ,106-93-4,BrCCBr,BrCCBr,BrCCBr,BrCCBr,BrCCBr,,BrCCBr
7,3,potassium bromide ,7758-02-3,[K+].[Br-],[K+].[Br-],[K+].[Br-],[K+].[Br-],[K+].[Br-],,[K+].[Br-]
7,3,diphthalimidoethane,Not Found,Not Found,Not Found,Not Found,Not Found,C1(C=2C(C(N1C(C)N1C(C=3C(C1=O)=CC=CC3)=O)=O)=CC=CC2)=O,,C1(C=2C(C(N1C(C)N1C(C=3C(C1=O)=CC=CC3)=O)=O)=CC=CC2)=O
7,3,"Phthalimide, N-(2-bromoethyl)- ",574-98-1,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,,BrCCN1C(=O)c2ccccc2C1=O
7,4,Anhydro-2-hydroxymercuri-3-nitrobenzoic acid,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2-Hydroxymercuri-3-nitrobenzoic acid,Not Found
7,4,sodium salt of the chloromercuric acid,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Sodium chloromercurate,Not Found
7,4,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
7,4,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
7,4,acetic acid ,64-19-7,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,,CC(O)=O
7,4,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
7,4,sodium chloride ,7647-14-5,[Na+].[Cl-],[Na+].[Cl-],[Na+].[Cl-],[Na+].[Cl-],[Na+].[Cl-],,[Na+].[Cl-]
7,4,bromine ,7726-95-6,[Br-],[Br-],[Br-],[Br-],[Br-],,[Br-]
7,4,sodium bromide ,7647-15-6,[Na+].[Br-],[Na+].[Br-],[Na+].[Br-],[Na+].[Br-],[Na+].[Br-],,[Na+].[Br-]
7,4,potassium iodide ,7681-11-0,[K+].[I-],[K+].[I-],[K+].[I-],[K+].[I-],[K+].[I-],,[K+].[I-]
7,4,3-Nitrophthalic acid ,603-11-2,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O,,OC(=O)c1cccc(c1C(O)=O)[N+]([O-])=O
7,4,mercury ,7439-97-6,[Hg],[Hg],[Hg],[Hg],[Hg],,[Hg]
7,4,"2-Bromo-3-nitrobenzoic acid,
Benzoic acid, 2-bromo-3-nitro- ",573-54-6,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,OC(=O)c1cccc(c1Br)[N+]([O-])=O,,OC(=O)c1cccc(c1Br)[N+]([O-])=O
7,4,iodine ,7553-56-2,II,II,II,II,II,,II
7,4,mercuric iodide ,7774-29-0,[I-].[I-].[Hg++],[I-].[I-].[Hg++],[I-].[I-].[Hg++],[I-].[I-].[Hg++],[I-].[I-].[Hg++],,[I-].[I-].[Hg++]
7,4,2-iodo-3-nitrobenzoic acid ,5398-69-6,OC(=O)c1cccc(c1I)[N+]([O-])=O,OC(=O)c1cccc(c1I)[N+]([O-])=O,OC(=O)c1cccc(c1I)[N+]([O-])=O,OC(=O)c1cccc(c1I)[N+]([O-])=O,OC(=O)c1cccc(c1I)[N+]([O-])=O,,OC(=O)c1cccc(c1I)[N+]([O-])=O
7,4,2-bromobenzoic acid ,88-65-3,OC(=O)c1ccccc1Br,OC(=O)c1ccccc1Br,OC(=O)c1ccccc1Br,OC(=O)c1ccccc1Br,OC(=O)c1ccccc1Br,,OC(=O)c1ccccc1Br
7,4,3-nitroanthranilic acid,Not Found,Not Found,Not Found,Not Found,C1=CC(=C(C(=C1)[N+](=O)[O-])N)C(=O)O,C1=CC(=C(C(=C1)[N+](=O)[O-])N)C(=O)O,,C1=CC(=C(C(=C1)[N+](=O)[O-])N)C(=O)O
17,0,acetylcitric anyhdride,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Acetyl citrate anhydride,Not Found
17,0,pyrosulfuric acid,Not Found,Not Found,Not Found,Not Found,OS(=O)(=O)OS(=O)(=O)O,OS(=O)(=O)OS(=O)(=O)O,,OS(=O)(=O)OS(=O)(=O)O
17,0,sulfuric acid ,7664-93-9,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,,O[S](O)(=O)=O
17,0,"hydrogen chloride,
hydrochloric acid ",7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
17,0,acetic acid ,64-19-7,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,CC(O)=O,,CC(O)=O
17,0,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
17,0,citric acid ,77-92-9,OC(=O)CC(O)(CC(O)=O)C(O)=O,OC(=O)CC(O)(CC(O)=O)C(O)=O,OC(=O)CC(O)(CC(O)=O)C(O)=O,OC(=O)CC(O)(CC(O)=O)C(O)=O,OC(=O)CC(O)(CC(O)=O)C(O)=O,,OC(=O)CC(O)(CC(O)=O)C(O)=O
17,0,Norite ,7782-42-5,Not Found,[C],[C],[C],[C],,[C]
17,0,phosphoric acid ,7664-38-2,O[P](O)(O)=O,O[P](O)(O)=O,O[P](O)(O)=O,O[P](O)(O)=O,O[P](O)(O)=O,,O[P](O)(O)=O
17,0,Aconitic acid ,499-12-7,OC(=O)C\C(=C/C(O)=O)C(O)=O,OC(=O)C\C(=C/C(O)=O)C(O)=O,OC(=O)C\C(=C/C(O)=O)C(O)=O,OC(=O)C\C(=C/C(O)=O)C(O)=O,OC(=O)C\C(=C/C(O)=O)C(O)=O,,OC(=O)C\C(=C/C(O)=O)C(O)=O
17,0,citric acid monohydrate ,5949-29-1,O.OC(=O)CC(O)(CC(O)=O)C(O)=O,O.OC(=O)CC(O)(CC(O)=O)C(O)=O,O.OC(=O)CC(O)(CC(O)=O)C(O)=O,O.OC(=O)CC(O)(CC(O)=O)C(O)=O,O.OC(=O)CC(O)(CC(O)=O)C(O)=O,,O.OC(=O)CC(O)(CC(O)=O)C(O)=O
17,0,methyl acetylcitrate,Not Found,Not Found,Not Found,Not Found,Not Found,C(C)(=O)C(C(=O)OC)C(O)(C(=O)[O-])CC(=O)[O-],,C(C)(=O)C(C(=O)OC)C(O)(C(=O)[O-])CC(=O)[O-]
17,1,piperylurethan,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,none,
17,1,sodiomalonic ester,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Sodium malonate,C(C(=O)[O-])C(=O)[O-].[Na+].[Na+]
17,1,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
17,1,sulfuric acid ,7664-93-9,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,O[S](O)(=O)=O,,O[S](O)(=O)=O
17,1,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
17,1,ammonia ,7664-41-7,N,N,N,N,N,,N
17,1,nitric acid ,7697-37-2,O[N+]([O-])=O,O[N+]([O-])=O,O[N+]([O-])=O,O[N+]([O-])=O,O[N+]([O-])=O,,O[N+]([O-])=O
17,1,carbon dioxide ,124-38-9,O=C=O,O=C=O,O=C=O,O=C=O,O=C=O,,O=C=O
17,1,carbon ,7782-42-5,Not Found,[C],[C],[C],[C],,[C]
17,1,Potassium Phthalimide ,1074-82-4,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,[K+].O=C1[N-]C(=O)c2ccccc12,,[K+].O=C1[N-]C(=O)c2ccccc12
17,1,γ-Chlorobutyronitrile ,628-20-6,ClCCCC#N,ClCCCC#N,ClCCCC#N,ClCCCC#N,ClCCCC#N,,ClCCCC#N
17,1,barium hydroxide ,17194-00-2,[OH-].[OH-].[Ba++],[OH-].[OH-].[Ba++],[OH-].[OH-].[Ba++],[OH-].[OH-].[Ba++],[OH-].[OH-].[Ba++],,[OH-].[OH-].[Ba++]
17,1,barium carbonate ,513-77-9,[Ba++].[O-]C([O-])=O,[Ba++].[O-]C([O-])=O,[Ba++].[O-]C([O-])=O,[Ba++].[O-]C([O-])=O,[Ba++].[O-]C([O-])=O,,[Ba++].[O-]C([O-])=O
17,1,ammonium sulfate ,7783-20-2,N.N.O[S](O)(=O)=O,N.N.O[S](O)(=O)=O,N.N.O[S](O)(=O)=O,N.N.O[S](O)(=O)=O,N.N.O[S](O)(=O)=O,,N.N.O[S](O)(=O)=O
17,1,phthalic acid ,88-99-3,OC(=O)c1ccccc1C(O)=O,OC(=O)c1ccccc1C(O)=O,OC(=O)c1ccccc1C(O)=O,OC(=O)c1ccccc1C(O)=O,OC(=O)c1ccccc1C(O)=O,,OC(=O)c1ccccc1C(O)=O
17,1,Succinimide ,123-56-8,O=C1CCC(=O)N1,O=C1CCC(=O)N1,O=C1CCC(=O)N1,O=C1CCC(=O)N1,O=C1CCC(=O)N1,,O=C1CCC(=O)N1
17,1,"γ-Aminobutyric acid,
Butyric acid, γ-amino- ",56-12-2,NCCCC(O)=O,NCCCC(O)=O,NCCCC(O)=O,NCCCC(O)=O,NCCCC(O)=O,,NCCCC(O)=O
17,1,potassium chloride ,7447-40-7,[Cl-].[K+],[Cl-].[K+],[Cl-].[K+],[Cl-].[K+],[Cl-].[K+],,[Cl-].[K+]
17,1,γ-phthalimidobutyronitrile,Not Found,Not Found,Not Found,Not Found,Not Found,C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O,,C1(C=2C(C(N1CCCC#N)=O)=CC=CC2)=O
17,1,pyrrolidone ,616-45-5,O=C1CCCN1,O=C1CCCN1,O=C1CCCN1,O=C1CCCN1,O=C1CCCN1,,O=C1CCCN1
17,1,N-(β-bromoethyl)-phthalimide ,574-98-1,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,BrCCN1C(=O)c2ccccc2C1=O,,BrCCN1C(=O)c2ccccc2C1=O
17,2,alcohol ,64-17-5,CCO,CCO,CCO,CCO,CCO,,CCO
17,2,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
17,2,ether ,60-29-7,CCOCC,CCOCC,CCOCC,CCOCC,CCOCC,,CCOCC
17,2,lead hydroxide,Not Found,Not Found,Not Found,Not Found,Not Found,[Pb](O)O,,[Pb](O)O
17,2,silver oxide ,20667-12-3,O(|[Ag])|[Ag],O(|[Ag])|[Ag],O(|[Ag])|[Ag],O(|[Ag])|[Ag],O(|[Ag])|[Ag],,O(|[Ag])|[Ag]
17,2,hydrogen sulfide ,7783-06-4,S,S,S,S,S,,S
17,2,silver nitrate ,7761-88-8,[Ag+].[O-][N+]([O-])=O,[Ag+].[O-][N+]([O-])=O,[Ag+].[O-][N+]([O-])=O,[Ag+].[O-][N+]([O-])=O,[Ag+].[O-][N+]([O-])=O,,[Ag+].[O-][N+]([O-])=O
17,2,"ε-AMINOCAPROIC ACID,
Caproic acid, ε-amino- ",60-32-2,NCCCCCC(O)=O,NCCCCCC(O)=O,NCCCCCC(O)=O,NCCCCCC(O)=O,NCCCCCC(O)=O,,NCCCCCC(O)=O
17,2,2-Ketohexamethylenimine ,105-60-2,O=C1CCCCCN1,O=C1CCCCCN1,O=C1CCCCCN1,O=C1CCCCCN1,O=C1CCCCCN1,,O=C1CCCCCN1
17,2,ε-aminocaproic acid hydrochloride,Not Found,Not Found,Not Found,Not Found,Not Found,Cl.NCCCCCC(=O)O,,Cl.NCCCCCC(=O)O
17,2,ε-benzoylaminocapronitrile,Not Found,Not Found,Not Found,Not Found,Not Found,C(C1=CC=CC=C1)(=O)NCCCCCC#N,,C(C1=CC=CC=C1)(=O)NCCCCCC#N
17,2,ethyl δ-phthalimidobutylmalonate,Not Found,Not Found,Not Found,Not Found,Not Found,C1(C=2C(C(N1CCCCC(C(=O)OCC)C(=O)[O-])=O)=CC=CC2)=O,,C1(C=2C(C(N1CCCCC(C(=O)OCC)C(=O)[O-])=O)=CC=CC2)=O
17,2,Cyclohexanone oxime ,100-64-1,ON=C1CCCCC1,ON=C1CCCCC1,ON=C1CCCCC1,ON=C1CCCCC1,ON=C1CCCCC1,,ON=C1CCCCC1
17,2,DL-Alanine ,302-72-7,CC(N)C(O)=O,CC(N)C(O)=O,CC(N)C(O)=O,CC(N)C(O)=O,CC(N)C(O)=O,,CC(N)C(O)=O
17,3,"1,4-Aminonaphthol hydrochloride",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4-Aminonaphthalen-1-ol hydrochloride,C1=CC=C2C(=C1)C(=CC=C2O)N.Cl
17,3,"1,4-Aminonaphthol",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4-Aminonaphthalen-1-ol,C1=CC=C2C(=C1)C(=CC=C2O)N
17,3,"1,4-nitrosonaphthol",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1-naphthyl-4-nitrosoaniline,Not Found
17,3,"1,2-aminonaphthol",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2-Amino-1-naphthol,C1=CC=C2C(=C1)C=CC(=C2O)N
17,3,Orange I,Not Found,Not Found,Not Found,Not Found,C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],,C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+]
17,3,hydrochloric acid ,7647-01-0,[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],[H+].[Cl-],,[H+].[Cl-]
17,3,sodium hydroxide ,1310-73-2,[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],[OH-].[Na+],,[OH-].[Na+]
17,3,"1-Naphthol, 4-amino-, hydrochloride ",5959-56-8,[Cl-].[NH3+]c1ccc(O)c2ccccc12,[Cl-].[NH3+]c1ccc(O)c2ccccc12,[Cl-].[NH3+]c1ccc(O)c2ccccc12,[Cl-].[NH3+]c1ccc(O)c2ccccc12,[Cl-].[NH3+]c1ccc(O)c2ccccc12,,[Cl-].[NH3+]c1ccc(O)c2ccccc12
17,3,α-naphthol ,90-15-3,Oc1cccc2ccccc12,Oc1cccc2ccccc12,Oc1cccc2ccccc12,Oc1cccc2ccccc12,Oc1cccc2ccccc12,,Oc1cccc2ccccc12
17,3,benzeneazo-α-naphthol,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,benzene-azo-α-naphthol,Not Found
17,3,sodium hydrosulfite ,7775-14-6,[Na+].[Na+].[O-][S](=O)[S]([O-])=O,[Na+].[Na+].[O-][S](=O)[S]([O-])=O,[Na+].[Na+].[O-][S](=O)[S]([O-])=O,[Na+].[Na+].[O-][S](=O)[S]([O-])=O,[Na+].[Na+].[O-][S](=O)[S]([O-])=O,,[Na+].[Na+].[O-][S](=O)[S]([O-])=O
17,3,aminonaphthol,Not Found,Not Found,Not Found,Not Found,C1=CC=C2C(=C1)C=CC(=C2O)N,C1=CC=C2C(=C1)C=CC(=C2O)N,,C1=CC=C2C(=C1)C=CC(=C2O)N
17,3,β-naphthol ,135-19-3,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,,Oc1ccc2ccccc2c1
17,3,stannous chloride,Not Found,Not Found,Not Found,Not Found,Cl[Sn]Cl,Cl[Sn]Cl,,Cl[Sn]Cl
17,3,α-nitronaphthalene ,86-57-7,[O-][N+](=O)c1cccc2ccccc12,[O-][N+](=O)c1cccc2ccccc12,[O-][N+](=O)c1cccc2ccccc12,[O-][N+](=O)c1cccc2ccccc12,[O-][N+](=O)c1cccc2ccccc12,,[O-][N+](=O)c1cccc2ccccc12
17,3,sulfanilic acid dihydrate,Not Found,Not Found,Not Found,Not Found,C1=CC(=CC=C1[NH3+])S(=O)(=O)[O-].O.O,C1=CC(=CC=C1[NH3+])S(=O)(=O)[O-].O.O,,C1=CC(=CC=C1[NH3+])S(=O)(=O)[O-].O.O
17,3,stannous chloride dihydrate ,10025-69-1,O.O.[Cl-].[Cl-].[Sn++],O.O.[Cl-].[Cl-].[Sn++],O.O.[Cl-].[Cl-].[Sn++],O.O.[Cl-].[Cl-].[Sn++],O.O.[Cl-].[Cl-].[Sn++],,O.O.[Cl-].[Cl-].[Sn++]
17,3,"2,4-diamino-1-naphthol",Not Found,Not Found,Not Found,Not Found,Not Found,NC1=C(C2=CC=CC=C2C(=C1)N)O,,NC1=C(C2=CC=CC=C2C(=C1)N)O
17,3,naphthyl hydroxylamine,Not Found,Not Found,Not Found,Not Found,Not Found,C1(=CC=CC2=CC=CC=C12)NO,,C1(=CC=CC2=CC=CC=C12)NO
