Index,Reactants,ReactantSMILES,Reactant amounts,Products,ProductSMILES,Product amounts,Solvents,Reaction temperature,Reaction time,ReactionSMILES,Yield
volume27article2_1_1,"acrylonitrile, concentrated ammonium hydroxide","C=CC#N, [NH4+].[OH-]","100 ml (80 g, 1.5 moles), 400 ml","β-aminopropionitrile, bis-(β-cyanoethyl)-amine","NCCC#N, N#CCCNCCC#N","130-140 g, 210 g",,,a few hours to overnight,C=CC#N.[NH4+].[OH-]>>NCCC#N.N#CCCNCCC#N,"31-33%, 57%"
volume27article3_1_1,"Benzalacetone, bromine","CC(=O)\C=C\c1ccccc1, [Br-]","100 g (0.68 mole), 109.5 g (34.2 ml, 0.68 mole)",Benzalacetone dibromide,CC(C)=O,110-120 g,carbon tetrachloride,10-20°C,4-5 minutes,CC(=O)\C=C\c1ccccc1.[Br-]>>CC(C)=O,52-57%
volume27article4_1_1,"Magnesium, allyl chloride, hydrochloric acid","[Mg++], ClCC=C, [H+].[Cl-]","82 g (3.5 gram atoms), 459 g (6 moles), N/A",Biallyl,C=CCCC=C,135-160 g,Ether,Room temperature,5 hours,[Mg++].ClCC=C.[H+].[Cl-]>>C=CCCC=C,55-65%
volume27article5_1_1,"benzalacetone dibromide, anhydrous sodium acetate, 95% ethanol","CC(C)=O, CC(=O)[O-], CCO","100 g (0.33 mole), 30 g (0.37 mole), 250 ml",α-Bromobenzalacetone,BrC(C1=CC=CC=C1)=CC(C)=O,47-54 g,95% ethanol,Reflux,4 hours,CC(C)=O.CC(=O)[O-].CCO>>BrC(C1=CC=CC=C1)=CC(C)=O,64-73%
volume37article1_1_1,"Sodium hydroxide, chlorine gas","[OH-].[Na+], ClCl","50 g (1.25 moles), 41 g (0.58 mole)",Sodium hypochlorite solution,[22Na],,water,0°C,,[OH-].[Na+].ClCl>>[22Na],
volume37article1_2_1,"o-Nitroaniline, potassium hydroxide, sodium hypochlorite","Nc1ccccc1[N+]([O-])=O, [OH-].[K+], [22Na]","40 g (0.29 mole), 21 g (0.32 mole), N/A",Benzofurazan oxide,[O-][n+]1onc2ccccc12,31.6-32.5 g,95% ethanol,0°C,10 minutes,Nc1ccccc1[N+]([O-])=O.[OH-].[K+].[22Na]>>[O-][n+]1onc2ccccc12,80-82%
volume37article1_3_1,"o-nitroaniline, sodium nitrite, sodium azide","Nc1ccccc1[N+]([O-])=O, [Na+].[O-]N=O, [22Na]","28 g (0.2 mole), 14.5 g, 13 g (0.2 mole)",o-Nitrophenylazide,[O-][N+](=O)c1ccccc1N=[N+]=[N-],31-32 g,"water, ethanol","0-5°C, 50-55°C","1 hour, N/A",Nc1ccccc1[N+]([O-])=O.[Na+].[O-]N=O.[22Na]>>[O-][N+](=O)c1ccccc1N=[N+]=[N-],"94-97%, 63-69%"
volume37article1_3_2,o-Nitrophenylazide,[O-][N+](=O)c1ccccc1N=[N+]=[N-],16.4 g (0.1 mole),Benzofurazan oxide,[O-][n+]1onc2ccccc12,10.5-11.5 g,toluene,Steam cone,3 hours,[O-][N+](=O)c1ccccc1N=[N+]=[N-]>>[O-][n+]1onc2ccccc12,77-85%
volume37article2_1_1,"ethyl benzoylacetate, aniline","CC(=O)[O-], Nc1ccccc1","105.7 g (0.55 mole), 46.6 g (0.5 mole)",benzoylacetanilide,CC(=O)Nc1ccccc1C(=O)c2ccccc2,99-100 g,"xylene, petroleum ether",135°C,15 minutes,CC(=O)[O-].Nc1ccccc1>>CC(=O)Nc1ccccc1C(=O)c2ccccc2,83-84%
volume37article3_1_1,"nicotinic acid, thionyl chloride, anhydrous benzene, anhydrous aluminum chloride","OC(=O)c1cccnc1, Cl[S](Cl)=O, c1ccccc1, [Al]","123 g (1 mole), 500 ml (6.9 moles), 200 ml, 330 g (2.5 moles)",3-benzoylpyridine,O=C(c1ccccc1)c2cccnc2,165-175 g,anhydrous benzene,"5-10°C, reflux","1 hour, 6 hours",OC(=O)c1cccnc1.Cl[S](Cl)=O.c1ccccc1.[Al]>>O=C(c1ccccc1)c2cccnc2,90-96%
volume37article4_1_1,"2-methylcyclohexanone, sulfuryl chloride","CC1CCCCC1=O, Cl[S](Cl)(=O)=O","224 g (2.0 moles), 179 ml (297 g, 2.2 moles)",2-chloro-2-methylcyclohexanone,CC1(Cl)CCCCC1=O,243-248 g,carbon tetrachloride,room temperature,2 hours,CC1CCCCC1=O.Cl[S](Cl)(=O)=O>>CC1(Cl)CCCCC1=O,83-85%
volume37article4_2_1,"2-chloro-2-methylcyclohexanone, 2,4,6-collidine","CC1(Cl)CCCCC1=O, Cc1cc(C)nc(C)c1","N/A, 290 ml (266 g, 2.2 moles)",2-methyl-2-cyclohexenone,CC1=CCCCC1=O,100-109 g,benzene,145-150°C,1 minute,CC1(Cl)CCCCC1=O.Cc1cc(C)nc(C)c1>>CC1=CCCCC1=O,45-49%
volume37article4_2_2,"2-chloro-2-methylcyclohexanone, lithium chloride, dimethylformamide","CC1(Cl)CCCCC1=O, [Li+].[Cl-], CN(C)C=O","N/A, 26 g, 250 ml",2-methyl-2-cyclohexenone,CC1=CCCCC1=O,47-50 g,dimethylformamide,100°C,4 hours,CC1(Cl)CCCCC1=O.[Li+].[Cl-].CN(C)C=O>>CC1=CCCCC1=O,43-45%
volume37article5_1_1,"nicotinamide-1-oxide, phosphorus pentachloride, phosphorus oxychloride","NC(=O)C1=C[NH++]([O-])C=C[CH-]1, O(Cl)Cl.P(Cl)(Cl)(Cl)(Cl)Cl, ClP=O","85.0 g (0.62 mole), 180.0 g (0.86 mole), 243 mL",2-chloronicotinonitrile,Clc1ncccc1C#N,30-33 g,,"60-70°C to 100°C, 115-120°C",1.5 hours,NC(=O)C1=C[NH++]([O-])C=C[CH-]1.O(Cl)Cl.P(Cl)(Cl)(Cl)(Cl)Cl.ClP=O>>Clc1ncccc1C#N,35-39%
volume47article1_1_1,"mesitylene, titanium tetrachloride, dichloromethyl methyl ether","Cc1cc(C)cc(C)c1, [Cl-].[Cl-].[Cl-].[Cl-].[Ti+4], COC(Cl)Cl","72 g (0.60 mole), 190 g (1.0 mole), 57.5 g (0.5 mole)",mesitaldehyde,Cc1cc(C)c(C=O)c(C)c1,60-66 g,methylene chloride,"ice bath, 35°C","3 min, 30 min, 15 min",Cc1cc(C)cc(C)c1.[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4].COC(Cl)Cl>>Cc1cc(C)c(C=O)c(C)c1,81-89%
volume47article2_1_1,"2-Nitroaniline, sulfuric acid, phosphoric acid, sodium nitrite, sulfamic acid, liquid sulfur dioxide, FeSO4·7H2O, copper powder","Nc1ccccc1[N+]([O-])=O, OS(=O)(=O)OS(=O)(=O)O, O[P](O)(O)=O, [Na+].[O-]N=O, N[S](O)(=O)=O, O=[S]=O, O, [Cu]","13.8 g (0.10 mole), 75 ml (96%), 100 ml, 8.3 g (0.12 mole), N/A, N/A, 55.6 g (0.20 mole), 1 g",2-Nitrobenzenesulfinic acid,C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)O,9.4-14.9 g,"water, ether, methylene chloride","10-15°C, -10°C",30 minutes,Nc1ccccc1[N+]([O-])=O.OS(=O)(=O)OS(=O)(=O)O.O[P](O)(O)=O.[Na+].[O-]N=O.N[S](O)(=O)=O.O=[S]=O.O.[Cu]>>C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)O,50-80%
volume47article2_2_1,"2-Nitrobenzenesulfinic acid, NaOH, palladium oxide","C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)O, [As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1, O=[Pd]","3.74 g (0.020 mole), about 20 ml 1N, 0.2-1.0 g",Sodium 2-aminobenzenesulfinate,[22Na],3.05-3.20 g,water,45°C,2-6 hours,C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)O.[As](=O)(O)(O)C1=CC=C(OCC(=O)O)C=C1.O=[Pd]>>[22Na],85-89%
volume47article2_3_1,"sodium 2-aminobenzenesulfinate, sodium nitrite, sulfuric acid, glycerol","[22Na], [Na+].[O-]N=O, OS(=O)(=O)OS(=O)(=O)O, OCC(O)CO","1.43 g (0.0080 mole), 0.55 g (0.0080 mole), 16 ml 2N, 22 ml","1,2,3-Benzothiadiazole 1,1-dioxide",C1=CC=C2C(=C1)N=NS2(=O)=O,0.77-1.04 g,"water, ether",-15°C,2 hours,[22Na].[Na+].[O-]N=O.OS(=O)(=O)OS(=O)(=O)O.OCC(O)CO>>C1=CC=C2C(=C1)N=NS2(=O)=O,57-77%
volume47article3_1_1,"cis,cis-1,5-cyclooctadiene, chloroform, benzoyl peroxide","C1/C=C\CC/C=C\C1, ClC(Cl)Cl, O=C(OOC(=O)c1ccccc1)c2ccccc2","325 g (3.0 moles), 3 l, 14.6 g (0.06 mole)",2-(trichloromethyl)bicyclo[3.3.0]octane,ClC(Cl)(Cl)C1CCC2CCCC12,106-117 g,chloroform,63-65°C,5 days,C1/C=C\CC/C=C\C1.ClC(Cl)Cl.O=C(OOC(=O)c1ccccc1)c2ccccc2>>ClC(Cl)(Cl)C1CCC2CCCC12,35%
volume47article3_2_1,"2-(trichloromethyl)bicyclo[3.3.0]octane, 85% phosphoric acid","ClC(Cl)(Cl)C1CCC2CCCC12, O[P](O)(O)=O","100 g (0.440 mole), 500 ml",exo-cis-bicyclo[3.3.0]octane-2-carboxylic acid,C1C[C@H]2CC[C@@H]([C@H]2C1)C(=O)O,29-32 g,,150°C,16 hours,ClC(Cl)(Cl)C1CCC2CCCC12.O[P](O)(O)=O>>C1C[C@H]2CC[C@@H]([C@H]2C1)C(=O)O,43-47%
volume47article4_1_1,"N,N'-diphenylethylenediamine, triethyl orthoformate","C(CNc1ccccc1)Nc2ccccc2, CCOC(OCC)OCC","20 g (0.094 mole), 100 ml","bis(1,3-diphenylimidazolidinylidene-2)",,19-20 g,,190-200°C,5 hours,C(CNc1ccccc1)Nc2ccccc2.CCOC(OCC)OCC>>,91-95%
volume47article5_1_1,"4-t-butylcyclohexanone, aluminum chloride, lithium aluminum hydride, t-butanol","CC(C)(C)C1CCC(=O)CC1, [Al], [Al], CC(C)(C)O","77.2 g (0.5 mole), 67 g (0.5 mole), 5.5 g, 10 ml",trans-4-t-Butylcyclohexanol,CC(C)(C)C1CCC(O)CC1,57-61 g,ether,Reflux,4 hours,CC(C)(C)C1CCC(=O)CC1.[Al].[Al].CC(C)(C)O>>CC(C)(C)C1CCC(O)CC1,73-78%
volume57article1_2_1,"1,2-bis(trimethylsilyloxy)cyclobutene, methanol","C[Si](C)(C)OC1=C(CC1)O[Si](C)(C)C, CO","23 g (0.10 mole), 450 ml",2-hydroxycyclobutanone,C1CC(=O)C1O,6.1-7.4 g,methanol,,24-30 hours,C[Si](C)(C)OC1=C(CC1)O[Si](C)(C)C.CO>>C1CC(=O)C1O,71-86%
volume57article2_1_1,"adamantanone, p-tolylsulfonylmethyl isocyanide, ethanol, potassium tert-butoxide","O=C1C2CC3CC(C2)CC1C3, Cc1ccc(cc1)[S](=O)(=O)C[N+]#[C-], CO, [K+]","15.0 g (0.100 mole), 25.4 g (0.130 mole), 10 ml (0.17 mole), 28 g (0.25 mole)",2-adamantanecarbonitrile,C1C2CC3CC1CC(C2)C3C#N,13.5-14.5 g,"1,2-dimethoxyethane","5-10°C, 35-40°C","30 minutes, 30 minutes",O=C1C2CC3CC(C2)CC1C3.Cc1ccc(cc1)[S](=O)(=O)C[N+]#[C-].CO.[K+]>>C1C2CC3CC1CC(C2)C3C#N,84-90%
volume57article3_1_1,"cyclohexene, rhodium(III) oxide, carbon monoxide, hydrogen","CC1=CCCCC1, [O--].[O--].[O--].[Rh+3].[Rh+3], [C], [H+].[Cl-]","82 g (1.0 mole), 0.2 g (0.8 mmole), N/A, N/A",cyclohexanecarboxaldehyde,O=CC1CCCCC1,92-94 g,benzene,100°C,2 hours,CC1=CCCCC1.[O--].[O--].[O--].[Rh+3].[Rh+3].[C].[H+].[Cl-]>>O=CC1CCCCC1,82-84%
volume57article5_1_1,"tellurium tetrachloride, anisole","[Te], COc1cc(ccc1N)[N+]([O-])=O","27.0 g (0.100 mole), 64.8 g (0.600 mole)",Bis(4-methoxyphenyl)tellurium dichloride,[Te],35.5-38.5 g,acetonitrile,160°C,6 hours,[Te].COc1cc(ccc1N)[N+]([O-])=O>>[Te],84-90%
volume57article5_2_1,"Raney nickel, bis(4-methoxyphenyl)tellurium dichloride","[Ni], [Te]","60 g, 20.6 g (0.0497 mole)","4,4'-Dimethoxy-1,1'-biphenyl",COc1ccc(cc1)c2ccc(OC)cc2,8.5-9.8 g,"benzene, bis(2-methoxyethyl) ether",200°C (2 mm.),"2 hours (degaussing), 8 hours (reflux)",[Ni].[Te]>>COc1ccc(cc1)c2ccc(OC)cc2,78-90%
volume67article1_1_2,"racemic binaphthylphosphoric (BNP) acid, (+)-cinchonine, methanol, water","C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O, CO, CC(=O)[O-]","95.2 g (0.27 mol), 80.4 g (0.27 mol), 985 mL, 420 mL",(S)-(+)- and (R)-(−)-BNP acid salt,,76.6 g,methanol,65-70°C,,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O.CO.CC(=O)[O-]>>,
volume67article1_1_3,"(S)-(+)-BNP acid salt, ethanol, 6 N hydrochloric acid","C1=CC=C2C(=C1)C=CC3=C2C4=C(C=CC5=CC=CC=C54)OP(=O)(O3)O, CO, [H+].[Cl-]","76.6 g, 500 mL, 570 mL",(S)-(+)-BNP acid,C1=CC=C2C(=C1)C=CC3=C2C4=C(C=CC5=CC=CC=C54)OP(=O)(O3)O,26.7 g,ethanol,75-80°C,,C1=CC=C2C(=C1)C=CC3=C2C4=C(C=CC5=CC=CC=C54)OP(=O)(O3)O.CO.[H+].[Cl-]>>C1=CC=C2C(=C1)C=CC3=C2C4=C(C=CC5=CC=CC=C54)OP(=O)(O3)O,56%
volume67article3_1_1,"2,2'-Dibromo-1,1'-binaphthyl",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,"240 g (0.915 mol) of triphenylphosphine, 155 g (50 mL, 0.969 mol) of bromine, 120 g (0.420 mol) of 2,2'-dihydroxy-1,1'-binaphthyl","2,2'-Dibromo-1,1'-binaphthyl",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,90 g,acetonitrile,"60°C for 30 min, 240-260°C, 310-320°C",,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,45%
volume67article3_1_2,"(±)-2,2'-Bis(diphenylphosphinyl)-1,1'-binaphthyl [(±)-BINAPO]",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC4=CC=CC=C4C(=C3P(C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC8=CC=CC=C87,"2.84 g (0.117 g-atom) of magnesium turnings, 20.0 g (50.0 mmol) of 2,2'-dibromo-1,1'-binaphthyl, 28.4 g (120 mmol) of diphenylphosphinyl chloride","(±)-2,2'-Bis(diphenylphosphinyl)-1,1'-binaphthyl [(±)-BINAPO]",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC4=CC=CC=C4C(=C3P(C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC8=CC=CC=C87,24.5 g,"tetrahydrofuran, toluene","50-70°C, 75°C, 10°C, 60°C",,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC4=CC=CC=C4C(=C3P(C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC8=CC=CC=C87>>C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC4=CC=CC=C4C(=C3P(C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC8=CC=CC=C87,75%
volume67article3_1_3,(S)-BINAPO,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,"10.5 g (16.0 mmol) of racemic BINAPO, 6.0 g (16.0 mmol) of (−)-2,3-O-dibenzoyl-L-tartaric acid monohydrate [(−)-DBT monohydrate]",(S)-BINAPO,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,4.6 g,"chloroform, ethyl acetate",reflux,overnight,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,89%
volume67article3_1_4,(R)-BINAPO,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,"9.0 g of solid material ((R)-BINAPO and (−)-DBT), 3.4 g (9.0 mmol) of (+)-DBT monohydrate",(R)-BINAPO,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,4.65 g,"chloroform, ethyl acetate",reflux,overnight,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(=O)(C7=CC=CC=C7)C8=CC=CC=C8,92%
volume67article3_1_5,(S)-BINAP,C1=CC=C(C=C1)P(C2=CC=CC=C2)OC3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)OP(C7=CC=CC=C7)C8=CC=CC=C8,"4.5 g (6.9 mmol) of (S)-BINAPO, 4.2 mL of triethylamine (3.1 g, 30 mmol), 3.0 mL (4.0 g, 29 mmol) of trichlorosilane",(S)-BINAP,C1=CC=C(C=C1)P(C2=CC=CC=C2)OC3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)OP(C7=CC=CC=C7)C8=CC=CC=C8,4.2 g,xylene,"100°C, 120°C, reflux",8 hours,C1=CC=C(C=C1)P(C2=CC=CC=C2)OC3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)OP(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(C2=CC=CC=C2)OC3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)OP(C7=CC=CC=C7)C8=CC=CC=C8,97%
volume67article4_1_1,"[(+)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl]-(η4-1,5-cyclooctadiene) rhodium(I) perchlorate",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.53 g (1.08 mmol),"[Rh{(+)-BINAP}(1,5-C8H12)] ClO4",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,2.07 g,acetone,ambient temperature,"1 hr, 18 hr",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,
volume67article4_1_2,"[(−)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl] (η4-1,5-cyclooctadiene) rhodium(I) perchlorate",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.53 g (1.08 mmol),"[Rh{(−)-BINAP}(1,5-C8H12)] ClO4",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,2.02 g,acetone,ambient temperature,"1 hr, 18 hr",C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8>>C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,
volume67article5_1_1,"myrcene, diethylamine, metallic lithium","CC(=CCCC(=C)C=C)C, CCNCC, [Li]","13.60 g (74 mmol), 10.29 g (141 mmol), 0.185 g (0.0267 g-atom)","N,N-diethylgeranylamine",CCN(CC)C\C=C(C)\CCC=C(C)C,12.66-13.28 g,,55°C,5 hr,CC(=CCCC(=C)C=C)C.CCNCC.[Li]>>CCN(CC)C\C=C(C)\CCC=C(C)C,74-77%
