Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume80article13_2_1,"allylbenzene, ethyl acetate, chlorotitanium triisopropoxide, cyclopentylmagnesium chloride","2.5 g (21 mmol), 2 mL (20 mmol), 20 mL, 80 mL (80 mmol)",trans-2-Benzyl-1-methylcyclopropan-1-ol,2.6 g (80%),tetrahydrofuran,0°C,"30 minutes at 0°C, 1 hour at room temperature",80%
volume84article23_1_1,"gold(III) chloride, silver trifluoromethanesulfonate, dibenzoylmethane, styrene","0.303 g (1 mmol), 0.77 g (3 mmol), 4.48 g (20 mmol), 3.45 mL (30 mmol)","1,3-Diphenyl-2-(1-phenylethyl)propane-1,3-dione",4.16 g (12.7 mmol),"dichloromethane, ether, EtOAc, hexanes",Room temperature,"1.5-2 hours, 6-7 hours, 30 minutes",63%
volume85article7_1_1,"phenylacetylene, n-Butyllithium, dichlorodimethylsilane","6.37 mL (58.0 mmol), 1.58 M (30.8 mL, 48.7 mmol), 2.80 mL (23.2 mmol)",Dimethyl-bis(phenylethynyl)silane,5.63 g,THF,-70°C to room temperature,10 min,93%
volume85article7_2_1,"lithium wire, naphthalene, dimethyl-bis(phenylethynyl)silane, anhydrous ZnCl2, N-bromosuccinimide","0.53 g (75.6 mmol), 10.12 g (79.0 mmol), 4.37 g (16.8 mmol), 11.45 g (84.0 mmol), 7.45 g (41.9 mmol)","2,5-Dibromo-1,1-dimethyl-3,4-diphenylsilole",6.64 g,THF,-10°C,30 min,95%
volume85article11_1_1,"Concentrated hypophosphorous acid, mesitylene, cinnamyl alcohol, Pd(OAc)2, 9,9-dimethyl-4,5-bis(diphenylphosphino)xanthene","19.80 g (300 mmol), 20.9 mL (18.03 g, 150 mmol), 19.7 mL (20.57 g, 153 mmol), 0.067 g (0.300 mmol), 0.190 g (0.330 mmol)",p-Bromomandelic acid,23.2 g,"N,N-dimethylformamide",85°C,7 hours,83%
volume85article18_1_1,"Rh2(OAc)4, 2-bromopropene, ethyl diazoacetate","47.4 mg (0.214 mmol), 18.5 mL (25.2 g, 0.208 mol), 11.0 mL (10.6 g, 92.5 mmol)",2-Bromo-2-methyl-cyclopropanecarboxylic acid ethyl ester,15.3-18.0 g,N/A,"Room temperature, 80°C","2 days, 8 hours",80-94%
volume85article20_1_1,"dimethyl sulfoxide, oxalyl chloride, benzophenone hydrazone, triethylamine","3.98 mL, 4.67 mL, 10.00 g, 15.05 mL",diphenyldiazomethane,9.19 g,tetrahydrofuran,-55°C to -78°C,"35 min, 30 min",93%
volume85article21_1_1,"2-nitrobenzoic acid, potassium hydroxide","33.4 g (200 mmol), 13.2 g (200 mmol)",Potassium 2-nitrobenzoate,35.3 g,ethanol,Room temperature,1 hour,86%
volume85article21_2_1,"potassium 2-nitrobenzoate, (1,10-phenanthroline)bis(triphenylphosphine)copper(I) nitrate, palladium acetylacetonate, 4-bromotoluene","22.6 g (110 mmol), 1.25 g (1.50 mmol), 45.7 mg (0.15 mmol), 12.3 mL (100 mmol)",4-Methyl-2'-nitrobiphenyl,21.1 g,anhydrous mesitylene,150°C,16 hours,99%
volume85article21_3_1,"2-acetylbenzoic acid, potassium hydroxide","16.4 g (100 mmol), 6.6 g (100 mmol)",Potassium 2-acetylbenzoate,19.2 g,ethanol,Room temperature,1 hour,95%
volume85article21_4_1,"potassium 2-acetylbenzoate, copper(I) bromide, 1,10-phenanthroline, palladium acetylacetonate, bis(diphenylphosphino)methane, 4-bromotoluene","8.9 g (44 mmol), 574 mg (4.00 mmol), 721 mg (4.00 mmol), 122 mg (0.40 mmol), 307 mg (0.80 mmol), 4.92 mL (40 mmol)",2-Acetyl-4'-methylbiphenyl,6.78 g,"1-methyl-2-pyrrolidone, quinoline",160°C,24 hours,81%
volume85article22_1_1,"benzyldiethylamine, t-butyllithium, pentane, sublimed sulfur, chlorotrimethylsilane","6.00 g (36.7 mmol), 1.7 M (23.8 mL, 40.4 mmol), 80 mL, 1.296 g (40.43 mmol), 9.8 mL (77.2 mmol)",Diethyl(2-[(trimethylsilanyl)sulfanyl]benzyl)amine,9.32 g,"pentane, THF, hexanes","-78°C, room temperature","1.5 h, 2 h",95%
volume85article22_2_1,"diethyl(2-[(trimethylsilanyl)sulfanyl]benzyl)amine, CuCl","2.32 g (8.69 mmol), 0.774 g (7.82 mmol)",2-[(Diethylamino)methyl]benzene thiolato-copper(I),1.63 g (6.32 mmol),"toluene, hexanes",N/A,N/A,81%
volume85article23_1_1,"sodium borohydride, THF, iodine, (S)-phenylglycine, methanol, triethylamine, di-tert-butyl dicarbonate","30.0 g (0.793 mol), 500 mL, 83.9 g (0.331 mol), 50.0 g (0.331 mol), 60 mL, 48.6 mL (35.3 g, 0.347 mol), 72.9 g (0.334 mol)",tert-Butyl (1S)-2-hydroxy-1-phenylethylcarbamate,73.8 g,"THF, methanol, ethyl acetate, water, hexane, dichloromethane-cyclohexane","reflux, 18 hours, room temperature, 3 hours, -20°C",N/A,94%
volume85article23_2_1,"tert-butyl (1S)-2-hydroxy-1-phenylethylcarbamate, triethylamine, methanesulfonyl chloride","20.0 g (0.0843 mol), 17.4 mL (12.6 g, 0.126 mol), 6.86 mL (10.1 g, 0.0885 mol)",(2S)-2-[(tert-butoxycarbonyl)amino]-2-phenylethyl methanesulfonate,25.0 g,dichloromethane,<20°C,12 hours,94%
volume85article23_3_1,"(2S)-2-[(tert-butoxycarbonyl)amino]-2-phenylethyl methanesulfonate, sodium cyanide","20.0 g (0.0634 mol), 9.32 g (0.190 mol)",tert-Butyl (1R)-2-cyano-1-phenylethylcarbamate,12.0 g,DMSO,45°C,18 hours,77%
volume85article24_1_1,"tetrolic acid, methanol, bromine, aqueous sodium metabisulfite solution","3.0 g (0.036 mol), 10 mL, 3.70 mL (11.51 g, 0.072 mol), 30 mL","(E)-2,3-dibromobut-2-enoic acid",6.69 g (76%),"Et2O, dichloromethane, hexanes","-10°C, room temperature","25 min, 15 min, 5-7 min",87%
volume85article25_1_1,"(R)-(+)-1,1'-bi(2-naphthol), phosphorus trichloride, 1-methyl-2-pyrrolidinone","7.0 g (24.5 mmol), 20.5 mL (32.3 g, 235 mmol), 20 μL (0.2 mmol)","(R)-(-)-(1,1'-Binaphthalene-2,2'-dioxy)chlorophosphine",9.08 g,1-methyl-2-pyrrolidinone,92°C,10 min,106%
volume85article25_2_1,"(-)-bis-[(S)-1-phenylethyl]amine, n-Butyllithium, (R)-(-)-1,1'-binaphthyl-2,2'-dioxychlorophosphine","1.69 mL, 4.62 mL (7.39 mmol), 2.85 g (8.13 mmol)","(R)-2,2'-binaphthoyl-(S,S)-di(1-phenylethyl)aminoylphosphine",3.43 g,THF,"-78°C, -30°C, ambient temperature","1 hour, 2 hours, 12 hours",86%
volume85article26_1_1,"Mg turnings, sodium tetrafluoroborate, 1,2-dibromoethane, 3,5-bis(trifluoromethyl)bromobenzene","1.17 g (48.1 mmol), 813 mg (7.40 mmol), 0.57 mL (1.25 g, 6.7 mmol), 7.15 mL (12.16 g, 41.5 mmol)","Sodium Tetrakis[(3,5-trifluoromethyl)phenyl]borate",4.96 g (76%),"anhydrous ether, dry benzene, dichloromethane/hexane","room temperature, -40°C, ca. 40°C","12 hours, 2 hours, 16 hours",94%
volume85article26_2_1,"bis[1,2:5,6-η-(1,5-cyclooctadiene)]nickel, diethyl ether, allyl bromide","1.38 g (5.00 mmol), 80 mL, 0.440 mL (0.615 g, 5.08 mmol)",Di(μ-bromo)bis(η-allyl)nickel(II),0.803 g (89%),diethyl ether,-70°C to ambient temperature,30 min,89%
volume85article26_3_1,"methyltriphenylphosphonium bromide, n-BuLi, propiophenone","43.4 g (121 mmol), 76.0 mL (121 mmol), 13.4 mL (101 mmol)",2-Phenyl-1-butene,11.9 g,THF,reflux,8 hours,88%
volume85article26_4_1,"[di(μ-bromo)bis(η-allyl)nickel(II), (R)-2,2'-binaphthoyl-(S,S)-di(1-phenylethyl)aminoylphosphine, NaBArF24, 2-phenyl-1-butene","180 mg (0.50 mmol), 539 mg (1.00 mmol), 886 mg (1.00 mmol), 6.60 g (50.0 mmol)",(R)-3-methyl-3-phenylpentene,7.99 g,"dichloromethane, pentane",-70°C,4 hours,99.7%
volume85article27_1_1,"(2S)-(-)-2-Amino-3-phenyl-1-propanol, trimethylacetaldehyde, N-bromosuccinimide","5.20 g (0.0344 mol), 2.96 g (0.0344 mol), 6.19 g (0.0348 mol)","(-)-2-tert-butyl-(4S)-benzyl-(1,3)-oxazoline",5.57-5.72 g,dichloromethane,Room temperature,"18 hours, 60 minutes",74-76%
volume85article28_1_1,"4-acetamidobenzenesulfonyl azide, tert-butyl acetoacetate, tetrabutylammonium bromide, sodium hydroxide","25.55 g (106 mmol), 17.6 mL (17.1 g, 106 mmol), 0.68 g (2.12 mmol), 12.0 g (300 mmol)",tert-Butyl diazoacetate,13.18-13.24 g,pentane,0°C,20 hours,88%
volume85article28_2_1,"N,N-diisopropylethylamine, tert-butyl diazoacetate, tert-butyldimethylsilyl trifluoromethanesulfonate","19.3 mL (14.7 g, 111 mmol), 13.18 g (92.8 mmol), 25.6 mL (29.4 g, 111 mmol)",tert-Butyl tert-butyldimethylsilyldiazoacetate,25.68-26.65 g,diethyl ether,-30°C,24 hours,N/A
volume85article28_3_1,"Sodium bicarbonate, deionized water, acetone, Oxone®, crude tert-butyl tert-butyldimethylsilyldiazoacetate","62.3 g (742 mmol), 210 mL, 150 mL, 114 g (185 mmol), 25.68-26.65 g (100-104 mmol)",tert-Butyl tert-butyldimethylsilylglyoxylate,12.27-12.62 g (50.2-51.1 mmol),dichloromethane,0°C,2 hours,47-49%
volume85article29_1_1,"benzyl carbamate, aqueous formaldehyde solution, anhydrous potassium carbonate","24.2 g (0.16 mol), 30 mL, 0.44 g (3.2 mmol)",Benzyl hydroxymethyl carbamate,20.1 g,dist. water,65°C,"2 hours, 24 hours",69%
volume85article29_2_1,"benzyl hydroxymethyl carbamate, tert-butyl methyl ether, isopropyl alcohol","19.6 g (108 mmol), 200 mL, 50 mL",Benzyl isopropoxymethyl carbamate,23.5 g,"TBME, isopropyl alcohol",Room temperature,24 hours,97%
volume85article30_1_1,"(4S)-4-isopropyl-5,5-diphenyloxazolidin-2-one, n-Butyllithium, 3-phenylpropanoyl chloride","22.5 g (80 mmol), 1.6 M in hexane (52.75 mL, 84.8 mmol), 14.84 g (87.97 mmol)","(4S)-4-isopropyl-5,5-diphenyl-3-(3-phenylpropionyl)oxazolidin-2-one",29.6 g,tetrahydrofuran,-70 to -60°C,30 min,89%
volume85article30_2_1,"1, TiCl4, triethylamine, benzyl isopropoxymethyl carbamate","28.9 g (70.0 mmol), 73.5 mL (73.5 mmol), 10.19 mL (7.4 g, 73 mmol), 16.4 g (73.5 mmol)","(2R,4S) [2-Benzyl-3-(4-isopropyl-2-oxo-5,5-diphenyl-3-oxazolidinyl)-3-oxopropyl]carbamic acid benzyl ester",21.05 g,"dichloromethane, tert-butyl methyl ether, hexane","-50 to 2°C, reflux, room temperature","3 hours, overnight",52%
volume85article30_3_1,"2, hydrogen peroxide, lithium hydroxide monohydrate","20.0 g (34.9 mmol), 14.3 mL (139.6 mmol), 2.34 g (55.8 mmol)",(R)-2-(Benzyloxycarbonylaminomethyl)-3-phenylpropanoic acid,10.70 g,"THF, water",0-5°C,2 hours,98%
volume88article38_1_1,"DBU, methyl 2-(4-methoxyphenyl) acetate, p-acetamidobenzenesulfonyl azide","14.2 mL (95.0 mmol), 11.4 g (63.3 mmol), 18.2 g (76.0 mmol)",Methyl 2-diazo-2-(4-methoxyphenyl) acetate,7.9 g (60%),CH3CN,N/A,12 hours,60%
volume88article38_2_1,"9-anthracenemethanol, benzaldehyde-p-anisidine imine, Rh2(OAc)4, (R)-2,2'-(9-phenanthryl)-BINOL phosphoric acid, methyl 2-diazo-2-(4-methoxyphenyl) acetate","2.60 g (12.5 mmol), 2.64 g (12.5 mmol), 110 mg (0.25 mmol), 87.5 mg (0.125 mmol), 3.86 g (18.7 mmol)","(2S,3S)-methyl-2-(9-anthryloxymethyl)-2-(4-methoxyphenyl)-3-(4-methoxyphenylamino)-3-phenylpropanoate",6.5 g,CH2Cl2,-20°C,2 hours,87%
volume89article4_1_1,"4-chlorophenyl acetic acid, DMF, SOCl2, methylamine solution","50.0 g (293 mmol), 2.28 mL (2.15 g, 29.3 mmol), 25.6 mL (41.9 g, 352 mmol), 128 mL (114 g, 1470 mmol)",2-(4-Chlorophenyl)-N-methylacetamide,50.9-51.5 g,toluene,35°C,N/A,95-96%
volume89article4_2_1,"2-(4-Chlorophenyl)-N-methylacetamide, Eaton's reagent, paraformaldehyde, NaOH solution","10.0 g (54.5 mmol), 50 mL, 1.98 g (65.3 mmol), ~48-49 mL","7-Chloro-2-methyl-1,4-dihydro-2H-isoquinolin-3-one",9.00-9.07 g,"IPAc, EtOAc, MeOH",80°C,2 hours,85%
volume89article15_1_1,"ethyl-4-chloro-3-nitrobenzoate, 3,4-dimethoxyphenethylamine, N,N-Diisopropylethylamine","5.00 g (21.8 mmol), 4.04 mL (23.9 mmol), 5.31 mL (30.5 mmol)","4-[2-(3,4-Dimethoxyphenyl)-ethylamino]-3-nitrobenzoic acid ethyl ester",7.92-7.98 g,anhydrous DMSO,70°C,18 hours,97-98%
volume89article15_2_1,"nitro compound 3, methanol, Pearlman's catalyst","7.00 g (18.7 mmol), 285 mL, 500 mg","Ethyl 3-amino-4-((3,4-dimethoxyphenethyl)amino)benzoate",6.0-6.3 g,methanol,N/A,24 hours,93-98%
volume89article15_3_1,"Diamine 4, 4-cyanobenzaldehyde 5, DMF, de-ionized water, Oxone(r), potassium carbonate","5.00 g (14.5 mmol), 2.10 g (16.0 mmol), 30 mL, 1 mL, 5.80 g (9.44 mmol), 2.76 g (20 mmol)","2-(4-Cyano-phenyl)-1-[2-(3,4-dimethoxyphenyl)-ethyl]-1H-benzimidazole-5-carboxylic acid ethyl ester",4.9 g,"DMF, water","0-5°C, room temperature","2 hours, additional hour",74-91%
volume89article17_1_1,"2-bromophenylacetonitrile, NaHMDS, 1-iodopropane","8.0 g (40.8 mmol), 122.4 mL (122.4 mmol), 8.8 mL (89.8 mmol)",2-(2-Bromophenyl)-2-propylpentanenitrile,N/A,THF,Room temperature,2.5 hours,N/A
volume89article17_1_2,2-(2-Bromophenyl)-2-propylpentanenitrile,N/A,2-(2-Bromophenyl)-2-propylpentanal,8.00-8.09 g,CH2Cl2,-78°C,3 hours,69-70%
volume89article17_2_1,"Pd(OAc)2, rac-BINAP, Cs2CO3, 2-(2-bromophenyl)-2-propylpentanal","134.7 mg, 560.4 mg, 11.73 g, 8.50 g","8,8-Dipropylbicyclo[4.2.0]octa-1,3,5-trien-7-one",4.24 g,"1,4-dioxane",110°C,22 hours,70%
volume89article18_1_1,"N-Boc-diallylamine, catalyst 1",0.4 M solution,N-Boc-3-pyrroline,30 g,CH2Cl2,Reflux (2.5 h),N/A,90-94%
volume89article18_1_2,"N-Boc-diallylamine, ethylidene 2a",0.57 M solution,Boc-3-pyrroline,100 g,CH2Cl2,Room temperature (15 h),N/A,98%
volume89article18_1_3,"p,α,α-tribromoacetophenone, sodium hydroxide","89 g (0.25 mole), 50 g",p-Bromomandelic acid,40-48 g,water,Below 10°C,4-5 days,69-83%
volume89article18_1_4,"N-Boc-diallylamine, catalyst 5",0.1-0.5 mol%,N-Boc-3-pyrroline,N/A,CH2Cl2,Reflux,Minutes,N/A
volume89article18_1_5,"Diene 29, catalyst 5",5-10 mol%,SB-462795,N/A,N/A,N/A,N/A,N/A
volume89article18_1_6,"Diene 31, catalyst 5",1-2 mol%,SB-462795,90%,N/A,N/A,N/A,N/A
volume89article18_1_7,"Diene 36, catalyst 5",1-2 mol%,SB-462795,N/A,N/A,N/A,N/A,N/A
volume89article18_1_8,"Diene 31, catalyst 5",0.25-0.5 mol%,SB-462795,90%,Toluene,Reflux,N/A,N/A
volume89article18_1_9,"Diene 36, catalyst 5",0.1-0.5 mol%,SB-462795,N/A,N/A,N/A,N/A,N/A
volume89article18_1_10,"Various substrates, various catalysts",5-7 mol%,Macrocyclic peptides,N/A,Dichloromethane,Reflux,N/A,N/A
volume89article36_1_1,"malonic acid, POCl3, aniline","26.0 g (250 mmol), 100 mL, 22.8 mL (250 mmol)","2,4-Dichloroquinoline",13.9-14.6 g,water,110°C,6 hours,28-29%
volume89article36_2_1,"(R,R)-1,2-diaminocyclohexane, Pd(dba)2, rac-BINAP, 2,4-dichloroquinoline, sodium tert-butoxide","1.63 g (14.3 mmol), 164 mg (285 μmol), 356 mg (572 μmol), 5.66 g (28.6 mmol), 4.12 g (42.9 mmol)","H,4ClQuin-BAM",4.57-4.80 g,toluene,80°C,1.5 hours,73-77%
volume89article36_3_1,"H,4ClQuin-BAM, pyrrolidine, trifluorotoluene","4.30 g (9.83 mmol), 3.23 mL (39.3 mmol), 3.3 mL","H,4PyrrolidineQuin-BAM",3.08-3.54 g,"dichloromethane, acetone, toluene","170°C, 200°C","3 min, 30 min",62-71%
volume89article42_1_1,"N-benzylaniline, tert-butyl malonate, 2-chloro-1-methylpyridinium iodide, triethylamine","10.96 g (60.0 mmol), 10.56 g (66.0 mmol), 16.82 g (66.0 mmol), 33.3 mL (24.29 g, 240.0 mmol)",tert-Butyl 3-(benzyl(phenyl)amino)-3-oxopropanoate,17.39 g,dichloromethane,4-10°C,15 min,89%
volume89article42_2_1,"tert-butyl 3-(benzyl(phenyl)amino)-3-oxopropanoate, potassium tert-butoxide, methyl iodide","16.28 g (50.0 mmol), 6.18 g (55.0 mmol), 3.4 mL (7.61 g, 52.5 mmol)",tert-Butyl 3-(benzyl(phenyl)amino)-2-methyl-3-oxopropanoate,15.61 g,tetrahydrofuran,3°C,N/A,92%
volume89article42_3_1,"tert-butyl 3-(benzyl(phenyl)amino)-2-methyl-3-oxopropanoate, potassium tert-butoxide, copper(II) acetate monohydrate","16.55 g (48.8 mmol), 6.02 g (53.7 mmol), 9.78 g (48.8 mmol)",tert-Butyl 1-benzyl-3-methyl-2-oxoindoline-3-carboxylate,8.32 g,"N,N-dimethylformamide",110°C,4 hours,51%
volume89article42_4_1,"tert-butyl 1-benzyl-3-methyl-2-oxoindoline-3-carboxylate, trifluoroacetic acid","7.42 g (22.0 mmol), 11 mL",1-Benzyl-3-methylindolin-2-one,4.14 g,"dichloromethane, ethanol","75°C, room temperature",1 hour,80%
volume89article44_1_1,"n-butylmagnesium chloride, n-butyllithium, 1,3,5-tribromobenzene, di-tert-butyl dicarbonate","16.8 mL (33.6 mmol), 28 mL (67.5 mmol), 25.00 g (79.4 mmol), 22.7 g (104.0 mmol)","t-Butyl-3,5-dibromobenzoate",18.99 g,"toluene, THF, hexanes",-10°C,"30 min (addition time), 1 h, 2 h",71%
volume89article44_2_1,"dibromobenzoate, iso-propylmagnesium chloride, N,N-dimethylformamide","18.91 g (56.3 mmol), 44 mL (96.8 mmol), 11.0 mL (142.7 mmol)",t-Butyl-3-bromo-5-formylbenzoate,12.96 g,THF,"0°C, room temperature","1 hour, 30 minutes",81%
volume90article1_1_1,"m-chloroperbenzoic acid, 2,2,2-trifluoroethanol, 3-iodobenzotrifluoride, p-toluenesulfonic acid monohydrate","4.18 g (17 mmol), 65 mL, 2.45 mL (1.71 g, 17.0 mmol), 3.23 g (17.0 mmol)",1-[Hydroxy(tosyloxy)iodo]-3-trifluoromethylbenzene,7.66 g,diethyl ether,40°C,1 hour,97%
volume90article31_1_1,"Magnesium turnings, diethyl ether, 1,2-dibromoethane, benzyl bromide","7.2 g (0.3 mol), 100 mL, 0.5 mL, 30 mL","4-Phenyl-1,2-butadiene","18.6 g (57% by the checker; 24.9 g, 77% by the submitter)",diethyl ether,Reflux (55°C),2 hours,57-77%
volume90article31_2_1,"4-phenyl-1,2-butadiene, Rh2(OAc)4, ethyl α-diazoacetoacetate","19.5 g (150 mmol), 180 mg (0.4 mmol), 7.8 g (50 mmol)",1-Acetyl-2-phenethylidenecyclopropanecarboxylic acid ethyl ester,15.1 g,CH2Cl2,Reflux (55°C),2 hours,N/A
volume90article31_3_1,"Crude product 2, CH3CN, benzylamine","15.0 g, 15 mL, 9.8 mL",1-Benzyl-2-methyl-3-(ethoxycarbonyl)-4-(2-phenylethyl)-1H-pyrrole,9.05 g,CH3CN,80°C,19 hours,52%
volume90article32_1_1,"acetophenone, (RS)-2-methylpropane-2-sulfinamide, Ti(OEt)4","6.01 g (50.0 mmol), 6.06 g (50.0 mmol), 21.3 mL (22.8 g, 100 mmol)",(RS)-N-[1-Phenylethylidene]-2-methylpropane-2-sulfinamide,9.54-9.78 g,ethyl acetate,72°C,4 hours,85-88%
volume90article32_2_1,"[RuCl2(p-cymene)]2, 2-amino-2-methylpropan-1-ol, 4 Å MS, imine 3, potassium tert-butoxide","490 mg (0.8 mmol), 143 mg (1.6 mmol), 3 g, 7.147 g (32.0 mmol), 449 mg (4.0 mmol)","(R,RS)-N-(1-Phenylethyl)-2-methylpropane-2-sulfinamide",7.20-7.22 g,"isopropyl alcohol, ethyl acetate",50°C,2 hours,>99%
volume90article32_3_1,"4, methanol, HCl in diethyl ether, NaOH","6.76 g (30.0 mmol), 60 mL, 75 mL (150 mmol), 100 mL",(R)-1-Phenylethanamine,3.09-3.22 g,methanol,"0-5°C, room temperature",3 hours,85-88%
volume90article33_1_1,"Distilled H2O, acetone, NaHCO3, Oxone","20 mL, 30 mL, 24 g (0.285 mol), 25 g (0.0406 mol)",Dimethyldioxirane,25 mL,water,"Ice bath, room temperature, 40°C","20 min, 15 min, 15 min",N/A
volume26article21_1_1,"Adipic acid, thionyl chloride, bromine","1 kg (6.85 moles), 2 kg (1220 ml, 16.8 moles), 2.5 kg (805 ml, 15.6 moles)","Diethyl α,δ-dibromoadipate",2260-2400 g,"ethanol, water, ether","Steam bath, room temperature","3 hours, overnight, 2 hours",91-97%
volume26article21_2_1,"diethyl α,δ-dibromoadipate, potassium hydroxide, methanol","1130 g (3.14 moles), 3 kg, 5 L",Muconic acid,165-195 g,methanol,"Steam bath, room temperature","2 hours, overnight",37-43%
