Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume27article6_2_1,"2,2-dimethylethylenimine, Raney nickel","35.5 g (0.5 mole), 9 g",tert-Butylamine,55-60 g,dioxane,60°C,N/A,75-82%
volume27article6_3_1,"concentrated sulfuric acid, urea, tert-butyl alcohol","193 g (105 ml, 1.98 moles), 60 g (1 mole), 148 g (188 ml, 2 moles)",tert-Butylurea,36-39 g,water,20-25°C,overnight,31-33%
volume27article6_4_1,"tert-butylurea, phthalic anhydride","35 g (0.3 mole), 100 g (0.675 mole)",tert-Butylphthalimide,43-46.5 g,"95% ethanol, petroleum ether",200-240°C,"10 minutes, 5 minutes",72-76%
volume27article6_5_1,"tert-butylphthalimide, hydrazine hydrate","203 g (1 mole), 59 g (1 mole)",tert-Butylamine hydrochloride,79-97 g,ethanol,reflux,2 hours,72-88%
volume27article6_7_1,"sodium hydroxide pellets, tert-butylurea","60 g (1.5 moles), 70 g (0.6 mole)",tert-butylamine,31-34 g,ethylene glycol,reflux,4 hours,71-78%
volume27article7_1_1,"bromoacetic acid, acetoxime, sodium hydroxide","612 g (4.4 moles), 292 g (4.0 moles), 440 g (4.4 moles)",acetone carboxymethoxime,300 g,"ice, sodium hydroxide, hydrochloric acid",below 20°C,3-4 hours,57%
volume27article7_2_1,Acetone carboxymethoxime,N/A,Carboxymethoxylamine hemihydrochloride,110-120 g,"benzene, water, isopropyl alcohol",N/A,"30-40 minutes, 12 hours",66-72%
volume27article8_1_1,"sebaconitrile, Raney nickel catalyst, liquid ammonia","82 g (0.50 mole), 6 g, 68 g (4 moles)",decamethylenediamine,68-69 g,ethanol,110-125°C,1-2 hours,79-80%
volume27article10_1_1,"Sodium hydroxide, resorcinol","24 g (0.6 mole), 55 g (0.5 mole)",Dihydroresorcinol,48-53 g,water,50°C,10-12 hours,85-95%
volume27article11_1_1,"Ethyl acetoacetate, acetaldehyde, piperidine, absolute ethanol","210 ml (210 g, 1.61 mole), 45 ml (35.2 g, 0.78 mole), 2 ml, 5 ml","3,5-Dimethyl-4-carbethoxy-2-cyclohexen-1-one",220-234 g,ice-salt bath,-5°C to 0°C,"6 hours, 24 hours, 1 day",47-50%
volume27article12_1_1,"Levulinic acid, aqueous methylamine","194 g (170 ml, 1.67 moles), 500 ml (3.94 moles)","1,5-dimethyl-2-pyrrolidone",140-146 g,water,140°C,5 hours,74-77%
volume27article13_1_1,"phenylmagnesium bromide, bromobenzene, benzalphthalide, concentrated sulfuric acid","12.2 g (0.5 gram atom), 78.5 g (52 ml, 0.5 mole), 44.5 g (0.20 mole), 15 ml","2,3-diphenylindone",34-40 g,"ether, benzene, water, ethanol","reflux, 50°C, ice bath","1 hour, 30 minutes, 4 hours, 2 hours",60-71%
volume27article14_1_1,"α-phenyl-β-benzoylpropionitrile, methanol, Raney nickel catalyst","61 g (0.26 mole), 150 ml, 1 level teaspoonful","2,4-diphenylpyrrole",24-26 g,"methanol, toluene","80-90°C, 245-265°C",N/A,42-46%
volume27article16_1_1,"acetic anhydride, dry pyridine, zinc dust","1500 ml, 300 g (306 ml, 3.80 moles), 300 g (4.6 gram atoms)",4-ethylpyridine,135-155 g,"acetic acid, water",25-30°C,"3 hours, 30 minutes",33-38%
volume27article18_1_1,"2,3-dihydropyran, water, concentrated hydrochloric acid","100 g, 300 ml, 25 ml",5-hydroxypentanal,90-95 g,ether,N/A,16 hours,74-79%
volume27article19_1_1,"Anthranilic acid, concentrated hydrochloric acid, phosgene","137 g (1 mole), 126 ml, N/A",Isatoic anhydride,118-123 g,water,Below 50°C,2-4 hours,72-75%
volume27article20_1_1,"powdered arsenic oxide, 3-nitro-4-aminoanisole, u.s.p. glycerol, concentrated sulfuric acid","588 g (2.45 moles), 588 g (3.5 moles), 1.2 kg (950 ml, 13 moles), 315 ml (579 g, 5.9 moles)",6-methoxy-8-nitroquinoline,460-540 g,water,105-123°C,"2-3 hours, 4 hours, 3 hours",65-76%
volume27article21_1_1,"1-methyl-1-(1-naphthyl)-2-thiourea, bromine, glacial acetic acid","65 g (0.3 mole), 48 g (0.3 mole), 400 ml",1-methyl-2-imino-β-naphthothiazoline,58-62 g,"glacial acetic acid, water",80-85°C,3 hours,90-97%
volume27article22_1_1,"dimethyl-α-naphthylamine, cyanogen bromide","171 g (1 mole), 125 g (1.2 moles)",N-Methyl-1-naphthylcyanamide,115-122 g,ether,reflux,16 hours,63-67%
volume27article23_1_1,"N-methyl-1-naphthylcyanamide, ammonia, hydrogen sulfide","91 g (0.5 mole), N/A, N/A",1-methyl-1-(1-naphthyl)-2-thiourea,89-97 g,absolute ethanol,20-25°C,"1.5 hours (ammonia), 30 minutes (hydrogen sulfide)",82-90%
volume27article24_1_1,"furoic acid, bromine","100 g (0.9 mole), 686 g (220 ml, 4.3 moles)",mucobromic acid,148-155 g,water,"Boiling, reflux",30 minutes,64-67%
volume27article28_1_1,"thiourea, ethyl chloroacetate","76 g (1 mole), 125 g (108 ml, 1.02 moles)",Pseudothiohydantoin,92-95 g,95% ethanol,Reflux,3 hours,79-82%
volume27article29_1_1,"ammonia, ethanol, carbon disulfide","39 g, 250 ml, 76 g (60 ml)",Ammonium dithiocarbamate,80-90 g,"ethanol, carbon disulfide, ether","Ice bath, room temperature","2-3 hours, overnight",N/A
volume27article29_2_1,"ammonium dithiocarbamate, sodium chloroacetate, hydrochloric acid",N/A,Rhodanine,83-89 g,water,Boiling,20-30 minutes,83-89%
volume27article30_1_1,"Methyl oleate, bromine, n-Amyl alcohol, potassium hydroxide pellets","35 g (0.118 mole), slight excess, 50 ml, 40 g (0.61 mole)",Stearolic acid,11-14 g,n-Amyl alcohol,Reflux (150°C),4 hours,33-42%
volume27article31_1_1,"phthalic anhydride, iodine, fuming sulfuric acid","148 g (1.0 mole), 324 g (60% of 2.12 moles), 600 ml",Tetraiodophthalic anhydride,520-535 g,fuming sulfuric acid,"45-50°C, 65°C, 170-180°C",N/A,80-82%
volume27article32_1_1,"m-toluidine, concentrated hydrochloric acid, sodium nitrite, potassium ethyl xanthate, potassium hydroxide, sulfuric acid, zinc dust","80 g (0.75 mole), 150 ml, 55 g (0.8 mole), 140 g, 175 g, 6 N, 2 g",m-thiocresol,59-69 g,"water, ethanol, ether","0°C, 40-45°C, reflux","N/A, 2 hours, 8 hours",63-75%
volume27article33_1_1,"o-xylene, nitric acid, water","400 ml (364 g, 3 moles), 800 ml, 1.6 l",o-Toluic acid,218-225 g,"water, ethanol",145-155°C,55 hours,53-55%
volume27article34_1_1,"p-cymene, water, concentrated nitric acid, sodium hydroxide, zinc dust, hydrochloric acid","105 g (125 ml, 0.78 mole), 2.7 l, 750 ml, 850 ml, 20 g, N/A",p-toluic acid,60-63 g,toluene,"Boiling, 0°C","8 hours, 6 hours",56-59%
volume27article35_1_1,"o-toluidine, concentrated sulfuric acid","53.5 g (0.5 mole), 27.8 ml (0.5 mole)",o-toluidinesulfonic acid,74-79 g,water,"70-105°C, 180-195°C","30 minutes, 21 hours, 1.5 hours",79-83%
volume27article36_1_1,"Sodium, xylene, absolute ethanol, acetone, ethyl formate","69 g (3.0 gram atoms), 400 ml, 138 g (175 ml, 3.0 moles), 174 g (220 ml, 3.0 moles), 222 g (241 ml, 3.0 moles)","1,3,5-triacetylbenzene",62-79 g,"ether, water","Reflux, 50°C","6 hours, 2 hours, 2 hours, 2 hours",30-38%
volume28article1_1_1,"thiophene, acetic anhydride, phosphoric acid","168 g (2 moles), 107 g (1 mole), 10 g (6 ml)",2-acetothienone,93-100 g,N/A,70-75°C,2 hours,74-79%
volume28article2_1_1,"fluorene, anhydrous aluminum chloride, acetic anhydride","80 g (0.48 mole), 128 g (0.96 mole), 49.4 g (0.48 mole)",2-acetylfluorene,55-63 g,carbon disulfide,Reflux,1 hour,55-63%
volume28article3_1_1,"magnesium turnings, methyl iodide, 9-cyanophenanthrene","146 g (6 gram atoms), 852 g (6 moles), 609 g (3 moles)",9-acetylphenanthrene,345-390 g,"ether, benzene","reflux, 0°C","3 hours, 6-8 hours",52-59%
volume28article5_1_1,"Ferrous sulfate heptahydrate, hydrochloric acid, o-nitrobenzaldehyde, ammonium hydroxide","105 g (0.38 mole), 0.5 ml, 6 g (0.04 mole), 25 ml, three 10-ml portions",o-Aminobenzaldehyde,"2.72-3.11 g, 0.6-1.0 g, 0.42-0.87 g",water,90°C,8-10 minutes,69-75%
volume28article6_1_1,"p-chloronitrobenzene, sodium sulfide nonahydrate, water, hydrogen peroxide","236 g (1.5 moles), 960 g (4 moles), 2.5 l, 230 ml",p-aminophenyl disulfide,108-120 g,"water, ethanol","Reflux, 65-70°C","20 hours, 2 hours",58-64%
volume28article7_1_1,"Potassium hydroxide, ethanol, benzoyl chloride, iodine","315 g (4.76 moles), 3150 ml, 346.5 g (2.46 moles), 336-407 g (1.32-1.61 moles)",Benzoyl disulfide,230-246 g,"ethanol, ethylene chloride","10-15°C, 60°C","N/A, 1 hour",68-73%
volume28article8_1_1,"technical phenanthrene, ethanol, glacial acetic acid, chromic anhydride, sulfuric acid","1.5 kg, 9 L, 1 kg, 2.2 L, 72 mL, 30 mL",purified phenanthrene,800-900 g,ethanol,boiling,15 minutes,N/A
volume28article8_2_1,"phenanthrene, bromine","1 kg (5.6 moles), 900 g (5.64 moles)",9-Bromophenanthrene,1300-1360 g,carbon tetrachloride,gentle reflux,2 hours,90-94%
volume28article9_1_1,"o-xylene, iron filings, bromine","500 g (569 ml, 4.72 moles), 12 g, 660 g (4.13 moles)",4-bromo-o-xylene,720-745 g,water,0°C to -5°C,overnight,94-97%
volume28article10_1_1,"salicylaldehyde, ethyl malonate, piperidine, glacial acetic acid","61 g (0.50 mole), 88 g (0.55 mole), 5 ml, 0.5 ml",3-carbethoxycoumarin,79-85 g,ethanol,reflux,3 hours,73-78%
volume28article12_1_1,"magnesium turnings, m-bromochlorobenzene, acetaldehyde","29.1 g (1.2 gram atoms), 229 g (1.2 moles), 60 g (1.365 moles)",m-chlorophenylmethylcarbinol,154.5-164.5 g,dry ether,reflux,1 hour,82.5-88%
volume28article13_1_1,"m-chlorophenylmethylcarbinol, fused potassium acid sulfate, p-tert-butylcatechol","145 g (0.925 mole), 12.5 g, 0.05 g",m-chlorostyrene,102-106 g,N/A,220-230°C,5.5-8.5 hours,80-82.5%
volume28article14_1_1,"9-bromophenanthrene, cuprous cyanide","1 kg (3.90 moles), 400 g (4.46 moles)",9-cyanophenanthrene,690 g,N/A,260°C,6 hours,87%
volume28article15_1_1,"30% hydrogen peroxide, 88% formic acid, cyclohexene","140 ml (1.4 moles), 600 ml (13.7 moles), 82 g (1.0 mole)","trans-1,2-Cyclohexanediol",75-85 g,ethyl acetate,40-45°C,overnight,65-73%
volume28article16_1_1,"m-chloroaniline, ethyl ethoxymethylenemalonate","127.5 g (1.0 mole), 233 g (1.1 moles)",Ethyl α-carbethoxy-β-m-chloroanilinoacrylate,N/A,N/A,Steam bath,1 hour,N/A
volume28article16_2_1,7-Chloro-4-hydroxy-3-quinolinecarboxylic acid,N/A,"4,7-Dichloroquinoline",190-220 g,"Dowtherm A, Skellysolve B, aqueous sodium hydroxide, concentrated hydrochloric acid or sulfuric acid","Boiling, reflux","1 hour (heating), 1 hour (reflux)",85-98%
volume28article16_3_1,Air-dried acid,N/A,"7-Chloro-4-quinolinol, 4,7-dichloroquinoline","130-145 g, 110-120 g",Dowtherm A,"Boiling, 135-140°C",1 hour,"66-73%, 55-60%"
volume28article17_1_1,"hydroquinone diacetate, anhydrous aluminum chloride","50 g (0.257 mole), 116 g (0.87 mole)","2,5-dihydroxyacetophenone",25-30 g,N/A,160-165°C,3 hours,64-77%
volume28article18_1_1,"sodium, methyl isobutyl ketone, ethyl isovalerate","13.8 g (0.6 gram atom), 30 g (0.3 mole), 78 g (0.6 mole)",diisovalerylmethane,32-42 g,"liquid ammonia, ether",reflux,2 hours,58-76%
volume28article19_1_1,"4-bromo-o-xylene, copper wire, 28% ammonia, cuprous chloride","200 g (1.08 moles), 14 g, 600 ml (540 g, 9.0 moles), 12 g","3,4-dimethylaniline",86 g,water,195°C,14 hours,66%
volume28article20_1_1,"Aniline, iodine","279 g (3 moles), 9 g",Acetone-anil,61-68%,Acetone,170-175°C,4 hours,N/A
volume28article20_2_1,"sodium, aniline, acetone-anil","4.6 g (0.2 gram atom), 56 g (0.6 mole), 346 g (2 moles)","2,4-Dimethylquinoline",252-283 g,N/A,reflux (220-230°C),N/A,80-90%
volume28article22_1_1,"benzyl cyanide, bromine","117 g (1 mole), 176 g (1.1 moles)",α-Bromo-α-phenylacetonitrile,N/A,benzene,105-110°C,1 hour,N/A
volume28article22_2_1,"α-bromo-α-phenylacetonitrile, benzene, anhydrous aluminum chloride","133.5 g (1 mole), 368 g (4.7 moles), N/A",Diphenylacetonitrile,97-116 g,benzene,Reflux,2 hours + 1 hour reflux,50-60%
volume28article23_1_1,"85% hydrazine hydrate, ethyl chloroformate, sodium carbonate","59 g (1 mole), 217 g (2 moles), 106 g (1 mole)",Ethyl hydrazodicarboxylate,145-150 g,"95% ethanol, water",10-20°C,30 minutes,82-85%
volume28article23_2_1,"ethyl hydrazodicarboxylate, chlorine","100 g (0.57 mole), N/A",Ethyl azodicarboxylate,80-82 g,"benzene, water",<15°C,N/A,81-83%
volume28article24_1_1,"Ethyl orthoformate, acetic anhydride, ethyl malonate, anhydrous zinc chloride","1000 g (6.75 moles), 1260 g (12.3 moles), 960 g (6.0 moles), 0.5 g",Ethyl ethoxymethylenemalonate,650-780 g,N/A,102-155°C,13.5 hours,50-60%
volume28article25_1_1,"2-acetylfluorene, sodium dichromate dihydrate, acetic anhydride","50 g (0.24 mole), 450 g (1.5 moles), 200 ml",Fluorenone-2-carboxylic acid,36-40 g,glacial acetic acid,Reflux,8 hours,67-74%
volume28article26_1_1,"Hexamethyleneglycol, concentrated hydrochloric acid, water, toluene","105 g (0.89 mole), 785 ml (9.5 moles), 130 ml, 55 ml",Hexamethylene chlorohydrin,108-122 g,toluene,"95°C, 160-165°C",9 hours,45-50%
volume28article27_1_1,"hydroquinone, acetic anhydride","110 g (1.0 mole), 206 g (190.3 ml, 2.02 moles)",Hydroquinone diacetate,186-190 g,N/A,N/A,5 minutes,96-98%
volume28article28_1_1,"isatin, acetic anhydride","600 g (4.1 moles), 1390 ml (14.7 moles)",N-Acetylisatin,635-643 g,N/A,reflux,4 hours,82-83%
volume28article28_2_1,"U.S.P. sodium hydroxide, crude N-acetylisatin","160 g (about 3.8 moles), 310 g (1.64 moles)",2-Hydroxycinchoninic acid,200-205 g,water,Boiling,1 hour,70-73%
volume28article29_1_1,"acetone, glycerol, p-toluenesulfonic acid monohydrate","237 g (300 ml, 4.09 moles), 100 g (1.09 moles), 3.0 g",dl-Isopropylideneglycerol,125-129 g,low-boiling petroleum ether,Reflux,21-36 hours,87-90%
volume28article30_1_1,"magnesium turnings, isoamyl bromide, cadmium chloride, β-carbomethoxypropionyl chloride","24.3 g (1.0 gram atom), 151 g (1.0 mole), 98 g (0.535 mole), 120 g (0.8 mole)",methyl 4-keto-7-methyloctanoate,108.5-111.5 g,"ether, benzene","reflux, 45 minutes, 1 hour",N/A,73-75%
volume28article31_1_1,"α-nitronaphthalene, hydroxylamine hydrochloride, potassium hydroxide","20 g (0.115 mole), 50 g (0.72 mole), 100 g",4-nitro-1-naphthylamine,12-13 g,"ethanol, methanol",50-60°C,2 hours,55-60%
volume28article32_1_1,"p-chloronitrobenzene, potassium xanthate","157.5 g (1 mole), 160 g (1 mole)",p-nitrophenyl sulfide,105-113 g,ethanol,reflux,48 hours,76-82%
volume28article34_1_1,"Sodium, ethanol, ethyl cyanoacetate, phenylhydrazine","46 g (2 gram atoms), 800 ml, 113 g (106 ml, 1 mole), 108 g (98 ml, 1 mole)",1-phenyl-3-amino-5-pyrazolone,76-82 g,ethanol,120°C,16 hours,43-47%
volume28article35_1_1,"ammonium thiocyanate, benzoyl chloride, aniline","17 g (0.22 mole), 28.2 g (0.2 mole), 18.6 g (0.2 mole)",α-phenylthiourea,23.2 g,acetone,reflux,5 minutes,76%
