Index,Summary
0,
volume71article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
| PHB | 50 g (0.58 mol) | (R)-(−)-3-Hydroxybutanoic acid | 32 g | 1,2-dichloroethane, methanol, p-Toluenesulfonic acid monohydrate, water, sodium hydroxide, ether | 150°C, reflux, 140°C, 180°C | 48 hours, 4 hours, 15 hours | 53% |"
volume71article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (+)-(1R,3S)-Camphoric acid, phosphorus pentachloride | 125 g (0.625 mol), 455 g (2.19 mol) | (−)-(1R,3R)-3-Chlorocamphoric anhydride | 122 g (90%) | N/A | Reflux (125°C) | 12 hours | 90% |"
volume71article6_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (−)-(1R,3R)-3-chlorocamphoric anhydride, sulfuric acid | 115 g (0.53 mol), 1000 mL | (−)-(1S,4R)-Camphanic acid | 76 g | water, chloroform, toluene | 80°C, reflux | 4-6 hours, 2 hours, overnight, 4 hours | 72% |"
volume71article6_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (−)-(1S,4R)-Camphanic acid, thionyl chloride | 63.8 g (0.322 mol), 200 mL | (−)-(1S,4R)-Camphanoyl chloride | 69 g | N/A | Reflux | 3 hours | 99% |"
volume71article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (S)-(−)-ethyl lactate, tert-butyldiphenylsilyl chloride, imidazole | 10.0 g (84.6 mmol), 23.3 g (84.6 mmol), 14.4 g (211 mmol) | Ethyl 2-(S)-[(tert-butyldiphenylsilyl)oxy]propanoate | 30.0 g | tetrahydrofuran | 23°C | 2 hours | 99% |"
volume71article7_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ethyl 2-(S)-[(tert-butyldiphenylsilyl)oxy]propanoate, methyllithium, trimethylsilyl chloride | 20.0 g (56.2 mmol), 52 mL (73 mmol), 20 mL (158 mmol) | 3-(S)-[(tert-butyldiphenylsilyl)oxy]-2-butanone | 18.2 g | tetrahydrofuran | -105°C | 1 hour | 99% |"
volume71article8_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-bromopropene, 3-(S)-[(tert-butyldiphenylsilyl)oxy]-2-butanone, tetrabutylammonium fluoride, 1-Carbethoxy-4-piperidone, p-toluenesulfonic acid | 7.7 mL (10.5 g, 86.7 mmol), 17.6 g (54.0 mmol), 163 mL (163 mmol), 7.52 g (43.9 mmol), 5.0 g (26 mmol) | (2R,3S)- and (2S,3S)-1,4-dioxa-2,3-dimethyl-2-(1-methylethenyl)-8-carboethoxy-8-azaspiro[4.5]decane | 9.0 g | tetrahydrofuran | -70°C, 23°C | 1 hr | 59% overall |"
volume71article8_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Ketal mixture, nitromethane, tin(IV) chloride | 9.00 g (31.8 mmol), 100 mL, 11 mL (94 mmol) | (2S,3S)-3-Acetyl-8-carboethoxy-2,3-dimethyl-1-oxa-8-azaspiro[4.5]decane | 8.1 g (90%) | ethyl acetate, hexane | -23°C, 23°C | 30 min, 30 min | 90% |"
volume71article9_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-dimethylaminopyridine, 1-hexyne, acetic anhydride, triethylamine, pentacarbonyl[phenyl(methoxy)chromium]carbene | 1.22 g (10 mmol), 11.0 mL (95.7 mmol), 13.2 mL (140 mmol), 9.8 mL (70 mmol), 20.0 g (64.0 mmol) | 1-acetoxy-2-butyl-4-methoxynaphthalene | 11.8 g | tetrahydrofuran | reflux | 45-60 min | 68% |"
volume71article10_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| zirconocene dichloride, lithium aluminum hydride | 100 g (0.342 mol), 3.6 g (94 mmol) | Schwartz's reagent | 66 g | tetrahydrofuran, ethyl ether | ~35°C | 90 min | 75% |"
volume71article11_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| chlorobis(η5-cyclopentadienyl)hydridozirconium, 1-octyne, 2-cyclopentenone, nickel acetylacetonate | 38.7 g (0.150 mol), 23.6 mL (0.16 mol), 10.9 mL (0.130 mol), 3.34 g (0.0130 mol) | 3-(1-Octen-1-yl)cyclopentanone | 15.0 g | tetrahydrofuran, hexane | 15-25°C, room temperature | 18 hours | 59% |"
volume71article12_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phenyl vinyl sulfide, bromine, potassium hydroxide | 13.6 g (100 mmol), 16.0 g (100 mmol), 8.0 g (140 mmol) | 1-bromo-1-phenylthioethene | 17.2 g | ether, absolute ethanol | -78°C to room temperature | 2 hours | 80% |"
volume71article12_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-vinyl-1-cyclohexene, 9-BBN | 8.32 g (77.0 mmol), 154 mL (77.0 mmol) | 9-[2-(3-Cyclohexenyl)ethyl]-9-BBN | N/A | tetrahydrofuran | 0-5°C, room temperature | 1 hr at 0°C, 1.5 hr at room temperature | N/A |"
volume71article12_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 9-alkyl-9-borabicyclo[3.3.1]nonane, tetrakis(triphenylphosphine)palladium(0), triphenylphosphine, 1-bromo-1-phenylthioethene | N/A | 4-(3-cyclohexenyl)-2-phenylthio-1-butene | 12.5-13.9 g | hexane, water | reflux | 3 hours | 73-81% |"
volume71article13_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-nitrophenol, pyridine, trifluoromethanesulfonic anhydride | 10.0 g (71.9 mmol), 38 mL, 13.5 mL (80 mmol) | 4-Nitrophenyl trifluoromethanesulfonate | 17.7 g | diethyl ether | 0°C to room temperature | 25 hours | 91% |"
volume71article13_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| magnesium turnings, tetrahydrofuran, 4-bromoanisole, methyl iodide, tributyltin chloride | 2.91 g (120 mmol), 85 mL, 14.0 mL (112 mmol), 0.05 mL, 30.5 mL (112 mmol) | Tributyl(4-methoxyphenyl)stannane | 41.0 g | diethyl ether | reflux | 12 hours | 92% |"
volume71article13_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-nitrophenyl trifluoromethanesulfonate, tributyl(4-methoxyphenyl)stannane, lithium chloride, bis(triphenylphosphine)palladium(II) chloride | 15.0 g (55.4 mmol), 27.8 g (70.0 mmol), 7.5 g, 1.6 g (4 mol percent) | 4-Methoxy-4'-nitrobiphenyl | 6.1 g (48%, 2 crops) | N,N-dimethylformamide | 100-105°C | 2.5 hours | 48% |"
volume71article14_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| thionyl chloride, 2,3-dimethoxybenzoic acid, 2-amino-2-methyl-1-propanol, sodium hydroxide | 24.5 g (0.206 mol), 12.2 g (0.067 mol), 12.5 g (0.140 mol), N/A | 2-(2,3-dimethoxyphenyl)-4,4-dimethyl-2-oxazoline | 12.7-13.3 g | dichloromethane | 0°C, room temperature | 1 hr (stirring), 24 hr (room temperature), 2 hr (stirring) | 81-85% |"
volume71article14_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Magnesium turnings, 2-bromoanisole, dimethoxyphenyloxazoline | 3.3 g (0.14 g-atom), 18 g (0.12 mol), 11.2 g (0.048 mol) | 2,2'-Dimethoxy-6-(4"",4""-dimethyloxazolinyl)biphenyl | 12.2-13.0 g | dry ether, anhydrous tetrahydrofuran | Room temperature | 24 hours | 80-85% |"
volume71article14_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| biphenyloxazoline, methyl trifluoromethanesulfonate, sodium borohydride, oxalic acid | 12.2 g (0.039 mol), 7.9 g (0.048 mol), 3.3 g (0.87 mol), 19.5 g (0.217 mol) | 2,2'-Dimethoxy-6-formylbiphenyl | 6.5 g | dichloromethane, ethanol, tetrahydrofuran, water | Room temperature, 0°C | 2-3 hours, 45 minutes, 16-18 hours | 75-83% |"
volume71article15_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| magnesium turnings, tributyltin chloride, 1-chloro-3-methyl-2-butene | 3.04 g (0.125 mol), 32.5 g (0.100 mol), 13.4 mL (0.120 mol) | tributyl(3-methyl-2-butenyl)tin | 33.2 g | tetrahydrofuran | <20°C | 30-45 min | 92% |"
volume71article16_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,3-dimethoxy-5-methyl-1,4-benzoquinone, tributyl(3-methyl-2-butenyl)tin, boron trifluoride etherate | 5.00 g (27.4 mmol), 11.8 g (32.9 mmol), 10.1 mL (82.3 mmol) | UBIQUINONE-1 | 6.15 g | dichloromethane | -78°C to room temperature | N/A | 90% |"
volume71article17_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| diisopropylamine, butyllithium, tributyltin hydride, paraformaldehyde | 13.7 mL (0.098 mol), 58.4 mL (0.093 mol), 24.75 g (0.0850 mol), 3.57 g (0.119 mol) | (tributylstannyl)methanol | Approximately 30 g | tetrahydrofuran | Room temperature | 3 hours | N/A |"
volume71article17_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (tributylstannyl)methanol, dimethoxymethane, boron trifluoride etherate | N/A | Tributyl[(methoxymethoxy)methyl]stannane | 23 g | dichloromethane | Room temperature | 13 hours | 74% |"
volume71article18_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tributyl[(methoxymethoxy)methyl]stannane, butyllithium, cycloheptanone | 10.5 g (28.7 mmol), 2.5 M in hexanes, 11.2 mL (28.0 mmol), 2.70 g (24.0 mmol) | 1-[(methoxymethoxy)methyl]cycloheptanol | 4.1-4.3 g | tetrahydrofuran | -78°C | 30 min | 91-95% |"
volume71article18_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1-[(methoxymethoxy)methyl]cycloheptanol, methanol, hydrochloric acid | 3.90 g (20.7 mmol), 50 mL, 12.1 N (0.75 mL) | 1-(Hydroxymethyl)cycloheptanol | 2.3-2.4 g | methanol | 55°C | 1.5-2 hours | 76-80% |"
volume71article19_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,2,6,6-tetramethylpiperidine, butyllithium | 40.5 mL (33.9 g, 0.240 mol), 88.0 mL (0.220 mol) | lithium 2,2,6,6-tetramethylpiperidide | N/A | tetrahydrofuran | Ice bath | 30 minutes | N/A |"
volume71article19_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ethyl 1-naphthoate, dibromomethane, lithium tetramethylpiperidide | 20.0 g (0.100 mol), 15.5 mL (38.3 g, 0.220 mol), N/A | ethyl 1-naphthylacetate | N/A | tetrahydrofuran | -74°C | 40-50 minutes | N/A |"
volume71article19_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,1,1,3,3,3-hexamethyldisilazane, absolute ethanol, butyllithium | 42.1 mL (32.2 g, 0.200 mol), 5.9 mL (4.6 g, 0.100 mol), 120 mL | lithium hexamethyldisilazide/lithium ethoxide | N/A | tetrahydrofuran | Ice bath, dry ice-acetone bath | 30 minutes | N/A |"
volume71article19_4,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| lithium tetramethylpiperidide, lithium hexamethyldisilazide, lithium ethoxide, sec-butyllithium | N/A | Ethyl 1-naphthylacetate | N/A | N/A | -70°C to 20°C | N/A | N/A |"
volume71article19_5,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Butyllithium, ethanol, acetyl chloride | N/A | Ethyl 1-naphthylacetate | 17.3 g | ether | Room temperature | 30 min | 81% |"
volume71article20_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| magnesium turnings, methallyl chloride, 2-(hydroxymethylene)cyclododecanone, chlorotrimethylsilane, triethylamine | 45.4 g (1.89 mol), 64.6 mL (0.65 mol), 12.6 g (60.0 mmol), 33 mL, N/A | 1-(2-Methylallyl)-2-(trimethylsiloxy)methylenecyclododecanol | N/A | ether | 0°C, 22°C | 1.5 hours at 0°C, 1.5 hours at 22°C | N/A |"
volume71article20_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Tertiary alcohol 1, p-toluenesulfonic acid monohydrate | N/A | 3,4-Cyclododeceno-1-methylbenzene | 12 g | toluene | 80°C | 3 hours | 86% |"
volume71article21_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| R-citronellal, dimethyl malonate, piperidine, acetic acid | 15.4 g (18.0 mL, 100 mmol), 14.5 g (12.5 mL, 110 mmol), 0.86 g (1.00 mL, 10.0 mmol), 0.63 g (0.6 mL, 10.0 mmol) | Methyl (5R)-2-(methoxycarbonyl)-5,9-dimethyldeca-2,8-dienoate | 24.1-25.5 g | dichloromethane | Room temperature | 30 minutes, 2 hours | 90-95% |"
volume71article21_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ferric chloride on alumina, 3 | 9.25 g (9.50 mmol), 25.5 g (95.0 mmol) | Dimethyl (1'R,2'R,5'R)-2-(2'-isopropenyl-5'-methylcyclohex-1'-yl)propane-1,3-dioate | 17.1-19.7 g | dichloromethane | -78°C to room temperature | 2 hours | 71-77% |"
volume71article22_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,2-ethanedithiol, chloroacetaldehyde dimethyl acetal | 59.5 mL (0.71 mol), 89 mL (0.78 mol) | 2-Chloromethyl-1,3-dithiolane | 59.3-65.0 g | concd hydrochloric acid, dichloromethane, water, saturated sodium bicarbonate solution, brine | 0°C, room temperature | 3 hours | 54-59% |"
volume71article22_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-chloromethyl-1,3-dithiolane, methyllithium-lithium bromide complex | 33.0 g (0.213 mol), 156 mL of 1.5 M solution (0.235 mol) | 2-Methylene-1,3-dithiolane | 20.6-21.6 g | diethyl ether | 0°C, room temperature | 2 hours | 82-86% |"
volume71article23_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cycloheptatriene, selenium dioxide | 258 g (2.80 mol), 318 g (2.87 mol) | tropone | 147 g | p-dioxane, water | 90°C | 20 hours | 50% |"
volume71article23_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tropone, triethylamine, 2-methylene-1,3-dithiolane | 8.23 g (77.6 mmol), 0.75 mL, 11.0 g (93.1 mmol) | 9-dithiolanobicyclo[3.2.2]nona-3,6-dien-2-one | 10.3 g | petroleum ether, dichloromethane | 110-120°C | 10 hours | 59% |"
volume71article23_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| copper(I) iodide, methyllithium, hexamethylphosphoramide, diisobutylaluminum hydride, 9-dithiolanobicyclo[3.2.2]nona-3,6-dien-2-one | 0.80 g (4.2 mmol), 3.2 mL (4.5 mmol), 40 mL, 50 mL, 7.4 g (33 mmol) | 9-Dithiolanobicyclo[3.2.2]non-6-en-2-one | 6.9 g | tetrahydrofuran | -50°C to 0°C | 4 hours | 92% |"
volume71article24_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| dimethylformamide, sodium iodide, triethylamine, chlorotrimethylsilane, isobutyraldehyde | 230 mL, 7.5 g (50 mmol), 119 g (1.18 mol), 64.3 g (0.592 mol), 36.0 g (0.500 mol) | 2-Methyl-1-(trimethylsiloxy)propene | 48.8 g | pentane | 120°C | 8 hours | 67% |"
volume71article24_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| copper(II) acetylacetonate, silyl enol ether 1, methyl diazoacetate | 1.04 g (4.00 mmol), 28.8 g (200 mmol), 24.0 g (240 mmol) | Methyl 2,2-dimethyl-3-(trimethylsiloxy)-1-cyclopropanecarboxylate | 35.0 g | ethyl acetate | 90-100°C | 3-4 hours | 81% |"
volume71article24_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| siloxycyclopropane, triethylamine hydrofluoride | 2.16 g (10.0 mmol), 3.64 g (30.0 mmol) | Methyl 3,3-dimethyl-4-oxobutanoate | 1.26 g | dichloromethane (or tetrahydrofuran) | room temperature | 1 hour | 87% |"
volume71article25_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N-Boc-glycine tert-butyl ester, N-bromosuccinimide | 20.0 g (0.0865 mol), 16.2 g (0.0912 mol) | 2-Bromo-N-Boc-glycine tert-butyl ester | N/A | carbon tetrachloride | N/A | 1 hour | N/A |"
volume71article25_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromination product, dichlorodiethoxytitanium, 2-trimethylsiloxybutadiene | N/A, 42 g (0.20 mol), 24 g (0.170 mol) | tert-Butyl [1-(tert-butoxycarbonyl)-3-oxo-4-pentenyl]carbamate | 8.44-8.73 g | tetrahydrofuran | -78°C to room temperature | overnight | 33-36% |"
volume71article25_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tert-Butyl [1-(tert-butoxycarbonyl)-3-oxo-4-pentenyl]carbamate | 8.73 g (0.0308 mol) | 4-Ketopipecolic acid hydrochloride | 5.48 g | hydrogen chloride in ether | Room temperature | Overnight | 99% |"
volume71article26_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
