nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
| anhydro-2-hydroxymercuri-3-nitrobenzoic acid, sodium hydroxide, hydrochloric acid, glacial acetic acid, sodium bromide, bromine | 330 g (0.9 mole), 50 g (1.25 moles), 101 g (85 cc, 0.95 mole), 31.5 g (30 cc, 0.5 mole), 103 g (1 mole), 160 g (50.2 cc, 1 mole) | 2-bromo-3-nitrobenzoic acid | 130-150 g | water, 30% alcohol | boiling | 5 minutes after bromine addition | 53-61% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Citric acid monohydrate, concentrated sulfuric acid | 210 g (1 mole), 210 g (2 moles) | Aconitic acid | 71-77 g | Glacial acetic acid | 140–145° | 7 hours | 41-44% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium phthalimide, γ-chlorobutyronitrile, concentrated sulfuric acid | 100 g (0.54 mole), 52 g (0.5 mole), 140 cc | γ-aminobutyric acid | 24-32 g | water | 150–180°C, reflux | 1.5 hours, 3 hours, overnight | 47-62% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-ketohexamethylenimine, hydrochloric acid, litharge, lead hydroxide, silver oxide | 50 g (0.44 mole), 45 cc, 50 g, 5 g, 25 g | ε-aminocaproic acid | 52.5-53.5 g | water, absolute alcohol, ether | N/A | 1 hour | 90-92% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nitroso-β-naphthol, sodium hydroxide, sodium hydrosulfite, hydrochloric acid | 240 g (1.39 moles), 1.5 l, 300 cc, 600 g, 500 cc | 1,2-aminonaphthol hydrochloride | 180-200 g | water | 35°C, 60-65°C, 20°C, 85-90°C | 30 minutes, 5 minutes, 1 hour | 66-74% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sulfanilic acid dihydrate, sodium carbonate, sodium nitrite, concentrated hydrochloric acid | 105 g (0.5 mole), 26.5 g (0.25 mole), 37 g (0.54 mole), 106 cc (1.25 moles) | p-benzenediazonium sulfonate | N/A | water | 15°C | 15-25 minutes | N/A |
| β-naphthol, sodium hydroxide, p-benzenediazonium sulfonate | 72 g (0.5 mole), 110 g (2.75 moles), N/A | Orange II | N/A | water | 5°C | 1 hour | N/A |
| Orange II, sodium hydrosulfite, stannous chloride dihydrate, concentrated hydrochloric acid | N/A, 230 g (about 1.1 moles), 2 g, 53 cc (0.63 mole) | 1,2-Aminonaphthol Hydrochloride | 70-83 g | water | 45-50°C, 0°C | N/A | 72-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sulfanilic acid dihydrate, α-naphthol, sodium hydroxide, sodium hydrosulfite, stannous chloride dihydrate, hydrochloric acid | 105 g (0.5 mole), 72 g (0.5 mole), 110 g (2.75 moles), 230 g (1.1 moles), 2 g, 63 cc, 200 cc | 1,4-aminonaphthol hydrochloride | 70-73 g | water | Ice bath, 25°C, 45–50°, 70° | 1 hour, N/A, N/A | 72-75% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| β-aminopropionitrile, barium hydroxide octahydrate | 70.1 g (1.00 mole), 185 g (0.55 mole) | β-alanine | 75-80 g | water | 90-95°C | 40 minutes | 85-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| acrylonitrile, ammonium hydroxide | 100 ml (80 g, 1.5 moles), 400 ml | β-aminopropionitrile, bis-(β-cyanoethyl)-amine | 130-140 g (β-aminopropionitrile), 210 g (bis-(β-cyanoethyl)-amine) | concentrated ammonium hydroxide | N/A | a few hours or overnight | 31-33% (β-aminopropionitrile), 57% (bis-(β-cyanoethyl)-amine) |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzalacetone, bromine | 100 g (0.68 mole), 109.5 g (34.2 ml, 0.68 mole) | benzalacetone dibromide | 110-120 g | carbon tetrachloride, methanol | 10-20°C | 4-5 minutes | 52-57% |
| Reactants         | Reactant amounts          | Products | Product amounts | Solvents          | Reaction temperature | Reaction time | Yield |
|-------------------|----------------------------|----------|-----------------|-------------------|----------------------|----------------|-------|
| Magnesium, allyl chloride | 82 g (3.5 gram atoms), 459 g (6 moles) | Biallyl  | 135-160 g       | anhydrous ether   | Ice bath, room temperature | 1-1.5 hours, 5 hours | 55-65% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| benzalacetone dibromide, anhydrous sodium acetate | 100 g (0.33 mole), 30 g (0.37 mole) | α-bromobenzalacetone | 47-54 g | 95% ethanol | reflux | 4 hours | 64-73% |
| Reactants           | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|---------------------|------------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium hydroxide, chlorine gas | 50 g (1.25 moles), 41 g (0.58 mole) | Sodium hypochlorite | N/A | Water | 0°C | N/A | N/A |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| potassium hydroxide, o-nitroaniline, sodium hypochlorite | 21 g (0.32 mole), 40 g (0.29 mole), N/A | Benzofurazan oxide | 31.6-32.5 g | 95% ethanol | 0°C | 10 minutes | 80-82% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| o-nitroaniline, hydrochloric acid, sodium nitrite, sodium azide | 28 g (0.2 mole), 45 ml, 14.5 g, 13 g (0.2 mole) | o-nitrophenylazide | 31-32 g, 14-15 g, 7-8 g | water, 95% ethanol | 0-5°C, 50-55°C | 1 hour, N/A | 94-97%, 63-69% |
| o-nitrophenylazide | 16.4 g (0.1 mole) | Benzofurazan oxide | 10.5-11.5 g | toluene | reflux | 3 hours | 77-85% |
| Reactants          | Reactant amounts                     | Products               | Product amounts | Solvents        | Reaction temperature | Reaction time | Yield  |
|--------------------|-------------------------------------|------------------------|-----------------|-----------------|----------------------|----------------|--------|
| ethyl benzoylacetate, aniline | 105.7 g (0.55 mole), 46.6 g (0.5 mole) | Benzoacetanilide       | 99-100 g       | xylene          | 135°C                | 15 minutes     | 83-84% |
| Reactants               | Reactant amounts                   | Products           | Product amounts | Solvents            | Reaction temperature          | Reaction time       | Yield |
|------------------------|------------------------------------|--------------------|-----------------|---------------------|-------------------------------|---------------------|-------|
| nicotinic acid, thionyl chloride, aluminum chloride, benzene | 123 g (1 mole), 500 ml (818 g, 6.9 moles), 330 g (2.5 moles), 700 ml | 3-benzoylpyridine  | 165-175 g       | benzene, thionyl chloride | 5°-10°, room temperature, reflux | 1 hour, 6 hours      | 90-96% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-methylcyclohexanone, sulfuryl chloride | 224 g (2.0 moles), 179 ml (297 g, 2.2 moles) | 2-Chloro-2-methylcyclohexanone | 243-248 g | dry carbon tetrachloride | room temperature | 1 hour, 2 hours | 83-85% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-chloro-2-methylcyclohexanone, 2,4,6-collidine | N/A, 290 ml (266 g, 2.2 moles) | 2-methyl-2-cyclohexenone | 100-109 g | benzene | 145-150°C | 1 minute | 45-49% |
| 2-chloro-2-methylcyclohexanone, lithium chloride, dimethylformamide | N/A, 26 g, 250 ml | 2-methyl-2-cyclohexenone | 47-50 g | ether, dimethylformamide | 100-112°C | 35 minutes | 43-45% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| nicotinamide-1-oxide, phosphorus pentachloride, phosphorus oxychloride | 85.0 g (0.62 mole), 180.0 g (0.86 mole), 243 ml | 2-chloronicotinonitrile | 30-33 g | phosphorus oxychloride | 100-105°C, 115-120°C | 20-25 minutes, 1.5 hours | 35-39% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| mesitylene, titanium tetrachloride, dichloromethyl methyl ether | 72 g (0.60 mole), 190 g (110 ml, 1.0 mole), 57.5 g (0.5 mole) | mesitaldehyde | 60-66 g | methylene chloride | ice bath, 35° | 3 min, 25 min, 5 min, 30 min, 15 min | 81-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-Nitroaniline, sulfuric acid, phosphoric acid, sodium nitrite, liquid sulfur dioxide, FeSO4·7 H2O, defatted copper powder | 13.8 g (0.10 mole), 75 ml, 100 ml, 8.3 g (0.12 mole), 50 ml, 55.6 g (0.20 mole), 1 g | 2-Nitrobenzenesulfinic acid | 9.4-14.9 g | ether, methylene chloride | 10-15°C, -10°C | 30 min | 50-80% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-nitrobenzenesulfinic acid, palladium oxide | 3.74 g (0.020 mole), 0.2-1.0 g | Sodium 2-aminobenzenesulfinate | 3.05-3.20 g | water | N/A | 2-6 hours | 85-89% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sodium 2-aminobenzenesulfinate, sodium nitrite, sulfuric acid, glycerol | 1.43 g (0.0080 mole), 0.55 g (0.0080 mole), 16 ml (2N), 22 ml | 1,2,3-benzothiadiazole 1,1-dioxide | 0.77-1.04 g | water, ether | -15°C | 2 hours | 57-77% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cis,cis-1,5-cyclooctadiene, benzoyl peroxide | 325 g (3.0 moles), 14.6 g (0.06 mole), 7.3 g (0.03 mole per addition) | 2-(Trichloromethyl)bicyclo[3.3.0]octane | 106-117 g | chloroform | 63-65°C | 5 days | 35% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-(trichloromethyl)bicyclo[3.3.0]octane, phosphoric acid | 100 g (0.440 mole), 500 ml | exo-cis-bicyclo[3.3.0]octane-2-carboxylic acid | 29-32 g | phosphoric acid | 150°C | 16 hours | 43-47% |
| Reactants                    | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|----------------------------|------------------|----------|-----------------|-----------|----------------------|----------------|-------|
| N,N'-diphenylethylenediamine, triethyl orthoformate | 20 g (0.094 mole), 100 ml | Bis(1,3-diphenylimidazolidinylidene-2) | 19-20 g | triethyl orthoformate | 190°-200° | 5 hours | 91-95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Aluminum chloride, lithium aluminum hydride, 4-t-butylcyclohexanone | 67 g (0.5 mole), 5.5 g, 77.2 g (0.5 mole) | trans-4-t-Butylcyclohexanol | 57-61 g | dry ether | Reflux | 2 hours | 73-78% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Sodium, diethyl succinate, chlorotrimethylsilane | 9.6-9.8 g (~0.4 g-atom), 17.4 g (0.100 mole), 45-50 g (~0.4 mole) | 1,2-Bis(trimethylsilyloxy)cyclobutene | 18 g | dry solvent | Reflux | 5 hours | 78% |
| Sodium, potassium, diethyl succinate, chlorotrimethylsilane | 4.8-5.0 g (~0.2 g-atom), 8.0-8.2 g (~0.2 g-atom), 17.4 g (0.100 mole), 44 g (0.41 mole) | 1,2-Bis(trimethylsilyloxy)cyclobutene | 13.8-16.1 g | anhydrous ether | N/A | 4-6 hours | 60-70% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,2-bis(trimethylsilyloxy)cyclobutene, methanol | 23 g (0.10 mole), 450 mL | 2-Hydroxycyclobutanone | 6.1-7.4 g | methanol | Reflux | 24-30 hours | 71-86% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| adamantanone, p-tolylsulfonylmethyl isocyanide, ethanol, potassium tert-butoxide | 15.0 g (0.100 mole), 25.4 g (0.130 mole), 10 ml (0.17 mole), 28 g (0.25 mole) | 2-adamantanecarbonitrile | 13.5-14.5 g | 1,2-dimethoxyethane, distilled petroleum ether | 5-10°C, 35-40°C | 30 minutes, 30 minutes | 84-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Cyclohexene, rhodium(III) oxide, carbon monoxide, hydrogen | 82 g (1.0 mole), 0.2 g (0.8 mmole), N/A, N/A | Cyclohexanecarboxaldehyde | 92-94 g | anhydrous benzene | 100°C | 2 hours | 82-84% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tricarbonyl[(1,2,3,4,5-η)-2,4-cyclohexadien-1-yl]iron(1+) hexafluorophosphate(1−), dimedone | 5 g (0.013 mole), 2.5 g (0.018 mole) | tricarbonyl[2-[(2,3,4,5-η)-4-methoxy-2,4-cyclohexadien-1-yl]-5,5-dimethyl-1,3-cyclohexanedione]iron | 4.3 g | water, ethanol | reflux | 15 minutes | 87% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| tellurium tetrachloride, anisole | 27.0 g (0.100 mole), 64.8 g (0.600 mole) | Bis(4-methoxyphenyl)tellurium dichloride | 35.5–38.5 g | acetonitrile | 160°C | 6 hours | 84–90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bis(4-methoxyphenyl)tellurium dichloride, Raney nickel | 20.6 g (0.0497 mole), 60 g | 4,4'-Dimethoxy-1,1'-biphenyl | 8.5-9.8 g | benzene, bis(2-methoxyethyl) ether | Reflux | 8 hours | 78-90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (±)-1,1'-bi-2-naphthol, phosphorus oxychloride, water | 100 g (0.35 mol), 73.6 g (0.48 mol), 40 mL | (±)-binaphthylphosphoric (BNP) acid | 114-119 g | pyridine | 90°C, 118°C | N/A | 94-99% |
| racemic binaphthylphosphoric (BNP) acid, (+)-cinchonine | 95.2 g (0.27 mol), 80.4 g (0.27 mol) | (S)-(+)-BNP acid, (R)-(−)-BNP acid | 26.7 g, 23.3 g | methanol, ethanol | 65-70°C, 75-80°C | 20 min | 56%, 49% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(−)-1,1'-binaphthyl-2,2'-diyl hydrogen phosphate, dimethyl sulfate, sodium bicarbonate | 20.0 g (57.4 mmol), 10.0 mL (105.7 mmol), 10.4 g (123.8 mmol) | (R)-(−)-methyl 1,1'-binaphthyl-2,2'-diyl phosphate | 16.4 g (45.2 mmol) | N,N-dimethylacetamide | room temperature | overnight | 79% |
| (R)-(−)-methyl 1,1'-binaphthyl-2,2'-diyl phosphate, Red-Al | 14.7 g (40.6 mmol), 27.0 mL (91.8 mmol) | crude (R)-(+)-1,1'-binaphthalene-2,2'-diol | 11.4 g | toluene | 10°C to 26°C | 90 min | 98% |
| crude (R)-(+)-1,1'-binaphthalene-2,2'-diol | 11.4 g | recrystallized (R)-(+)-1,1'-binaphthalene-2,2'-diol | 9.62 g | toluene | reflux | overnight | 92% |

**Notes:**
- The first reaction converts the phosphate ester to a methyl phosphate derivative.
- The second reaction involves reduction with Red-Al to form the diol.
- The third step is the recrystallization of the diol to obtain a pure product. The overall yield from the starting material to the recrystallized product is 73%.
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| triphenylphosphine, bromine, 2,2'-dihydroxy-1,1'-binaphthyl | 240 g (0.915 mol), 155 g (0.969 mol), 120 g (0.420 mol) | 2,2'-Dibromo-1,1'-binaphthyl | 78.0 g | acetonitrile | 60°C, 240–260°C, 260–270°C, 310–320°C | 1 hr, 1 hr, 1 hr, 30 min | 45% |
| magnesium turnings, 2,2'-dibromo-1,1'-binaphthyl, diphenylphosphinyl chloride | 2.84 g (0.117 g-atom), 20.0 g (50.0 mmol), 28.4 g (120 mmol) | (±)-2,2'-Bis(diphenylphosphinyl)-1,1'-binaphthyl [(±)-BINAPO] | 24.5 g | tetrahydrofuran, toluene | 50–70°C, 10–15°C, 60°C | 3.5 hr, 20 min, 2 hr | 75% |
| racemic BINAPO, (−)-2,3-O-dibenzoyl-L-tartaric acid monohydrate | 10.5 g (16.0 mmol), 6.0 g (16.0 mmol) | (S)-BINAPO | 4.6 g | chloroform, ethyl acetate | reflux | 2–3 min, overnight | 89% |
| (S)-BINAPO, triethylamine, trichlorosilane | 4.5 g (6.9 mmol), 4.2 mL (3.1 g, 30 mmol), 3.0 mL (4.0 g, 29 mmol) | (S)-BINAP | 4.2 g | xylene | 100°C, 120°C, reflux | 1 hr, 1 hr, 6 hr | 97% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| chloro-(1,5-cyclooctadiene)rhodium(I) dimer, silver perchlorate, (+)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl | 0.53 g (1.08 mmol), 0.45 g (2.17 mmol), 1.34 g (2.16 mmol) | [Rh{(+)-BINAP} (1,5-C8H12)] ClO4 | 2.07 g | acetone | ambient | 18 hr | N/A |
| chloro-(1,5-cyclooctadiene)rhodium(I) dimer, silver perchlorate, (−)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl | 0.53 g (1.08 mmol), 0.45 g (2.17 mmol), 1.34 g (2.16 mmol) | [Rh{(−)-BINAP} (1,5-C8H12)] ClO4 | 2.02 g | acetone | ambient | 18 hr | N/A |
| N,N-diethylgeranylamine, [Rh{(−)-BINAP} (1,5-C8H12)] ClO4 | 83.8 g (0.40 mol), 373 mg (0.40 mmol) | (R)-(−)-N,N-diethyl-(E)-citronellalenamine | 78.7 g | tetrahydrofuran | reflux | 21 hr | 93.9% |
| N,N-diethylnerylamine, [Rh{(+)-BINAP} (1,5-C8H12)] ClO4 | 83.8 g (0.40 mol), 373 mg (0.40 mmol) | (R)-(−)-N,N-diethyl-(E)-citronellalenamine | 77.2 g | tetrahydrofuran | reflux | 70 hr | 92.1% |
| (R)-(−)-N,N-diethyl-(E)-citronellalenamine, glacial acetic acid, water | 33.4 g (0.16 mol), N/A, N/A | (R)-(+)-Citronellal | 22.5 g | ether | 0°C, room temperature | 5 min, 25 min | 91.4% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Myrcene, diethylamine, metallic lithium | 13.60 g (74 mmol), 10.29 g (141 mmol), 0.185 g (0.0267 g-atom) | N,N-Diethylgeranylamine | 12.66-13.28 g | N/A | 55°C | 5 hr | 74-77% |
| Myrcene, dipropylamine, metallic lithium | N/A, N/A, N/A | N,N-Dipropylgeranylamine | N/A | N/A | 50°C | 20 hr | 80% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,4-pentanedione, chloroacetyl chloride, aluminum chloride | 50.0 mL (0.487 mol), 85.0 mL (1.07 mol), 65.0 g (0.487 mol) | Bis(1,5-dichloro-2,4-pentanedione)copper(II) complex | 55.6-56.4 g | nitrobenzene, 1,2-dichloroethane | 60-70°C | 17 hours | 57-58% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 1,5-cyclooctadieneruthenium(II) chloride, (S)-BINAP, triethylamine, bis(1,5-dichloro-2,4-pentanedione)copper(II) complex, sulfuric acid, hydrogen | 79.2 mg (0.283 mmol), 212 mg (0.340 mmol), 470 μL (3.37 mmol), 22.0 g (55.1 mmol), 200 mL, N/A | (R,R)-1,2:4,5-Diepoxypentane | 7.66 g | toluene, diethyl ether, methanol | 65°C | 12-14 hours | 40% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (2R,4R)-1,5-dichloro-2,4-pentanediol, potassium hydroxide | 6.00 g (34.7 mmol), 18.5 g (330 mmol) | (2R,4R)-1,2:4,5-Diepoxypentane | 3.20 g | diethyl ether | 25°C | 3 hours | 92% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1R,2S)-(−)-norephedrine, 1,4-dibromobutane, sodium bicarbonate, hydrochloric acid | 37.8 g (0.25 mol), 59.38 g (0.275 mol), 46.2 g (0.55 mol), 0.275 mol | [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol | 45.9 g | toluene | 105-118°C | N/A | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|----------------------------|---------------------------------------------------------|------------------------------------------------|-----------------|------------------|----------------------|----------------|-------|
| (1S,2S)-(+)-pseudoephedrine, propionic anhydride | 21.3 g (129 mmol), 18.0 g (138 mmol) | (1S,2S)-pseudoephedrinepropionamide | 27.2 g | Tetrahydrofuran | 23°C | 10 min | 95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| anhydrous lithium chloride, diisopropylamine, butyllithium, (1S,2S)-pseudoephedrinepropionamide, benzyl bromide | 25.0 g (590 mmol), 31.3 mL (223 mmol), 85.1 mL (207 mmol), 22.0 g (99.4 mmol), 17.7 mL (149 mmol) | (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide | 27.8 g | tetrahydrofuran | -78°C, 0°C, 23°C | 1 hr, 15 min, 5 min, 15 min | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| lithium aluminum hydride, ethyl acetate, (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide | 2.95 g (73.9 mmol), 10.7 mL (109 mmol), 10.0 g (32.1 mmol) | (R)-α-methylbenzenepropanal | 3.64 g | hexanes, tetrahydrofuran | 0°C, -78°C, 23°C | 1.25 hr, 1 hr | 76% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Diisopropylamine, butyllithium, 90% borane-ammonia complex, (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide | 18.9 mL (135 mmol), 53.5 mL (125 mmol), 4.41 g (129 mmol), 10.0 g (32.1 mmol) | (R)-β-Methylbenzenepropanol | 4.35 g | tetrahydrofuran | -78°C, 0°C, 23°C | 10 min, 5 min, 20 min, 50 min | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
