nohup: ignoring input
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
| aluminum chloride, nitrobenzene, 1,2-dichloroethane, 2,4-pentanedione, chloroacetyl chloride | 65.0 g (0.487 mol), 82 mL, 96 mL, 50.0 mL (0.487 mol), 85.0 mL (1.07 mol) | Bis(1,5-dichloro-2,4-pentanedione)copper(II) complex | 55.6-56.4 g | nitrobenzene, 1,2-dichloroethane | 60°C | 2 hr distillation, 17 hr stirring, 3 hr stirring | 57-58% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bis(1,5-dichloro-2,4-pentanedione)copper(II) complex, diethyl ether, 10% sulfuric acid | 22.0 g (55.1 mmol), 200 mL, 200 mL | crude dione | ca. 20 g | methanol | 65°C | 12-14 hr | 40% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (2R,4R)-1,5-dichloro-2,4-pentanediol, KOH | 6.00 g (34.7 mmol), 18.5 g (330 mmol) | (2R,4R)-1,2:4,5-Diepoxypentane | 3.20 g | diethyl ether | 25°C | 3 hours | 92% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1R,2S)-(−)-norephedrine, 1,4-dibromobutane, sodium bicarbonate | 37.8 g (0.25 mol), 59.38 g (0.275 mol), 46.2 g (0.55 mol) | [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol | 45.9 g | toluene | reflux (105-118°C) | until completion | 90% |
| [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol, HCl in 2-propanol | N/A | [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol hydrochloride salt | N/A | toluene | room temperature | 2 hr | N/A |
| [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol hydrochloride salt, heptane, 2 M sodium hydroxide | N/A | [R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol | 45.9 g | heptane | -25°C | 1 hr | N/A |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-(+)-pseudoephedrine, propionic anhydride | 21.3 g (129 mmol), 18.0 g (138 mmol) | (1S,2S)-pseudoephedrinepropionamide | 27.2 g | tetrahydrofuran, toluene | 23°C, 80°C | 15 min, 10 hr | 95% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| anhydrous lithium chloride, diisopropylamine, butyllithium, (1S,2S)-pseudoephedrinepropionamide, benzyl bromide | 25.0 g (590 mmol), 31.3 mL (223 mmol), 85.1 mL (207 mmol), 22.0 g (99.4 mmol), 17.7 mL (149 mmol) | [(1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide] | 27.8 g | tetrahydrofuran | -78°C to 23°C | 1+15+5+3+10 hours | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, ethyl acetate, lithium aluminum hydride | 10.0 g (32.1 mmol), 10.7 mL (109 mmol), 2.95 g (73.9 mmol) | (R)-α-methylbenzenepropanal | 3.64 g | hexanes, tetrahydrofuran | 0°C, -78°C, 0°C | 1.25 hr, 1 hr, 5 min | 76% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, diisopropylamine, butyllithium, borane-ammonia complex | 10.0 g (32.1 mmol), 18.9 mL (135 mmol), 53.5 mL (125 mmol), 4.41 g (129 mmol) | (R)-β-Methylbenzenepropanol | 4.35 g | tetrahydrofuran | -78°C to 23°C | 10 min, 5 min, 20 min, 50 min | 90% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, butyllithium, diisopropylamine, acetic acid | 10.0 g (32.1 mmol), 32.3 mL (77.2 mmol), 4.5 mL (32 mmol), 20% v/v | (R)-2-methyl-1-phenyl-3-heptanone | 5.80 g | toluene, ether | -78°C, 0°C | 5 min, 15 min, 15 min | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| (R)-(+)-1,1,2-triphenyl-1,2-ethanediol, acetic anhydride, scandium(III) trifluoromethanesulfonate | 35.0 g (0.121 mol), 17.1 mL (0.181 mol), 1.23 g (2.5 mmol) | (R)-(+)-2-hydroxy-1,2,2-triphenylethyl acetate | 35.42 g (0.107 mol) | anhydrous acetonitrile | room temperature | 3 hours | 88% |
| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
