volume95article3_1_1,"Iridium (III) chloride anhydrous, 2-phenylpyridine, DI water","0.65 g (2.18 mmol), 3.74 mL (26.1 mmol), 0.65 L",Fac-tris(2-phenylpyridinato) iridium(III),1.35 g,"DI water, dichloromethane",205°C,48 hours,94%
volume95article4_1_1,"Phenylmagnesium bromide, furfural","57.4 mL (57.4 mmol), 4.76 mL (57.4 mmol)",Furan-2-yl(phenyl)methanol,9.71 g,THF,5°C,4 hours,94%
volume95article4_2_1,"furan-2-yl(phenyl)methanol, acetonitrile, 2,4,6-trimethylaniline, Dysprosium(III) trifluoromethanesulfonate","3.95 g (22.7 mmol), 200 mL, 2.78 g (20.5 mmol), 0.628 g (1.03 mmol)",4-(Mesitylamino)-5-phenylcyclopent-2-en-1-one,4.97 g,MeCN,80°C,4 hours,83%
volume95article5_1_1,"Oxone, pyridinium bromide, pyridine, 4-acetamidoTEMPO, dodecylamine","80.0 g (130 mmol), 365 mg (2.25 mmol), 20 mL (19.6 g, 250 mmol), 533 mg (2.50 mmol), 9.24 g (49.9 mmol)",Dodecanenitrile,8.37 g,dichloromethane,23°C,9-15 hours,93%
volume95article6_1_1,"N,N-dibenzylhydroxylamine, 4-dimethyl-aminopyridine, dichloromethane, pivaloyl chloride","21.3 g (100 mmol), 12.8 g (105 mmol), 250 mL, 12.9 mL (105 mmol)","N,N-Dibenzyl-O-pivaloylhydroxylamine",27.5-28.0 g,dichloromethane,"0°C, room temperature",6 hours,93-94%
volume95article6_2_1,"N,N-dibenzyl-O-pivaloylhydroxylamine, copper(II) acetate, (S)-DTBM-SEGPHOS, triphenylphosphine, trans-β-methylstyrene, dimethoxy(methyl)silane","7.55 g (25.4 mmol), 38 mg (0.21 mmol), 274 mg (0.23 mmol), 61 mg (0.46 mmol), 2.50 g (2.75 mL, 21.1 mmol), 5.22 mL (4.49 g, 42.3 mmol)","(R)-N,N-Dibenzyl-1-phenylpropan-1-amine",5.72 g,THF,23°C,12 hours,86%
volume95article6_3_1,"N,N-dibenzyl-O-pivaloylhydroxylamine, copper(II) acetate, (S)-DTBM-SEGPHOS, triphenylphosphine, 2,3,3-trimethyl-1-butene, dimethoxy(methyl)silane","9.09 g (30.6 mmol), 46 mg (0.25 mmol), 330 mg (0.28 mmol), 74 mg (0.28 mmol), 2.50 g (3.55 mL, 25.5 mmol), 6.27 mL (5.41 g, 50.9 mmol)","(R)-N,N-Dibenzyl-2,3,3-trimethylbutan-1-amine",6.54 g,THF,40°C,12 hours,87%
volume95article7_1_1,"biphenyl-2-carboxylic acid, potassium peroxydisulfate, silver nitrate","7.93 g (40 mmol), 21.6 g (80 mmol), 68 mg",6H-Benzo[c]chromen-6-one,6.40 g,"water, acetonitrile, ethyl acetate","50°C, 23°C",27 hours,82%
volume95article7_2_1,"6H-benzo[c]chromen-6-one, iodomethane, potassium hydroxide","5.89 g (30 mmol), 42.6 g (18.7 mmol), 9.9 g (150 mmol)","Methyl 2'-methoxy-[1,1'-biphenyl]-2-carboxylate",6.50 g,acetonitrile,23°C,24 hours,89%
volume95article8_2_1,"N-benzyl-4-methyl-N-(phenylethynyl)benzene-sulfonamide, dichloro(2-pyridinecarboxylato)gold, ((tert-butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide","4.69 g (13.0 mmol), 51.02 mg (0.13 mmol), 3.60 g (14.3 mmol)",tert-Butyl ((4-((N-benzyl-4-methylphenyl)sulfonamido)-5-phenyloxazol-2-yl)methyl)carbamate,6.67 g,toluene,90°C,5.5 hours,96%
volume95article9_1_1,"Pivalic acid, zinc oxide","12.5 mL (11.3 g, 110 mmol), 4.07 g (50 mmol)",Zinc Pivalate,13.1-13.2 g (48.9-49.7 mmol),toluene,reflux,16 hours,98-99%
volume95article9_2_1,"3-Bromopyridine, iPrMgCl·LiCl, Zn(OPiv)2","6.32 g (40.0 mmol), 35.2 mL (44.0 mmol), 12.3 g (46.0 mmol)",Pyridin-3-ylzinc Pivalate,28.6-28.8 g,THF,"0°C, 25°C","3 hours, 30 minutes",79-86%
volume95article9_3_1,"pyridine-3-ylzinc pivalate, ethyl 4-bromobenzoate, PEPPSI-IPr","27.2 g (32.6 mmol), 4.6 mL (6.45 g, 28.2 mmol), 193 mg",Ethyl 4-(pyridin-3-yl)benzoate,6.02 g (26.5 mmol),THF,25°C,2 hours,94%
volume95article10_1_1,"N-Boc hydroxylamine, triethylamine, tert-butyldimethylsilylchloride","44.0 g (330 mmol), 49.0 mL (363 mmol), 49.7 g (330 mmol)",tert-Butyl (tert-butyldimethylsilyl)oxycarbamate,81.3 g (329 mmol),CH2Cl2,23°C,16 hours,99.5%
volume95article10_2_1,"(S)-(-)-α, α-Diphenyl-2-pyrrolidinylmethanol, imidazole, trimethylchlorosilane","25.0 g (98.8 mmol), 20.0 g (294 mmol), 31.3 mL (247 mmol)","(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol trimethylsilyl ether",22.7 g (69.8 mmol),THF,4°C,15 hours,70.6%
volume95article10_3_1,"(S)-(-)-α,α-diphenyl-2-pyrrolidinemethanol trimethylsilyl ether, ethyl (2E)-4-oxo-2-butenoate, tert-butyl (tert-butyldimethylsilyl)oxycarbamate","19.0 g (58.6 mmol), 14.1 mL (117 mmol), 34.8 g (141 mmol)",(S)-Ethyl 2-((tert-butoxycarbonyl)((tert-butyldimethylsilyl)oxy)amino)-4-oxobutanoate,16.7 g,chloroform,4°C,12 hours,37.8%
volume95article11_1_1,"aldehyde 1, sodium borohydride","15.0 g (39.9 mmol), 3.02 g (79.8 mmol)","2-(tert-Butyl) 3-ethyl (S)-isoxazolidine-2,3-dicarboxylate",6.27 g,MeOH,"-20°C, 0°C","45 min, 35 min",83%
volume95article11_1_2,"Acetate (R)-3b, lithium aluminum hydride","9.0 g (36.27 mmol), 1.81 g (47.79 mmol)",(3R)-1-(Dimethylphenylsilyl)-1-buten-3-ol,6.27 g (30.42 mmol),Et2O,0°C,15 min,83%
volume95article11_1_3,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate","6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol)",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,22°C,64 hours,85%
volume95article11_1_4,"ethyl acetoacetate, hydroxyhydroquinone triacetate, sulfuric acid","60 g (0.45 mole), 114 g (0.45 mole), 450 cc",4-methylesculetin,80 g,sulfuric acid,80°C,30 minutes,92%
volume95article11_1_5,"3-chloro-2-buten-1-ol, sodium, ammonium chloride","134 g (1.26 moles), 65 g (2.8 g atoms), 148 g (2.8 moles)",2-butyn-1-ol,66-75 g,water,liquid ammonia,overnight,75-85%
volume95article11_1_6,"iso-amyl alcohol, hydrobromic acid, sulfuric acid","880 g (10 moles), 2.1 kg (12.5 moles), 100 g",iso-amyl bromide,1330-1360 g,hydrobromic acid,reflux,5-6 hours,88-90%
volume95article11_1_7,"Primary alcohol, aqueous hydrobromic acid, sulfuric acid",N/A,Corresponding alkyl bromide,N/A,water,Reflux,N/A,N/A
volume95article11_1_8,"p,α,α-tribromoacetophenone, sodium hydroxide, hydrochloric acid","89 g (0.25 mole), 50 g, N/A",p-Bromomandelic acid,40-48 g,water,10°C,4-5 days,69-83%
volume95article11_1_9,"ammonium p-chlorophenyldithiocarbamate, chloroacetic acid, sodium carbonate, zinc chloride","N/A, 28.4 g (0.30 mole), 18.6 g (0.15 mole), 20.5 g (0.15 mole)",p-chlorophenyl isothiocyanate,33-35 g,concentrated aqueous ammonia,room temperature,N/A,65-68%
volume95article11_1_10,"Magnesium, benzyl chloride, ethyl sec-butylidenecyanoacetate","19.2 g (0.79 g atom), 100 g (91 ml, 0.79 mol), 110 g (0.66 mole)",Ethyl 3-benzyl-2-cyano-3-methylpentanoate,157-162 g,ether,"Boiling, reflux","1.5-2.0 hours, 15 minutes, 30 minutes, 1 hour",92-95%
volume95article11_1_11,"sodium, ethanol, diethyl succinate","92 g (4 g atoms), 900 ml, 348.4 g (2 moles)","2,5-dicarbethoxy-1,4-cyclohexanedione",160-168 g,ethanol,reflux,24 hours,64-68%
volume95article11_2_1,"oil 4, aqueous 1 M LiOH, 2 M KHSO4","6.35 g (25.9 mmol), 103 mL (103 mmol), N/A",(S)-2-(tert-Butoxycarbonyl)isoxazolidine-3-carboxylic acid,5.53 g (25.4 mmol),"THF, chloroform","4°C, 24°C",1.5 hours,98%
volume95article12_1_1,"DMF, p-toluidine, sulfur, triethylamine, 2-chloroacetamide","250 mL, 30.3 g (280 mmol), 18.0 g (560 mmol), 120 mL (861 mmol), 31.5 g (340 mmol)",2-Thioxo-2-(p-tolylamino)acetamide,17.5 g (32%),N/A,23°C,12 hours,32%
volume95article12_2_1,"Compound (3), potassium ferricyanide","17.3 g (89 mmol), 141 g (429 mmol)",6-Methylbenzo[d]thiazole-2-carboxamide,10.3 g,"deionized water, 3 M NaOH, DMF","23°C, 30-40°C, 110-120°C","1 hour, 30 minutes, 15 hours",60%
volume95article12_3_1,"compound 4, phosphorous (V) oxychloride","6.0 g (31.2 mmol), 4.8 mL (51 mmol)",6-Methylbenzo[d]thiazole-2-carbonitrile,3.6 g,DMF,0°C to 23°C,1 hour,66%
volume95article13_1_1,"D-camphor, ethanol, hydroxylamine hydrochloride, sodium acetate","11.0 g (99.0 wt%), 36 mL, 7.83 g (112.7 mmol), 7.46 g (90.9 mmol)","1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one oxime",N/A,water,60°C,overnight,N/A
volume95article13_2_1,"oxime, acetic acid, aqueous sodium nitrite","2.0 g (11.98 mmol), 10 mL, 11 mL (15 wt%)","N-(1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ylidene)nitramide",2.1 g (87%),ethyl ether,24-27°C,16 hours,87%
volume95article14_1_1,"isopropenyl boronic acid pinacol ester, n-butyllithium, nonafluoro-1-iodobutane","3.76 mL (20.0 mmol), 13.8 mL (22.0 mmol), 5.2 mL (30 mmol)","4,4,5,5-Tetramethyl-2-(7,7,8,8,9,9,10,10,10-nonafluoro-5-methyldecan-5-yl)-1,3,2-dioxaborolane",7.76 g,"diethyl ether, acetonitrile","0°C, room temperature","30 min, 18 hours",87%
volume95article15_1_1,"bis(pinacolato)diboron, toluene, 1,8-diaminonaphthalene","6.35 g (25.0 mmol), 15 mL, 3.95 g (25.0 mmol)",(pin)B-B(dan),5.20 g,toluene,100°C,48 hours,71%
volume95article16_1_1,"p,α,α-tribromoacetophenone, sodium hydroxide","89 g (0.25 mole), 50 g",p-Bromomandelic acid,40-48 g,water,<10°C,4-5 days,69-83%
volume95article16_1_2,"methyl-capped alkynes, molecular sieves",N/A,Complex molecular architectures,N/A,N/A,N/A,N/A,High efficiency
volume95article17_1_1,"Benzyltriethylammonium chloride, sodium hydroxide, benzyl cyanide, 1,4-dibromobutane","569 mg (2.50 mmol), 25 mL, 11.5 mL (99.6 mmol), 14.3 mL (120 mmol)",1-Phenylcyclopentane-1-carbonitrile,14.0 g (81.9 mmol),water,65°C,24 hours,82%
volume95article17_2_1,"1-phenylcyclopentane-1-carbonitrile, sodium hydride, lithium iodide","8.02 g (46.8 mmol), 3.75 g (93.7 mmol), 6.27 g (46.8 mmol)",Cyclopentylbenzene,6.0 g (41.1 mmol),THF,"Reflux, 5 hours",N/A,88%
volume95article18_1_1,"methyltriphenylphosphonium bromide, anhydrous toluene, sodium bis(trimethylsilyl)amide, methyl 3-benzoylpropionate","25.51 g (70.0 mmol), 70 mL, 67.5 mL (67.5 mmol), 7.21 g (37.5 mmol)",4-phenyl-4-pentenoic acid,4.77 g,toluene,"-78°C, reflux",40 hours,72%
volume95article18_2_1,"alkenoic acid 2, ethyl 2-methylindole-3-carboxylate, N-bromosuccinimide","3.97 g (22.5 mmol), 46.2 mg (0.225 mmol), 4.81 g (27 mmol)",5-(Bromomethyl)-5-phenyldihydrofuran-2(3H)-one,5.01 g (87% yield),heptane,22°C,48 hours,87%
volume95article19_1_1,"alkynoate, arylboron reagent, CuOAc or Cu(OAc)2",N/A,3-arylacrylate,N/A,methanol,ambient temperature,N/A,N/A
volume95article20_1_1,"4-dimethylaminopyridine, p-toluenesulfonyl hydrazide, triethylamine, 1-Naphthoyl chloride","1.83 g (15.0 mmol), 14.0 g (75.0 mmol), 15.8 mL (113 mmol), 11.8 mL (78.8 mmol)",N-(1-Naphthoyl)-4-methylbenzenesulfonohydrazide,15.8 g,CH2Cl2,1.0-5°C,30 min,62%
volume95article20_2_1,"N-(1-naphthoyl)-4-methylbenzenesulfonohydrazide, N-trimethylsilylimidazole, imidazole","20.0 g (58.8 mmol), 15.5 mL, 7.21 g",1-Naphthaldehyde,8.40 g,toluene,55°C,4.5 hours,92%
volume95article22_1_1,"(±)-2,2,2-trichloro-1-phenylethan-1-ol, TEMPO, pyridinium tribromide","38.3 g (170 mmol), 2.66 g (17.0 mmol), 81.6 g (255 mmol)","2,2,2-Trichloro-1-phenylethan-1-one",28.5 g,"dichloromethane, saturated NaHCO3","0°C, 23°C",2 hours,75%
volume95article22_2_1,"1, (S)-(-)-2-Butyl-CBS-oxazaborolidine, catecholborane, water, EtOAc, 2 M NaOH solution, 1 M HCl solution, saturated NaCl solution","27.9 g (125 mmol), 6.25 mL (6.25 mmol), 190 mL (190 mmol), 230 mL, 230 mL, 140 mL, 5 x 180 mL, 3 x 140 mL, 140 mL","(R)-2,2,2-Trichloro-1-phenylethan-1-ol",28.0 g,"dry toluene, THF, EtOAc, NaOH solution, HCl solution, NaCl solution","-78°C, 0°C, room temperature","12 h, 16 h","99% yield, 94% ee"
volume95article22_3_1,"2,2,2-Trichloro-1-phenylethyl hydroxycarbamate, acetonitrile, 1,1'-Carbonyldiimidazole, hydroxylamine hydrochloride, imidazole","27.3 g (121 mmol), 300 mL, 21.6 g (133 mmol), 33.6 g (484 mmol), 24.7 g (363 mmol)","(R)-2,2,2-Trichloro-1-phenylethyl (methylsulfonyl)­oxycarbamate",29.5 g,acetonitrile,"23°C, 0-5°C","2 hours, 45 minutes",86%
volume95article22_4_1,"3, triethylamine, methanesulfonyl chloride","4.20 g (13.8 mmol), 1.67 mL (12.0 mmol), 933 µL (12.0 mmol)","(R)-2,2,2-Trichloro-1-phenylethyl (methylsulfonyl)oxycarbamate",2.87-3.27 g,dichloromethane,"0°C, 23°C",1 hour,66-75%
volume95article23_1_1,"(4-bromophenyl)boronic acid, bis(norbornadiene)rhodium(I) tetrafluoroborate, (R)-(+)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl, ethyl (E)-but-2-enoate","25.1 g (125 mmol), 467 mg (1.25 mmol), 780 mg (1.25 mmol), 18.6 mL (150 mmol)",(S)-Ethyl 3-(4-bromophenyl)butanoate,33.75 g,"1,4-dioxane",30°C,21 hours,>99%
volume95article24_1_1,"N,N-diisopropylamine, n-BuLi, tributyltin hydride, paraformaldehyde, methanesulfonyl chloride","10.6 mL, 47.8 mL, 18.5 mL, 2.30 g, 6.40 mL",Tributyl(chloromethyl)stannane,15.8 g,THF,"0-5°C, 25-27°C","3 hours, 10 hours",68%
volume95article24_2_1,"tributyl(chloromethyl)stannane, sodium iodide","10.5 g (30.9 mmol), 9.50 g (63.4 mmol)",Tributyl(iodomethyl)stannane,12.3 g,acetone,25-27°C,8 hours,92%
volume95article25_1_1,"Sodium hydride, pentane, anhydrous THF, N,N-Dimethylformamide, DL-alaninol, tributyl(iodomethyl)stannane, saturated NH4Cl","1.12 g (27.9 mmol), 7.5 mL, 135 mL, 30 mL, 2.00 mL (1.90 g, 25.3 mmol), 10.9 g (25.3 mmol), 25 mL",1-((Tributylstannyl)methoxy)propan-2-amine,7.5 g (78%),"ethyl acetate, water","0-5°C, 25-27°C","2 hours, 6 hours",78%
volume95article25_2_1,"1-((Tributylstannyl)methoxy)propan-2-amine, 2-chloro-4-fluorobenzaldehyde","6.5 g (17.2 mmol), 2.73 g (17.2 mmol)",(±)-cis-3-(2-Chloro-4-fluorophenyl)-5-methylmorpholine,2.55 g,acetonitrile,25°C,4 hours,65%
volume95article26_1_1,"Sodium hydroxide, [13C]Methanol, p-Toluenesulfonyl chloride, acetic acid","30.3 g (758 mmol), 5.00 g (151.5 mmol), 34.7 g (182 mmol), 33 mL (576 mmol)",[13C]Methyl-p-toluenesulfonate,27.1 g (96%),"water, tetrahydrofuran, ethyl acetate, sat. aq. Na2CO3, sat. aq. NaCl","0°C, 25°C",20 hours,96%
volume95article26_2_1,"n-Butyllithium, benzophenone imine, [13C]Methyl p-toluenesulfonate","68 mL (2.45 M in hexanes, 167 mmol), 29 mL (174 mmol), N/A",N-[13C]Methyl benzophenone imine,32 g,THF,-78°C to 23°C,45 min,N/A
volume95article26_3_1,"diisopropylamine, n-butyllithium, chlorotrimethylsilane, N-[13C]methyl benzophenone imine","30.3 mL, 88.1 mL, 29.2 mL, N/A",N-[13C]Methyl(trimethylsilyl)-benzophenone imine,~44 g,THF,"-78°C, -60°C","15 mins, 5 hours",N/A
volume95article26_5_1,"sodium nitrite, 2,2-diethyl-1,3-propanediol, hydrochloric acid","34.5 g, 26.4 g, 80 mL","2,2-Diethyl-1,3-propanedinitrite",32 g,water,0-4°C,30 min + 30 min,84%
volume95article26_6_1,"Trimethylsilyl[13C]-amine hydrochloride, diethyl ether, 2M aq NaOH, NaCl, 2-Me-THF, 3-nitrophenol, 2,2-diethyl-1,3-propanedinitrite","10 g, 30 mL, 40 mL, 15.4 g, 45 mL, 1 g, 20 mL",Trimethylsilyldiazo[13C]methane,50 mL,diethyl ether,46-48°C,8 hours,N/A
volume95article27_1_1,"Methyl 2-phenylacetate, methyl formate, THF, sodium tert-butoxide, p-Toluenesulfonyl chloride","10.54 g (70 mmol), 6.52 mL (105 mmol), 70 mL, 10.12 g (105 mmol), 20.03 g (105 mmol)",Methyl (Z)-2-phenyl-3-(tosyloxy)acrylate [(Z)-1)],18.76 g,THF,0-5°C,1 hour,80%
volume95article27_2_1,"methyl (Z)-2-phenyl-3-(tosyloxy)acrylate, tris(2,4-pentanedionato)iron(III), TMEDA, MeMgBr","13.30 g (40 mmol), 706 mg (2 mmol), 6.0 mL (40 mmol), 60.0 mL (60 mmol)",methyl (Z)-2-phenyl-2-butenoate,6.01 g,ethyl acetate,20-25°C,1 hour,85%
volume95article28_1_1,"methyl 1-cyclopentene-1-carboxylate, tert-butylhydroperoxide, manganese(III) acetate dihydrate","7.0 g (55 mmol), 41 mL (221 mmol), 1.487 g (5.5 mmol)",Methyl 3-oxocyclopent-1-ene-1-carboxylate,3.0 g,ethyl acetate,23°C,48 hours,40%
volume95article28_2_1,"methyl 3-oxocyclopent-1-enecarboxylate, bromine, triethylamine","3.0 g (21.4 mmol), 1.62 mL (32.1 mmol), 5.98 mL (42.8 mmol)",Methyl 2-bromo-3-oxocyclopent-1-ene-1-carboxylate,3.0 g,dichloromethane,"0°C, 23°C","1 hour, 8 hours",64%
volume95article29_1_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
volume95article30_1_1,"(S,R)-Noscapine, nitric acid, KOH","20 g (48.4 mmol), 150 mL, 140 mL",Cotarnine,9.85 g,H2O,"25°C, 50°C",1.5 hours,87%
volume95article30_2_1,"cotarnine, acetophenone","4.74 g (20 mmol), 2.48 mL (2.4 g, 20 mmol)","2-(4-Methoxy-6-methyl-5,6,7,8-tetrahydro-[1,3] dioxolo[4,5-g]iso quinol in-5-yl)-1-phenylethan-1-one",5.85 g (86%),methanol,25°C,25 min,86%
volume95article31_1_1,"activated zinc powder, lithium chloride, geranyl bromide, benzoyl chloride","14.09 g (215 mmol), 5.11 g (121 mmol), 21.4 mL (108 mmol), 10.0 mL (86 mmol)","2,6-Dimethyl-1-phenyl-2-vinylhept-5-en-1-one",18.44 g,THF,"23°C, 0-5°C","1.5 hours, 30 minutes",89%
volume95article31_2_1,"iron(III) chloride, aryl ketone 2","502 mg (3.1 mmol), 15.00 g (61.9 mmol)",(5-Methyl-5-vinylcyclopent-1-en-1-yl)benzene,10.45 g,CH2Cl2,23°C,2.5 hours,93%
volume95article32_1_1,"4-(3,4-dimethoxyphenyl)butanoic acid, DCM, DMF, Oxalyl chloride","7.25 g (32.3 mmol), 40 mL, 50 µL, 5.5 mL","4-(3,4-Dimethoxyphenyl)butanoyl chloride",8.35 g,DCM,23°C,30 min,N/A
volume95article32_2_1,"acid chloride (2), hexafluoroisopropanol","N/A, 17 mL (162 mmol)","6,7-Dimethoxy-3,4-dihydronaphthalen-1(2H)-one",5.23 g,"dichloroethane, DCM, hexanes, EtOAc, isopropanol",23°C,"2 hours, overnight",78%
volume95article33_1_1,"prochiral alkenes containing allylic leaving groups, nucleophilic heteroatom species, COP catalysts",N/A,enantioselective nucleopalladation/deoxypalladation rearrangement and allylic substitution products,N/A,N/A,N/A,N/A,N/A
volume99article16_1_1,"p,α,α-tribromoacetophenone, water, sodium hydroxide, hydrochloric acid","89 g (0.25 mole), N/A, 50 g, N/A",p-Bromomandelic acid,40-48 g,water,<10°C,4-5 days,69-83%
volume99article16_1_2,"ketone substrate, lithium hexamethyldisilazide, trifluoroethyl trifluoroacetate, sulfonyl azide","N/A, N/A, 1.2 equiv, 1.0 equiv",α-diazo ketone,Good to excellent yield,"THF, acetonitrile","-78°C, room temperature",N/A,N/A
volume99article16_1_3,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate","6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol)",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,0°C,15 min,85%
volume99article16_1_4,"ethyl acetoacetate, hydroxyhydroquinone triacetate, sulfuric acid","60 g (0.45 mole), 114 g (0.45 mole), 450 cc",4-methylesculetin,80 g,sulfuric acid,80°C,30 minutes,92%
volume99article16_1_5,"iso-amyl alcohol, hydrobromic acid, sulfuric acid","880 g (10 moles), 2.1 kg (12.5 moles), 100 g",iso-amyl bromide,1330-1360 g,hydrobromic acid,reflux,5-6 hours,88-90%
volume99article16_1_6,"3-chloro-2-buten-1-ol, sodium, ammonium chloride","134 g (1.26 moles), 65 g (2.8 g atoms), 148 g (2.8 moles)",2-butyn-1-ol,66-75 g,water,liquid ammonia,overnight,75-85%
volume99article16_1_7,"Primary alcohol, aqueous hydrobromic acid, sulfuric acid",N/A,Corresponding alkyl bromide,N/A,water,Reflux,N/A,N/A
volume99article16_1_8,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume99article16_1_9,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume99article16_1_10,"Primary alcohol, aqueous hydrobromic acid, sulfuric acid",N/A,Corresponding alkyl bromide,N/A,water,Reflux,N/A,N/A
volume25article34_1_1,"cinnamic aldehyde, bromine, anhydrous potassium carbonate","44 g (0.33 mole), 17.1 ml (53.5 g, 0.33 mole), 23 g (0.17 mole)",α-Bromocinnamic aldehyde,52-60 g,"acetic acid, water, ethanol",reflux,30 minutes,75-85%
volume25article34_2_1,"α-bromocinnamic aldehyde, ethyl orthoformate, ammonium chloride","45 g (0.21 mole), 50 ml (0.3 mole), 0.5 g",α-Bromocinnamic aldehyde acetal,50-52 g,ethanol,reflux,30 minutes,82-86%
volume25article34_3_1,"α-bromocinnamic aldehyde acetal, potassium hydroxide","50 g (0.18 mole), 20.7 g (0.25 mole)",Phenylpropargyl aldehyde acetal,28-31 g,ethanol,reflux,1.5 hours,80-86%
volume25article34_4_1,Acetal,29 g (0.14 mole),Phenylpropargyl aldehyde,13-15 g,water,Steam bath,30 minutes,70-81%
volume35article33_1_1,"benzylamine, ethyl chlorocarbonate, sodium hydroxide","1 kg (9.33 moles), 525 g (4.83 moles), 400 g (10 moles)",Ethyl N-benzylcarbamate,1.6 kg,ice water,10-15°C,"1.0-1.5 hours, 2.5-3.0 hours",96%
volume35article33_2_1,"ethyl N-benzylcarbamate, sodium nitrite, nitric acid, water","360 g (2.0 moles), 1.2 kg (17.4 moles), 1 l, 2 l",Ethyl N-nitroso-N-benzylcarbamate,400-415 g,ether,20-30°C,"5 hours, 30 minutes",95-99%
volume35article33_3_1,"cyclohexanone, potassium carbonate, ethyl N-nitroso-N-benzylcarbamate","392 g (4.0 moles), 30 g, 415 g (2.0 moles)",2-Phenylcycloheptanone,155-177 g,methanol,25°C,24-28 hours,41-47%
volume45article29_1_1,"N-phenylglycine, sodium nitrite","100 g (0.66 mole), 50 g (0.72 mole)",N-Nitroso-N-phenylglycine,96-99 g,water,Below 0°C,40 minutes,80-83%
volume45article29_2_1,"N-nitroso-N-phenylglycine, acetic anhydride","99 g (0.55 mole), 500 ml",3-Phenylsydnone,74-75 g,acetic anhydride,Boiling water bath,1.5 hours,83-84%
