Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume56article4_2_1,"ethyl 4-amino-3-(methylthiomethyl)benzoate, W-2 Raney nickel","11.25 g (0.05000 mole), 17 teaspoons",Ethyl 4-Amino-3-methylbenzoate,7.0-7.6 g,"absolute ethanol, dichloromethane",25°C,1 hour,77-84%
volume56article5_1_1,"isoquinoline, potassium cyanide, benzoyl chloride","64.6 g (0.499 mole), 97.7 g (1.50 moles), 126.5 g (121 ml, 0.900 mole)","2-benzoyl-1,2-dihydroisoquinaldonitrile",89.9 g,"dichloromethane, water",38°C,3 hours,69%
volume56article5_2_1,"2-benzoyl-1,2-dihydroisoquinaldonitrile, benzyl chloride, sodium hydride","65.0 g (0.250 mole), 32 g (29 ml, 0.25 mole), 11.4 g",1-Benzylisoquinoline,49.8 g,"N,N-dimethylformamide, toluene, water, ethanol, 2 N hydrochloric acid, chloroform-hexane","-10°C, room temperature, reflux","1 hour, overnight, 2 hours",91%
volume56article6_1_1,"β-pinene, selenium dioxide, hydrogen peroxide","68 g (0.50 mole), 0.74 g (0.0067 mole), 35 ml (0.62 mole)",trans-Pinocarveol,37-42 g,tert-butyl alcohol,40-50°C,2 hours,49-55%
volume56article7_1_1,"ferrocene, 2-chlorobenzoyl chloride, aluminum chloride","18.6 g (0.100 mole), 17.5 g (0.100 mole), 14.0 g (0.105 mole)",(2-chlorobenzoyl)ferrocene,30.4-30.9 g,dichloromethane,"Below 5°C, room temperature","30 minutes (with ice cooling), 2 hours",94-96%
volume56article7_2_1,"(2-chlorobenzoyl)ferrocene, potassium tert-butoxide, water",N/A,Ferrocenecarboxylic acid,17.0-19.2 g,"1,2-dimethoxyethane",Reflux,1 hour,74-83%
volume56article8_1_1,"1,1-diphenylethylene, potassium tert-butoxide, bromoform","25.0 g (0.139 mole), 28 g (0.25 mole), 66.0 g (0.261 mole)","1,1-dibromo-2,2-diphenylcyclopropane",31-38 g,pentane,"0°C, room temperature",2-3 hours,63-78%
volume56article8_2_1,"1,1-dibromo-2,2-diphenylcyclopropane, silver acetate","17.6 g (0.0500 mole), 12.5 g (0.0748 mole)","2-Bromo-3,3-diphenyl-2-propen-1-yl acetate",12.0 g,glacial acetic acid,100-120°C,24 hours,72%
volume56article9_1_1,"1-nitropropane, diisopropylamine, methyl vinyl ketone","36.0 g (35.7 ml, 0.414 mole), 14.4 g (20.0 ml, 0.142 mole), 28 g (0.40 mole)",5-nitroheptan-2-one,39.1 g,chloroform,60°C,16 hours,61%
volume56article9_2_1,"5-nitroheptan-2-one, sodium methoxide, dimethyl sulfide","38.6 g (0.243 mole), 5.67 g (0.247 g-atom), 21 g (0.34 mole)","2,5-heptanedione",22.7 g,"methanol, diethyl ether, chloroform","0°C, ambient temperature","5 hours, overnight (18 hours), 45 minutes",73%
volume56article10_1_1,"chlorosulfonyl isocyanate, methanol","70.8 g (43.6 ml, 0.580 mole), 16.0 g (20.2 ml, 0.500 mole)",methyl (chlorosulfonyl)carbamate,76-80 g,benzene,25-30°C,0.5 hour,88-92%
volume56article10_2_1,"anhydrous triethylamine, methyl (chlorosulfonyl)carbamate","23.0 g (31.8 ml, 0.225 mole), 17.4 g (0.100 mole)",Inner salt of methyl (carboxysulfamoyl)triethylammonium hydroxide,20.0-20.6 g,"benzene, tetrahydrofuran","10-15°C, 25-30°C","1 hour, 0.5 hour",84-86%
volume56article10_3_1,"inner salt of methyl (carboxysulfamoyl)triethylammonium hydroxide, 1-hexanol","14.8 g (0.0622 mole), 6.0 g (0.058 mole)",Methyl n-hexylcarbamate,4.8-4.9 g,dichloromethane,95°C,1 hour,51-52%
volume56article11_1_1,"p-toluenesulfonic acid monohydrate, ethylene glycol, 4-ethoxy-3-methoxybenzaldehyde","300 mg (0.00158 mole), 33 g (30 ml, 0.53 mole), 5.0 g (0.028 mole)",4-Ethoxy-3-methoxybenzaldehyde ethylene acetal,5.8 g,benzene,reflux,20 hours,94%
volume56article11_2_1,"4-ethoxy-3-methoxybenzaldehyde ethylene acetal, tetrahydrofuran, diphenylphosphine, n-butyllithium–hexane solution, 10% aqueous sodium hydroxide, concentrated hydrochloric acid","5.0 g (0.022 mole), 30 ml, 5.0 ml (0.029 mole), 15 ml (0.032 mole), 10 ml, N/A",4-Ethoxy-3-hydroxybenzaldehyde,3.21-3.29 g,"water, diethyl ether, benzene",Room temperature,2 hours,87-88%
volume56article12_1_1,"vinylacetic acid, paraformaldehyde, concentrated sulfuric acid, glacial acetic acid","43 g (0.50 mole), 30 g (1 mole as CH2O), 3 ml, 125 ml","5,6-dihydro-2H-pyran-2-one",12.3 g,glacial acetic acid,reflux,3 hours,25.1%
volume56article12_2_1,"5,6-dihydro-2H-pyran-2-one, benzoyl peroxide, N-bromosuccinimide","9.81 g (0.100 mole), 200 mg, 18.6 g (0.105 mole)",2H-Pyran-2-one,6.7 g (70%),carbon tetrachloride,reflux,1.5 hours,70%
volume56article13_1_1,"3-methyl-2-cyclohexen-1-one, water, lithium, allyl bromide, ammonium chloride","20.0 g (0.182 mole), 3.27 g (0.182 mole), 2.77 g (0.400 g-atom), 65 g (0.54 mole), 30 g",2-allyl-3-methylcyclohexanone,12.3-13.6 g,anhydrous diethyl ether,N/A,N/A,45-49%
volume56article14_1_1,"triethyloxonium tetrafluoroborate, dichloromethane, 4-acetoxybenzoic acid, diisopropylethylamine","2.09 g (0.0110 mole), 75 ml, 1.80 g (0.0100 mole), 1.4 g (1.9 ml, 0.011 mole)",Ethyl 4-acetoxybenzoate,1.77-1.98 g,dichloromethane,room temperature,16-24 hours,85-95%
volume56article14_2_1,"trimethyloxonium tetrafluoborate, 4-acetoxybenzoic acid, diisopropylethylamine","1.63 g (0.0110 mole), 1.80 g (0.0100 mole), 1.4 g (1.9 ml, 0.011 mole)",Methyl 4-acetoxybenzoate,1.65-1.84 g,dichloromethane,Room temperature,16-24 hours,85-95%
volume56article15_1_1,"methyl acrylate, diethyl ether, iodine, dinitrogen tetroxide","298.4 g (331 ml, 3.47 moles), 2500 ml, 250 g (0.98 mole), 76.6 ml (1.24 moles)","methyl 2-iodo-3-nitropropionate, methyl (E)-3-nitroacrylate",396-401 g,anhydrous diethyl ether,0°C,30 hours,78-79%
volume56article15_2_1,"diethyl ether, anhydrous sodium acetate, methyl 2-iodo-3-nitropropionate","2800 ml, 95 g, 150 g",Methyl (E)-3-nitroacrylate,67-69 g,diethyl ether,0°C,40 hours,88-91%
volume56article16_1_1,"phenoxyacetic acid, 1,4-benzoquinone, silver nitrate, ammonium peroxydisulfate","7.60 g (0.0500 mole), 5.40 g (0.0500 mole), 1 g (0.006 mole), 13.7 g (0.0601 mole)","2-phenoxymethyl-1,4-benzoquinone",6.6-7.4 g,water,60-65°C,60 minutes,61-69%
volume56article17_1_1,"sodium methoxide, methanethiol, chloroacetone","108 g (2.00 moles), 130 ml (2.20 moles), 185 g (2.00 moles)",methylthio-2-propanone,155-158 g,methanol,room temperature,overnight,74-76%
volume56article17_2_1,"Ethyl 4-aminobenzoate, tert-butyl hypochlorite, methylthio-2-propanone, triethylamine","16.5 g (0.100 mole), 10.8 g (0.0995 mole), 10.4 g (0.100 mole), 10.1 g (0.100 mole)",Ethyl 2-methyl-3-methylthioindole-5-carboxylate,12.8-17.5 g,dichloromethane,-70°C to room temperature,1 hour,51-70%
volume56article17_3_1,"ethyl 2-methyl-3-methylthioindole-5-carboxylate, W-2 Raney nickel","10.0 g (0.0402 mole), excess",Ethyl 2-methylindole-5-carboxylate,7.5-8.1 g,absolute ethanol,N/A,1 hour,93-99%
volume56article18_1_1,"2-mercapto-2-thiazoline, allyl bromide, triethylamine","11.9 g (0.100 mole), 12.1 g (8.74 ml, 0.100 mole), 10.1 g (13.9 ml, 0.100 mole)","4,5-dihydro-2-(2-propenylthio)thiazole",10.9-11.1 g,tetrahydrofuran,reflux,4 hours,69-70%
volume56article18_2_1,"Thiazole, n-butyllithium, benzyl bromide","2.0 g (0.012 mole), 6.0 ml (0.013 mole), 2.15 g (0.0125 mole)","4,5-Dihydro-2-[(1-phenylmethyl-2-propenyl)thio]thiazole",1.2-1.5 g,tetrahydrofuran,"-55°C to -60°C, 0°C","20 minutes, 50 minutes",40-47%
volume56article18_3_1,"Thiazole, methyl iodide, N,N-dimethylformamide","2.0 g (0.008 mole), 5 ml, 2 ml",(E)-1-iodo-4-phenyl-2-butene,1.5-1.7 g,ether,75-80°C,2.5 hours,74-82%
volume56article19_1_1,"biphenyl-2-carboxylic acid, trichlorosilane, acetonitrile, tri-n-propylamine","19.8 g (0.100 mole), 80 g (60 ml, 0.59 mole), 80 ml, 37.8 g (0.264 mole)",2-methylbiphenyl,12.5-13.4 g,acetonitrile,reflux (40-45°C),"16 hours (reflux), 19 hours (heating under reflux)",74-80%
volume56article20_1_1,"N-ethyl-5-phenylisoxazolium-3'-sulfonate, nitromethane, carbobenzyloxy-L-asparagine, triethylamine, L-leucine methyl ester hydrochloride","2.024 g (0.00800 mole), 20 ml, 2.128 g (0.00800 mole), 810 mg (0.00802 mole), 1.452 g (0.00800 mole)",Carbobenzyloxy-L-asparaginyl-L-leucine methyl ester,2.09-2.21 g,nitromethane,Room temperature,Overnight,66-70%
volume56article20_2_1,"N-ethyl-5-phenylisoxazolium-3'-sulfonate, N-carbobenzyloxy-3-hydroxy-L-proline, triethylamine, glycylglycine ethyl ester hydrochloride","760 mg (0.00300 mole), 796 mg (0.00300 mole), 304 mg (0.00301 mole), 590 mg (0.00300 mole)",N-Carbobenzyloxy-3-hydroxy-L-prolylglycylglycine ethyl ester,958-980 mg,acetonitrile,"0-5°C, room temperature","1-1.5 hours, overnight",78-80%
volume56article21_1_1,"N,N-dimethylformamide, chloromethylated polystyrene beads, potassium phthalimide, aqueous hydrazine monohydrate","125 ml, 10.0 g (0.0106 mole), 2.95 g (0.0159 mole), 0.94 g (0.016 mole)",Polymeric benzylamine,10.38 g,N/A,"100°C, reflux","Overnight, 10 hours",N/A
volume56article21_2_1,"Benzylamine polymer beads, 2-isocyanatopropane","10.0 g, 1.35 g (0.0159 mole)",Polymeric urea,9.09 g,tetrahydrofuran,"Room temperature, reflux","22 hours, 4 hours",N/A
volume56article21_3_1,"Polymeric urea, triethylamine, p-toluenesulfonyl chloride","9.09 g, 5.76 g (0.0570 mole), 2.75 g (0.0145 mole)",Polymeric carbodiimide,8.61 g,dichloromethane,Reflux,50 hours,N/A
volume56article22_1_1,"cis- and trans-4-tert-butylcyclohexanols, carbodiimide resin, anhydrous orthophosphoric acid","540 mg (0.00346 mole), 13.19 g, 98 mg (0.0010 mole)",4-tert-butylcyclohexanone,446-450 mg,"benzene, dimethyl sulfoxide",room temperature,3.5 days,83-84%
volume56article23_1_1,3-methyl-2-cyclohexen-1-one,33.6 g (0.305 mole),3-methyl-2-cyclohexen-1-ol,33.7 g,diethyl ether,0°C,15 minutes,98%
volume56article23_2_1,"Zinc powder, hydrochloric acid, mercury(II) chloride","206 g (3.15 moles), 250 ml, 40 g (0.15 mole)",Amalgamated zinc,196 g,"distilled water, 95% ethanol, anhydrous ether",N/A,N/A,N/A
volume56article23_3_1,"3-methyl-2-cyclohexen-1-ol, amalgamated zinc powder, hydrogen chloride","22.4 g (0.200 mole), 196 g (3 moles), 153 ml (0.40 mole)",3-Methylcyclohexene,13.2-14.4 g,ether,-15°C,"5 minutes (addition), 15 minutes (stirring)",68-75%
volume56article24_1_1,"cyclododecanone, bromine","182 g (1.00 mole), 320 g (2.00 moles)","2,12-Dibromocyclododecanone",N/A,"benzene, diethyl ether",20-25°C,20-30 minutes,N/A
volume56article24_2_1,"2,12-dibromocyclododecanone, sodium methoxide",N/A,Methyl 1-cycloundecenecarboxylate,191-196 g,benzene,25-30°C,20 minutes,91-93%
volume56article24_3_1,"Concentrated sulfuric acid, methyl 1-cycloundecenecarboxylate, sodium azide","600 ml, 191-196 g (0.91-0.92 mole), 78 g (1.2 moles)",Cycloundecanone,139-143 g,"chloroform, water",35-40°C,"30-50 minutes, 10-15 minutes",83-85%
volume56article25_1_1,"farnesol, pyridine, acetic anhydride","25 g (0.11 mole), 40 ml, 40 ml",Farnesyl acetate,28-29 g,N/A,N/A,6 hours,94-98%
volume56article25_2_1,"Farnesyl acetate, tert-butyl alcohol, water, N-bromosuccinimide","29 g (0.11 mole), 1 L, 1200 mL, 21.4 g (0.120 mole)","10-Bromo-11-hydroxy-10,11-dihydrofarnesyl acetate",Up to 26 g,"tert-butyl alcohol, diethyl ether",12°C,1 hour,65%
volume56article25_3_1,"bromohydrin acetate, potassium carbonate",N/A,"10,11-Epoxyfarnesyl acetate",N/A,methanol,N/A,12 hours,60%
volume56article26_1_1,"piperidine, glacial acetic acid, calcium hypochlorite","170 g (2.00 moles), 120 g (2.00 moles), 2.2 moles",N-Chloropiperidine,N/A,diethyl ether,0°C to -5°C,1.25 hours,N/A
volume56article26_2_1,"N-chloropiperidine, potassium hydroxide, absolute ethanol",N/A,"2,3,4,5-Tetrahydropyridine trimer",64-80 g,absolute ethanol,"Reflux, room temperature","2.5 hours, 24 hours",39-48%
volume56article27_1_1,"Aniline, 1,1,1-trichloro-3,3,3-trifluoroacetone","4.66 g (4.56 ml, 0.0501 mole), 21.5 g (0.0998 mole)",N-Trifluoroacetanilide,6.49-6.53 g,dimethyl sulfoxide,10-15°C,22 hours,69%
volume56article27_2_1,"L-(−)-tyrosine, 1,1,1-trichloro-3,3,3-trifluoroacetone","18.12 g (0.1001 mole), 64.62 g (0.2999 mole)",N-Trifluoroacetyl-L-tyrosine,20.0-22.2 g,dimethyl sulfoxide,10-35°C,22 hours,72-80%
volume57article1_1_1,"diethyl succinate, chlorotrimethylsilane, sodium, potassium","17.4 g (0.100 mole), 45-50 g (~0.4 mole), 9.6-9.8 g (~0.4 g.-atom), N/A","1,2-Bis(trimethylsilyloxy)cyclobutene",18 g,dry solvent,reflux,5 hours,78%
volume57article1_1_2,"diethyl succinate, chlorotrimethylsilane, sodium, potassium","17.4 g (0.100 mole), 44 g (0.41 mole), 4.8-5.0 g (~0.2 g.-atom), 8.0-8.2 g (~0.2 g.-atom)","1,2-Bis(trimethylsilyloxy)cyclobutene",13.8-16.1 g,anhydrous ether,reflux,4-6 hours,60-70%
volume57article1_2_1,"1,2-bis(trimethylsilyloxy)cyclobutene",23 g (0.10 mole),2-Hydroxycyclobutanone,6.1-7.4 g,methanol,N/A,24-30 hours,71-86%
volume57article2_1_1,"adamantanone, p-tolylsulfonylmethyl isocyanide, absolute ethanol, potassium tert-butoxide","15.0 g (0.100 mole), 25.4 g (0.130 mole), 10 ml (0.17 mole), 28 g (0.25 mole)",2-adamantanecarbonitrile,13.5-14.5 g,"1,2-dimethoxyethane","5-10°C, 35-40°C","30 minutes, 30 minutes",84-90%
volume57article3_1_1,Cyclohexene,82 g (1.0 mole),Cyclohexanecarboxaldehyde,92-94 g,Benzene,100°C,2 hours,82-84%
volume57article4_1_1,"tricarbonyl[(1,2,3,4,5-η)-2,4-cyclohexadien-1-yl]iron(1+) hexafluorophosphate(1−), dimedone","5 g (0.013 mole), 2.5 g (0.018 mole)","tricarbonyl[2-[(2,3,4,5-η)-4-methoxy-2,4-cyclohexadien-1-yl]-5,5-dimethyl-1,3-cyclohexanedione]iron",3.7 g,"water, ethanol",reflux,15 minutes,87%
volume57article5_1_1,"tellurium tetrachloride, anisole","27.0 g (0.100 mole), 64.8 g (0.600 mole)",Bis(4-methoxyphenyl)tellurium dichloride,35.5-38.5 g,acetonitrile,160°C,6 hours,84-90%
volume57article5_2_1,"bis(4-methoxyphenyl)tellurium dichloride, Raney nickel","20.6 g (0.0497 mole), 60 g","4,4'-Dimethoxy-1,1'-biphenyl",8.5-9.8 g,"benzene, bis(2-methoxyethyl) ether",reflux,8 hours,78-90%
volume57article6_1_1,"potassium hydroxide, 1,1,1,3,3,3-hexafluoro-2-phenyl-2-propanol","25.4 g (0.390 mole), 100.0 g (0.4098 mole)","potassium 1,1,1,3,3,3-hexafluoro-2-phenyl-2-propanolate",107-109 g,water,N/A,N/A,97-99%
volume57article6_2_1,"potassium alkoxide, diphenyl sulfide, bromine","N/A, 34.7 g (31.0 ml, 0.186 mole), 29.9 g (9.6 ml, 0.186 mole)","Bis[2,2,2-trifluoro-1-phenyl-1-(trifluoromethyl)ethoxy] diphenyl sulfurane",76-79 g,carbon tetrachloride,Room temperature,2.5 hours,61-64%
volume57article7_1_1,"Sodium, ammonia, propyne, 1-bromo-3-chloropropane","20.2 g (0.878 g-atom), 650 ml, 35.3 g (50.0 ml, 0.882 mole), 153.5 g (0.975 mole)",6-chloro-2-hexyne,49.4-56.0 g,diethyl ether,-73°C,30 minutes,29-31%
volume57article7_2_1,"6-chloro-2-hexyne, trifluoroacetic acid","0.16 mole, 200 ml",4-Chloro-4-hexenyl trifluoroacetate,16.0-16.4 g,trifluoroacetic acid,reflux,3 hours,50-52%
volume57article8_1_1,"triethylene glycol, 60% potassium hydroxide solution, 1,2-bis(2-chloroethoxy)ethane","112.5 g (100.0 ml, 0.7492 mole), 109 g (1.65 moles), 140.3 g (0.7503 mole)",18-crown-6,76-87 g,"tetrahydrofuran, dichloromethane",reflux,18-24 hours,38-44%
volume57article9_1_1,"Copper(I) chloride, 1,2-benzenediamine","9.9 g (0.10 mole), 27 g (0.25 mole)","(Z,Z)-2,4-hexadienedinitrile",19-20 g,pyridine,N/A,2 hours,73-77%
volume57article10_1_1,"sodium amide, tert-butyl alcohol, 3-chloro-2-methyl-1-propene","450 g (11.5 moles), 283.5 g (3.831 moles), 228 g (2.52 moles)",Methylenecyclopropane,58 g,tetrahydrofuran,"Room temperature, 45°C, 65°C","3 hours, 8 hours, 3 hours",43%
volume57article10_2_1,"4-nitroperbenzoic acid, methylenecyclopropane","200 g (1.09 moles), 58 g (1.1 moles)",Oxaspiropentane,N/A,dichloromethane,-50°C to 20°C,overnight,N/A
volume57article10_3_1,"Oxaspiropentane, lithium iodide",N/A,Cyclobutanone,41 g (64% from methylenecyclopropane),dichloromethane,Room temperature,N/A,95%
volume57article11_1_1,"2,3-dichloro-1-propene, N-bromosuccinimide, methanol, concentrated sulfuric acid","111 g (1.00 mole), 178 g (1.00 mole), 300 ml, N/A","1-Bromo-3-chloro-2,2-dimethoxypropane",89-99 g,methanol,Room temperature,1 hour,41-45%
volume57article11_2_1,"1-bromo-3-chloro-2,2-dimethoxypropane, potassium metal, iron(III) chloride, ammonium chloride","21.7 g (0.100 mole), 11.7 g (0.300 g-atom total), 0.05 g, 10.8 g (0.20 mole)","3,3-Dimethoxycyclopropene",4.0-6.5 g,"ammonia, diethyl ether",-50°C to -60°C,3 hours,40-65%
volume57article11_3_1,"3,3-dimethoxycyclopropene",3.0 g (0.030 mole),Cyclopropenone,1.42-1.53 g,"dichloromethane, water, concentrated sulfuric acid",0°C,3 hours,88-94%
volume57article12_1_1,"alcohol-free potassium tert-butoxide, anhydrous tetrahydrofuran, anhydrous benzene, phosgene","44.8 g (0.400 mole), 550 ml, 85 ml, 24 g (0.24 mole)",di-tert-butyl tricarbonate,31.2-32.8 g,"carbon dioxide, phosgene",-5°C to -20°C,1 hour,59-62%
volume57article12_2_1,"di-tert-butyl tricarbonate, 1,4-diazabicyclo[2.2.2]octane","20.0 g (0.0763 mole), 0.10 g (0.89 mmole)",Di-tert-butyl dicarbonate,13.3-15.1 g,carbon tetrachloride,25°C,45 minutes,80-91%
volume57article13_1_1,"trichlorofluoromethane, sulfur tetrafluoride, N,N-diethylaminotrimethylsilane","300 ml, 119 g (1.10 moles), 145 g (1.00 mole)",diethylaminosulfur trifluoride,131 g,trichlorofluoromethane,-70°C to room temperature,40 minutes,81%
volume57article14_1_1,"cis-1,2-cyclohexanedicarboxylic anhydride, lithium aluminum hydride","50.0 g (0.325 mole), 14.8 g (0.389 mole)","cis-1,2-cyclohexanedimethanol",46.0-46.5 g,tetrahydrofuran,reflux,3 hours,98-100%
volume57article14_2_1,"methanesulfonyl chloride, cis-1,2-cyclohexanedimethanol","111 g (0.969 mole), 46.4 g (0.322 mole)","cis-1,2-Cyclohexanedimethanol dimethanesulfonate",93-95 g,pyridine,-5°C to 0°C,2 hours,96-98%
volume57article14_3_1,"recrystallized sodium sulfide nonahydrate, dimethyl sulfoxide, cis-1,2-cyclohexanedimethanol dimethanesulfonate","240 g (1.00 mole), 2 l, 95 g (0.32 mole)",cis-8-Thiabicyclo[4.3.0]nonane,30.8-31.6 g,dimethyl sulfoxide,120°C,18 hours,68.0-70.5%
volume57article14_4_1,sulfide,43.0 g (0.303 mole),"cis-8-Thiabicyclo[4.3.0]nonane 8,8-dioxide",48.5-50 g,ether,0°C,overnight,92-95%
volume57article14_5_1,"cis-8-thiabicyclo[4.3.0]nonane 8,8-dioxide, n-butyllithium, methyl iodide","49.0 g (0.281 mole), 225 ml (0.562 mole), 142 g (1.00 mole)","7,9-Dimethyl-cis-8-thiabicyclo[4.3.0]nonane 8,8-dioxide",49.5-51 g,tetrahydrofuran,Room temperature,5-10 minutes,87-89.5%
volume57article14_6_1,"sulfone from Part E, n-butyllithium, lithium aluminum hydride","50.5 g (0.250 mole), 150 ml (0.375 mole), 32.0 g (0.843 mole)","cis-7,8-Dimethylbicyclo[4.2.0]oct-7-ene",10.0-12.5 g,"dioxane, hexane",reflux,20 hours,29.5-37%
volume57article15_1_1,"Methyl bromoacetate, N,N-dimethylacetamide, methyl nitroacetate, sodium methoxide","28.2 g (0.184 mole), 500 ml, 20.0 g (0.168 mole), 146 ml (0.168 mole)",Dimethyl nitrosuccinate,7.2-8.5 g,benzene,Room temperature,16 hours,23-27%
volume57article16_1_1,"diethyl acetone-1,3-dicarboxylate, phosphorus pentachloride","60.0 g (0.297 mole), 65.0 g (0.313 mole)",Dimethyl 3-chloro-2-pentenedioate,33.5-34.4 g,"dichloromethane, methanol","40°C, reflux","30 minutes, 18 hours",59-60%
volume57article16_2_1,"Diester from Part A, tetrahydrofuran, triethylamine","27.0 g (0.145 mole), 100 ml, 22 ml (0.16 mole)","Dimethyl 2,3-pentadienedioate",13.3-13.9 g,anhydrous diethyl ether,0-5°C,18 hours,61-64%
volume57article17_1_1,"Sodium, ammonia, hydrated iron(III) nitrate, chloroacetaldehyde diethyl acetal, ethyl bromide","36.0 g (1.56 g-atom), 600 ml, 0.5 g, 76.1 g (0.499 mole), 120 g (1.10 mole)",1-ethoxy-1-butyne,30.2-32.3 g,pentane,N/A,2.5 hours,62-66%
volume57article18_1_1,"10-methyl-Δ1(9)-2-octalone, N,N-dimethylhydrazine, p-toluenesulfonic acid","7.4 g (0.045 mole), 9.0 g (0.15 mole), 0.02 g","10-Methyl-Δ1(9)-2-octalone N,N-dimethylhydrazone",8.1 g,benzene,reflux,10-14 hours,87%
volume57article18_2_1,"10-methyl-Δ1(9)-2-octalone N,N-dimethylhydrazone, sodium hydride dispersion, 1-bromobutane","6.12 g (0.0297 mole), 1.4 g (0.032-0.035 mole), 4.5 g (0.033 mole)",1-Butyl-10-methyl-Δ1(9)-2-octalone,4.3-4.7 g,"toluene, hexamethylphosphoric triamide","Reflux, 60°C","14-16 hours, 4-5 hours",65-72%
volume57article19_1_1,"4-nitrobenzyl alcohol, diethylaminosulfur trifluoride","23.0 g (0.150 mole), 21 ml (0.16 mole)",4-nitrobenzyl fluoride,15.5 g,dichloromethane,10°C to room temperature,45 minutes,67%
volume57article20_1_1,"Furan, lithium perchlorate-1,2-dimethoxyethane complex, acetone, hydrochloric acid","27.2 g (0.400 mole), 57.3 g (0.200 mole), 58.1 g (0.80 mole), 16 ml","2,2,7,7,12,12,17,17-Octamethyl-21,22,23,24-tetraoxaquaterene","7.3-7.4 g, 2.9-3.1 g","ethanol, diethyl ether, chloroform","63°C, reflux, 78°C","30 minutes, 1 hour",24-25%
volume57article20_2_1,"Tetraoxaquaterene, ethanol, 5% palladium on charcoal","4.0 g (0.0092 mole), 200 ml, 400 mg","2,2,7,7,12,12,17,17-Octamethyl-21,22,23,24-tetraoxaperhydroquaterene",2.85-2.97 g,ethanol,105°C,4 hours,69-72%
volume57article21_1_1,"2,6-di-tert-butylphenol, salcomine","41.2 g (0.200 mole), 2.5 g (0.0075 mole)","2,6-di-tert-butyl-p-benzoquinone",36.5 g,"N,N-dimethylformamide",Below 50°C,4 hours,83%
volume57article22_1_1,"ethyl cyanoacetate, potassium carbonate, hexafluorobenzene","113 g (1.00 mole), 140 g (1.01 mole), 186 g (1.00 mole)",Ethyl cyano(pentafluorophenyl)acetate,217 g (78%),"N,N-dimethylformamide",110-154°C,3 hours,N/A
