Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume96article23_1_58,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_59,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_60,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_61,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_62,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_63,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_64,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_65,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_66,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_67,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_68,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_69,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_70,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_71,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_72,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_73,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_74,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_75,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_76,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_77,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_78,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_79,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_80,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_81,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_82,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_83,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_84,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_85,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_86,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_87,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_88,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_89,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_90,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_91,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_92,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_93,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_94,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_95,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_96,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_97,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_98,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_99,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_100,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_101,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_102,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_103,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_104,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_105,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_106,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_107,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_108,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_109,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_110,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_111,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_112,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_113,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_114,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_115,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_116,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_117,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_118,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_119,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_120,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_121,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_122,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_123,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_124,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_125,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_126,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_127,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_128,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_129,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_130,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_131,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_132,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_133,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_134,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_135,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_136,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_137,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_138,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_139,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_140,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_141,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_142,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_143,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_144,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_145,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_146,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_147,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_148,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_149,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume96article23_1_150,methyl ketone,N/A,"syn-1,3-diols",N/A,N/A,N/A,N/A,N/A
volume96article23_1_151,bis-epoxide,N/A,bis-homoallylic diol,N/A,N/A,N/A,N/A,N/A
volume96article23_1_152,bis-homoallylic diol,N/A,monoester,62%,N/A,N/A,N/A,N/A
volume96article23_1_153,monoester,N/A,sulfonate ester,N/A,N/A,N/A,N/A,N/A
volume96article23_1_154,sulfonate ester,N/A,tetraene,N/A,N/A,N/A,N/A,N/A
volume96article23_1_155,tetraene,N/A,acetonide,N/A,N/A,N/A,N/A,N/A
volume96article23_1_156,acetonide,N/A,methyl ketone,64%,N/A,N/A,N/A,N/A
volume80article6_1_1,"dibenzofuran, tetramethylethylenediamine, sec-butyllithium, carbon dioxide","10.0 g (59.4 mmol), 27 mL (179 mmol), 137 mL (178 mmol), gaseous","Dibenzofuran-4,6-dicarboxylic acid",14.5 g,diethyl ether,"-78°C, 25°C",24 hours,96%
volume80article6_2_1,"diacid 2, thionyl chloride","5.0 g (19.6 mmol), 44 mL (600 mmol)","Dibenzofuran-4,6-dicarbonyl chloride",5.12 g,chloroform,68°C,3 hours,90%
volume80article6_3_1,"diacid chloride 3, (R)-phenylglycinol, triethylamine","5.00 g (17.07 mmol), 5.18 g (37.74 mmol), 5.26 mL (37.74 mmol)","(R,R)-Dibenzofuran-4,6-dicarboxylic acid bis(2-hydroxy-1-phenylethyl) amide",5.9-7.5 g,CHCl3,0°C,15 hours,70-88%
volume80article6_4_1,"4, diethylaminosulfur trifluoride","2.40 g (4.85 mmol), 1.49 mL (11.28 mmol)","(R,R)-4,6-Dibenzofurandiyl-2,2'-bis(4-phenyloxazoline), DBFOX/Ph",2.10 g (4.59 mmol),dichloromethane,-20°C,18 hours,94%
volume85article18_1_1,"Rh2(OAc)4, 2-bromopropene, ethyl diazoacetate","47.4 mg (0.214 mmol), 18.5 mL (25.2 g, 0.208 mol), 11.0 mL (10.6 g, 92.5 mmol)",2-Bromo-2-methyl-cyclopropanecarboxylic acid ethyl ester,15.3-18.0 g,N/A,"Room temperature, 80°C","2 days, 8 hours",80-94%
volume85article18_2_1,"Bromo ester 1, sodium hydride, diethyl ether, ethanol","17.9 g (0.0864 mol), 6.10 g (0.153 mol), 110 mL, 1.1 mL","2-Methylene-cyclopropanecarboxylic acid, ethyl ester",7.28 g,diethyl ether,reflux,15 hours,66%
volume85article19_1_1,"4-chlorobenzaldehyde, methylhydrazine, 3,4-methylenedioxy-β-nitrostyrene","5.00 g (35.5 mmol), 1.9 mL (1.66 g, 35.5 mmol), 5.50 g (28.5 mmol)","5-Benzo[1,3]dioxol-5-yl-3-(4-chlorophenyl)-1-methyl-1H-pyrazole",6.07 g (19.3 mmol),MeOH,Room temperature,72 hours,68%
volume85article19_2_1,"4-chlorobenzaldehyde, benzylhydrazine dihydrochloride, 4-methyl-β-nitrostyrene","4.86 g (34.5 mmol), 6.75 g (34.5 mmol), 4.51 g (27.7 mmol)",1-Benzyl-3-(4-chlorophenyl)-5-p-tolyl-1H-pyrazole,9.12 g (25.3 mmol),"MeOH, water",Room temperature,"3 hours, until complete",92%
volume90article3_1_1,"Organometallic reagents, aldehydes",N/A,Secondary alcohols,N/A,N/A,N/A,N/A,High ee
volume90article3_1_2,"(R)- or (S)-camphor, N/A",N/A,(-)-MIB,N/A,N/A,N/A,N/A,N/A
volume90article3_1_3,"Aryl bromides, n-BuLi, ZnCl2",N/A,Diarylmethanols and benzylic alcohols,N/A,N/A,N/A,N/A,High enantioselectivities and yields
volume90article3_1_4,"Aryl bromides, n-BuLi, ZnCl2, n-BuLi",N/A,Aryl/heteroaryl- and diheteroarylmethanols,N/A,N/A,N/A,N/A,High levels of enantioselectivity
volume90article3_1_5,"Zn(OMe)2, alkyl/aryl Grignard reagents",N/A,Diorganozinc reagents,N/A,N/A,N/A,N/A,High enantioselectivity
volume90article3_1_6,"α,β-unsaturated aldehydes, titanium catalyst",N/A,Epoxy alcohols and allylic epoxy alcohols,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_7,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_8,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_9,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_10,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_11,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_12,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_13,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_14,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_15,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_16,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_17,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_18,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_19,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_20,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_21,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_22,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_23,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_24,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_25,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_26,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_27,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_28,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_29,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_30,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_31,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_32,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_33,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_34,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_35,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_36,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_37,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_38,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_39,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_40,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_41,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_42,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_43,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_44,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_45,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_46,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_47,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_48,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
volume90article3_1_49,"α,β-unsaturated aldehydes, vinylzinc reagents",N/A,Vinylcyclopropanes,N/A,N/A,N/A,N/A,High enantioselectivities
