Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume76article6_3_1,"hydrolysis solution, 1-butanol, sodium hydroxide, L-tartaric acid",N/A,"(1S,2R)-1-Aminoindan-2-ol",17.2 g,"1-butanol, methanol, water, toluene","reflux, room temperature, 0°C","2 hours, 1 hour, 30 minutes",100% ee
volume76article7_1_1,"anhydrous lithium chloride, (R,R)-(−)-pseudoephedrine, lithium methoxide, glycine methyl ester","30.8 g (0.726 mol), 60.0 g (0.363 mol), 6.89 g (0.182 mol), 40.4 g (0.454 mol)","(R,R)-(−)-pseudoephedrine glycinamide monohydrate",62.8 g (72%),"tetrahydrofuran, water",0°C,7 hours,72%
volume76article7_1_2,"(R,R)-(−)-pseudoephedrine glycinamide monohydrate",62.8 g,"(R,R)-(−)-pseudoephedrine glycinamide",53.8 g (67% overall),"dichloromethane, toluene","23°C, 60°C",N/A,67%
volume76article7_2_1,"(R,R)-(−)-pseudoephedrine glycinamide, diisopropylamine, butyllithium, lithium chloride, allyl bromide","50.0 g (0.225 mol), 63.0 mL (0.450 mol), 167 mL (0.439 mol), 57.2 g (1.35 mol), 19.5 mL (0.225 mol)",Pseudoephedrine L-allylglycinamide,39.1-42.0 g,THF,0°C,45 min,66-71%
volume76article7_3_1,"pseudoephedrine L-allylglycinamide, water","25.0 g (0.0953 mol), 500 mL",L-Allylglycine,10.2 g,water,reflux,10 hours,93%
volume76article7_4_1,"pseudoephedrine L-allylglycinamide, aqueous sodium hydroxide solution, sodium bicarbonate, di-tert-butyl dicarbonate","14.7 g (0.056 mol), 224 mL (0.112 mol), 9.40 g (0.112 mol), 13.4 g (0.0615 mol)",N-Boc-L-allylglycine,11.8 g,"water, p-dioxane, ethyl acetate, toluene, dichloromethane, ether","reflux, 0°C, 23°C","2 hours, 90 minutes, 90 minutes",97%
volume76article8_1_1,L-arginine hydrochloride,0.2%,"1-chloro-(2S,3S)-dihydroxycyclohexa-4,6-diene",N/A,mineral salt broth,30°C,24 hours,N/A
volume76article8_2_1,"MSB solution, L-arginine·HCl","500 mL, 0.2%","1-Chloro-(2S,3S)-dihydroxycyclohexa-4,6-diene",160 mg,"chlorobenzene, ethyl acetate",30°C,48 hours,N/A
volume76article9_1_1,"magnesium turnings, bromobutane","17.0 g (0.70 mol), 24 mL (0.22 mol)",Butylmagnesium bromide,1.90-2.10 M solution,ether,Room temperature,N/A,N/A
volume76article9_1_2,bromobutane,30 mL,N/A,N/A,ether,N/A,N/A,N/A
volume76article9_2_1,"trimethyl borate, butylmagnesium bromide","10 mL (89.2 mmol), 45 mL (87.8 mmol)",Butylboronic acid,5.0-6.5 g,ether,-75°C to room temperature,2 hours,55-72%
volume76article9_3_1,"butylboronic acid, diethanolamine","5.15 g (50.5 mmol), 5.31 g (50.5 mmol)","[(2-)-N,O,O'[2,2'-Iminobis[ethanolato]]]-2-butylboron",7.70 g,"ether, dichloromethane",N/A,2 hours,89%
volume76article9_4_1,"butylboronate diethanolamine complex, (R,R)-(+)-N,N,N',N'-tetramethyltartaric acid diamide","7.70 g (45.0 mmol), 11.9 g (58.3 mmol)","(4R-trans)-2-Butyl-N,N,N',N'-tetramethyl[1,3,2]dioxaborolane-4,5-dicarboxamide",11.3 g,dichloromethane,N/A,30 min,93%
volume76article9_5_1,"1,2-dimethoxyethane, diethylzinc, diiodomethane, dioxaborolane ligand, cinnamyl alcohol","1.60 mL (14.9 mmol), 1.50 mL (14.9 mmol), 2.40 mL (29.8 mmol), 2.41 g (8.94 mmol), 1.00 g (7.45 mmol)","(2S,3S)-(+)-(3-Phenylcyclopropyl)methanol",1.05 g,dichloromethane,-10°C to room temperature,8 hours,95%
volume76article10_1_1,"2,3-O-isopropylidene-L-threitol, methylene chloride, pyridine, methanesulfonyl chloride","25.0 g (0.154 mol), 308 mL, 37.4 mL (0.462 mol), 29.8 mL (0.385 mol)","L-Threitol 1,4-bismethanesulfonate",43 g,methylene chloride,0°C to room temperature,6 hours,88%
volume76article10_1_2,"2,3-O-isopropylidene-L-threitol 1,4-bismethanesulfonate, 95% ethanol, methanesulfonic acid","40 g (0.126 mol), 250 mL, 0.204 mL (3.14 mmol)","(2S,3S)-Dihydroxy-1,4-diphenylbutane",29.6 g,ethanol,Reflux,10 hours,84%
volume76article10_2_1,"L-threitol 1,4-bismethanesulfonate, potassium hydroxide","25.0 g (0.0898 moles), 11.6 g (0.207 mol)","(S,S)-1,2,3,4-Diepoxybutane",6.3 g,"diethyl ether, water",Room temperature,45 minutes,81%
volume76article10_3_1,"Copper iodide, tetrahydrofuran, phenylmagnesium bromide, (S,S)-1,2,3,4-Diepoxybutane","1.89 g, 30 mL, 18.0 g, 2.84 g","(2S,3S)-Dihydroxy-1,4-diphenylbutane",7.0 g,THF,"-30°C, 0°C",2.5 hours,88%
volume76article11_1_1,"S-phenylalanine, benzyl bromide, potassium carbonate, sodium hydroxide","9.9 g (60 mmol), 31.0 g (181 mmol), 16.6 g (120 mmol), 4.8 g (120 mmol)","Benzyl (S)-2-(N,N-dibenzylamino)-3-phenylpropanoate",15.14-18.0 g,water,reflux,1 hour,58-69%
volume76article11_2_1,"benzyl (S)-2-(N,N-dibenzylamino)-3-phenylpropanoate, lithium aluminum hydride","10.9 g (25 mmol), 1.13 g (30 mmol)","(S)-2-(N,N-Dibenzylamino)-3-phenyl-1-propanol",6.2-7.2 g,diethyl ether,"0°C, room temperature",16 hours,75-87%
volume76article11_3_1,"(S)-2-(N,N-dibenzylamino)-3-phenyl-1-propanol, oxalyl chloride, dimethyl sulfoxide, triethylamine","3.31 g (10 mmol), 1.52 g (12 mmol), 1.56 g (20 mmol), 4.05 g (40 mmol)","(S)-2-(N,N-Dibenzylamino)-3-phenylpropanal",3.22 g,dichloromethane,-78°C to room temperature,0.5 hours,95-98%
volume76article12_1_1,"L-methionine methyl ester hydrochloride, phthalic anhydride, triethylamine","50.0 g (0.25 mol), 37.1 g (0.25 mol), 100 mL",Methyl (S)-2-phthalimido-4-methylthiobutanoate,59 g,toluene,reflux,4.5 hours,80%
volume76article12_2_1,"methyl (S)-2-phthalimido-4-methylthiobutanoate, N-chlorosuccinimide","15.45 g (52.7 mmol), 7.04 g (52.7 mmol)",methyl (S)-2-phthalimido-4-oxobutanoate,7.50-9.19 g,carbon tetrachloride,room temperature,2 hours,54-67%
volume76article13_1_1,"(3,4-dimethoxyphenyl)acetonitrile, copper(I) chloride, dimethylamine","7.96 g (0.045 mol), 4.95 g (0.050 mol), 45 mL (0.067 mol)","2-(3,4-Dimethoxyphenyl)-N,N-dimethylacetamidine",9.1-9.4 g,"diethyl ether, ethanol",70°C,24 hours,93-96%
volume76article13_2_1,"2-(3,4-dimethoxyphenyl)-N,N-dimethylacetamidine, sodium borohydride","9.05 g (0.041 mol), 1.87 g (0.049 mol)","N,N-Dimethylhomoveratrylamine",7.9-8.1 g,methanol,0°C,4 hours,93-95%
volume76article14_1_1,"2-amino-5-chlorobenzophenone, ethyl oxalyl chloride, dichloromethane, pyridine","13.9 g (60 mmol), 9.6 g (70.3 mmol), 100 mL, 20 mL",N-(2-benzoyl-4-chlorophenyl)oxalamic acid ethyl ester,19.6 g,dichloromethane,"0°C, ambient temperature",1.5 hours,98%
volume76article14_2_1,"N-(2-benzoyl-4-chlorophenyl)oxalamic acid ethyl ester, titanium(III) chloride, zinc dust","13.27 g (40 mmol), 12.34 g (80 mmol), 10.45 g (160 mmol)",Ethyl 5-chloro-3-phenylindole-2-carboxylate,"9.3-9.7 g (78-81%), 0.8-1.4 g (7-12%)","ethylene glycol dimethyl ether, toluene",reflux,2 hours,"78-81%, 7-12%"
volume76article15_1_1,"hexafluoroisopropyl alcohol, butyllithium, propionaldehyde","6.3 mL (60 mmol), 76.9 mL (123 mmol), 4.8 mL (66 mmol)","lithium pentafluoropropen-2-olate, 4-hydroxy-1,1,1,3,3-pentafluoro-2-hexanone hydrate",8.64 g,"tetrahydrofuran, hexane, ethyl acetate, hydrochloric acid","-70°C, 0°C, room temperature","15 min, 1 hr, 10 min",64%
volume76article16_1_1,"α-methylstyrene, triethylamine trihydrofluoride, dichloromethane, N-bromosuccinimide","7.1 g (60 mmol), 14.7 mL (90 mmol), 60 mL, 11.8 g (66 mmol)",1-Bromo-2-fluoro-2-phenylpropane,11.6 g,dichloromethane,"0°C, room temperature",5 hours,89%
volume76article17_1_1,"phenylacetonitrile, dimethyl carbonate, potassium carbonate","12.0 g (0.10 mol), 147.8 g (1.64 mol), 28.4 g (0.21 mol)",2-phenylpropionic acid,14.3 g,N/A,180°C,18 hours,93%
volume76article18_1_1,"(±)-camphorsulfonic acid, propargyl alcohol, 3,4-dihydro-2H-pyran","0.116 g (0.500 mmol), 29.4 mL (0.500 mol), 50.2 mL (0.550 mol)",2-propargyloxytetrahydropyran,67.0 g,dichloromethane,"0°C, 23°C",2 hours,96%
volume76article18_2_1,"2-propargyloxytetrahydropyran, butyllithium, tert-butyldimethylsilyl chloride","19.5 g (139 mmol), 13.9 mL (139 mmol), 22.0 g (146 mmol)",3-(tert-butyldimethylsilyl)-2-propyn-1-ol,22.0 g (93%),"tetrahydrofuran, hexanes, methanol","-78°C, 0°C, 23°C","15 min, 2 hours",93%
volume76article18_3_1,"triphenylphosphine, diethyl azodicarboxylate, 3-(tert-butyldimethylsilyl)-2-propyn-1-ol, o-nitrobenzenesulfonyl hydrazide","15.7 g (60.0 mmol), 9.02 mL (57.5 mmol), 8.52 g (50.0 mmol), 13.0 g (60.0 mmol)",(tert-Butyldimethylsilyl)allene,5.38-5.39 g,THF,"-15°C, 23°C","45 min, 5 hours",70%
volume76article19_1_1,"squaric acid, trimethyl orthoformate","20.52 g (180.0 mmol), 38.78 g (365.4 mmol)",Dimethyl squarate,22.75 g,methanol,reflux,"4 hr, 18 hr",89%
volume76article19_2_1,"dimethyl squarate, vinyllithium, trifluoroacetic anhydride","10.0 g (70.4 mmol), 39.0 mL (91.7 mmol), 14.8 mL (105 mmol)","3-Ethenyl-4-methoxycyclobutene-1,2-dione",6.55 g,tetrahydrofuran,-78°C,"2 hours (stirring), 30 minutes (after trifluoroacetic anhydride addition)",67%
volume76article19_3_1,"1-hexyne, 2-ethenyl-3-methoxycyclobutendione","1.84 g (22.44 mmol), 2.58 g (18.70 mmol)","2-Butyl-6-ethenyl-5-methoxy-1,4-benzoquinone",2.01 g,"THF, acetonitrile","-78°C, reflux","20 min, 60 min, 1.5 hr",49%
volume76article20_1_1,"ethyl vinyl ether, propargyl alcohol, p-toluenesulfonic acid monohydrate, potassium carbonate, potassium tert-butoxide","100 g (1.39 mol), 56.1 g (1.00 mol), 50 mg, 3 mL, 8.63 g (76.9 mmol)","3-(1-ethoxyethoxy)-1-propyne, 1-(1-ethoxyethoxy)-1,2-propadiene","106-117 g, 69.3-74.5 g","K2CO3, diethyl ether","0°C, 70°C","15 min, 40 min","88-92%, 70-75%"
volume76article20_2_1,"1-(1-ethoxyethoxy)-1,2-propadiene, 4,4'-thiobis(2-tert-butyl-m-cresol), butyllithium, tert-butyldimethylsilyl chloride, hexamethylphosphoric triamide, triethylamine","40.0 g (0.312 mol), 350 mg, 220 mL (0.312 mol), 50.8 g (0.337 mol), 60 mL, 31 mL","1-(tert-butyldimethylsilyl)-1-(1-ethoxyethoxy)-1,2-propadiene",62.8-65.4 g (83-86%),Et2O,"-80°C, 0°C","1 hour, 30 minutes",83-86%
volume76article20_3_1,"1-(tert-butyldimethylsilyl)-1-(1-ethoxyethoxy)-1,2-propadiene, BuLi, trimethylsilyl chloride","10.0 g (41.2 mmol), 30 mL (44.1 mmol), 4.90 g (45.1 mmol)",(E)-1-(tert-butyldimethylsilyl)-3-trimethylsilyl-2-propen-1-one,7.4-7.6 g,tetrahydrofuran,-80°C to room temperature,"40 min (stirring at -80°C), 10 min (adding trimethylsilyl chloride), 1 hr (warming to room temperature)",74-75%
volume76article20_4_1,"diisopropylamine, BuLi, 1-acetyl-1-cyclohexene, (E)-1-(tert-butyldimethylsilyl)-3-trimethylsilyl-2-propen-1-one, acetic acid","2.81 mL (2.17 g, 21.4 mmol), 13.7 mL (20.1 mmol), 2.58 mL (2.49 g, 20.1 mmol), 5.34 g (22.0 mmol), 1.22 g (20.3 mmol)","(1R,6S,7S)-4-(tert-Butyldimethylsiloxy)-6-(trimethylsilyl)bicyclo[5.4.0]-undec-4-en-2-one",5.8-6.0 g,THF,"-80°C, -30°C",30 min,79-82%
volume76article21_1_1,"(Z/E)-1-bromo-1-propene, butyllithium, trans-cinnamaldehyde","18.65 g (0.15 mol), 140 mL (1.57 M in hexane, 0.22 mol), 13.21 g (0.1 mol)",6-phenylhex-2-yn-5-en-4-ol,15.88 g,"tetrahydrofuran, hexane",-78°C,"2 hours, 30 minutes",92%
volume76article22_1_1,"magnesium turnings, allyl bromide","90.00 g (3.75 g-atom), 181.60 g (1.50 mol)",Allylmagnesium bromide,N/A,diethyl ether,N/A,"8 hours, 1 hour",N/A
volume76article22_2_1,N/A,N/A,Allylmagnesium bromide,N/A,tetrahydrofuran,45-65°C,"2 hours, 1 hour",N/A
volume76article22_3_1,1-bromo-3-chloropropane,150.00 g (0.95 mol),6-Chloro-1-hexene,93.00 g (0.78 mol),N/A,50-60°C,1 hour,82%
volume76article22_3_2,"1-bromo-5-chloropentane, allyl bromide, magnesium turnings","88.37 g (0.47 mol), 90.75 g (0.75 mol), 45.00 g (1.87 mol)",8-Chloro-1-octene,60.14 g,N/A,N/A,N/A,86%
volume76article23_1_1,"cerium(III) chloride heptahydrate, tetrahydrofuran, butyllithium, α-tetralone","44.7 g (0.12 mol), 200 mL, 78 mL (0.12 mmol), 13.5 mL (14.8 g, 0.101 mol)","1-butyl-1,2,3,4-tetrahydro-1-naphthol",19.1-19.9 g,"water, ethyl acetate","-78°C, room temperature","overnight, 30 min, 30 min",92-97%
volume76article24_1_1,"diisopropylamine, butyllithium, 2-methylcyclohexanone, MnCl2·2LiCl, benzyl bromide","5.55 g (55 mmol), 34.4 mL (55 mmol), 5.6 g (50 mmol), 55 mmol, 12.2 g (71.3 mmol)",2-benzyl-6-methylcyclohexanone,8.8-8.9 g,"tetrahydrofuran, 1-methyl-2-pyrrolidinone, petroleum ether, diethyl ether","-15°C, -78°C, room temperature","30 min, 2 hours, 15 min",87-88%
volume76article25_1_1,"zinc powder, tetrahydrofuran, 1,2-dibromoethane, chlorotrimethylsilane, ethyl 5-iodovalerate, methyllithium, copper(I) cyanide, 2-cyclohexen-1-one","3.0 g (46 mmol), 16 mL, 155 μL (338 mg, 1.8 mmol), 155 μL (133 mg, 1.2 mmol), 6.7 mL (10.24 g, 40.0 mmol), 26 mL (36 mmol), 178.9 mg (2.0 mmol), 10 mL, 7.77 mL (6.65 g, 61.3 mmol), 2.02 mL (2.01 g, 20.9 mmol)",Ethyl 5-(3-oxocyclohexyl)pentanoate,3.46 g,"tetrahydrofuran, ether","ca. 65°C, −78°C","overnight, 4.5 hours",73%
volume76article26_1_1,"anhydrous tetraethylammonium bromide, gaseous hydrogen bromide, 1-octyn-3-ol","14.71 g (69.7 mmol), 7.05 g (87.1 mmol), 10.2 mL (69.7 mmol)",2-Bromo-1-octen-3-ol,8.91 g (62%),methylene chloride,0°C to room temperature,N/A,N/A
volume76article26_2_1,"2-bromo-1-octen-3-ol, diethylamine, dichlorobis(triphenylphosphine)palladium(II), copper(I) iodide, 1-nonyne","8.65 g (41.8 mmol), 210 mL, 1.47 g (2.09 mmol), 0.80 g (4.18 mmol), 6.91 mL (42.1 mmol)",7-methylene-8-hexadecyn-6-ol,9.94 g,diethylamine,Room temperature,N/A,95%
volume76article26_3_1,"7-methylene-8-hexadecyn-6-ol, silver nitrate on silica gel","9.64 g (38.5 mmol), 6.53 g (3.85 mmol)",2-pentyl-3-methyl-5-heptylfuran,9.24 g,hexane,room temperature,40 min,96%
volume76article27_1_1,"thiophosphoryl chloride, tetrabutylammonium bromide, dichloromethane, 2-chlorophenol, sodium hydroxide","271 g (1.60 mol), 3.2 g (0.01 mol), 400 mL, 51.4 g (0.400 mol), 350 mL",2-chlorophenyl phosphorodichloridothioate,93.2-98.4 g,dichloromethane,0-5°C,8 hours,89-94%
volume76article28_1_1,"ergosterol, ethyl p-dimethylaminobenzoate, tert-butyl methyl ether","13.5 g (34 mmol), 1.31 g (6.8 mmol), 1.7 L","3,5-Dinitrobenzoate of vitamin D2",8.3-10.1 g,tert-butyl methyl ether,0°C to -20°C,4 hours,41-50%
volume76article28_2_1,"3, sodium hydroxide","10.1 g (17.1 mmol), 1.88 mL (18.8 mmol)",Vitamin D2,5.9-6.2 g,"absolute ethanol, methanol","Room temperature, 0°C","45 min, 1 hr, 2 hr",87-91%
volume76article29_1_1,"pyrrole, benzaldehyde, trifluoroacetic acid","150 mL, 6.0 mL, 0.45 mL",5-Phenyldipyrromethane,8.57-8.83 g,dichloromethane,Room temperature,15 min,65-67%
volume76article29_2_1,"5-phenyldipyrromethane, trimethyl orthoformate, trichloroacetic acid","0.5 g (2.3 mmol), 18 mL (0.165 mol), 8.83 g (54 mmol)","5,15-Diphenylporphyrin",0.073-0.104 g,dichloromethane,N/A,"4 hours, 17 hours, 4 hours",14-20%
volume76article30_1_1,benzopinacol,10.0 g (27.3 mmol),"9,10-Diphenylphenanthrene","6.7 g, 1.4 g","toluene, trifluoromethanesulfonic acid",Room temperature,24 hours,"74%, 16%"
volume77article1_1_1,"aluminum chloride, nitrobenzene, 1,2-dichloroethane, 2,4-pentanedione, chloroacetyl chloride","65.0 g, 82 mL, 96 mL, 50.0 mL, 85.0 mL","Bis(1,5-dichloro-2,4-pentanedione)copper(II) complex",55.6-56.4 g,diethyl ether,60-70°C,17 hours,57-58%
volume77article1_2_1,"1,5-cyclooctadieneruthenium(II) chloride, [(S)-BINAP], triethylamine, toluene, bis(1,5-dichloro-2,4-pentanedione)copper(II) complex, diethyl ether, 10% sulfuric acid, methanol, hydrogen gas","79.2 mg, 212 mg, 470 μL, 20 mL, 22.0 g, 200 mL, 200 mL, 40 mL, N/A","(2R,4R)-1,5-Dichloro-2,4-pentanediol, 1,5-Dichloro-2,4-pentanedione, (R,R)-1,2:4,5-Diepoxypentane","6.27 g, N/A, 7.66 g","Et2O, toluene, diethyl ether, brine, Na2SO4, MeOH, hexane, dichloromethane","reflux, N/A, N/A, N/A, N/A, N/A, 65°C, N/A","16 hours, ca. 45 minutes, 12-14 hours, N/A","83%, N/A, 40%"
volume77article1_3_1,"(2R,4R)-1,5-dichloro-2,4-pentanediol, potassium hydroxide","6.00 g (34.7 mmol), 18.5 g (330 mmol)","(2R,4R)-1,2:4,5-Diepoxypentane",3.20 g,diethyl ether,0°C,3 hours,92%
volume77article2_1_1,"(1R,2S)-(−)-norephedrine, 1,4-dibromobutane, sodium bicarbonate","37.8 g (0.25 mol), 59.38 g (0.275 mol), 46.2 g (0.55 mol)","[R-(R,S)]-β-methyl-α-phenyl-1-pyrrolidineethanol",45.9 g,toluene,reflux (105-118°C),N/A,90%
volume77article3_1_1,"(1S,2S)-(+)-pseudoephedrine, propionic anhydride","21.3 g (129 mmol), 18.0 g (138 mmol)","(1S,2S)-N-(2-Hydroxy-1-methyl-2-phenylethyl)-N-methylpropionamide",27.2 g,tetrahydrofuran,23°C,10 min,95%
volume77article3_2_1,"anhydrous lithium chloride, diisopropylamine, tetrahydrofuran, butyllithium, (1S,2S)-pseudoephedrinepropionamide, benzyl bromide","25.0 g (590 mmol), 31.3 mL (223 mmol), 120 mL, 85.1 mL (207 mmol), 22.0 g (99.4 mmol), 17.7 mL (149 mmol)","[1S(R),2S]-N-(2-Hydroxy-1-methyl-2-phenylethyl)-N,2-dimethylbenzenepropionamide",27.8 g (90%),"tetrahydrofuran, ethyl acetate, toluene","-78°C, 0°C, 23°C, 80°C","1 hour, 15 minutes, 5 minutes, 10 hours",≥99%
volume77article4_1_1,"(1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, lithium aluminum hydride, ethyl acetate, tetrahydrofuran, 1 N aqueous hydrochloric acid solution, trifluoroacetic acid, saturated aqueous sodium bicarbonate solution","10.0 g (32.1 mmol), 2.95 g (73.9 mmol), 10.7 mL (109 mmol), 110 mL, 400 mL, 25 mL (325 mmol), 250 mL, 100 mL",(R)-α-methylbenzenepropanal,3.64 g,hexanes,"-78°C, 0°C, 23°C",1 hour,76%
volume77article4_2_1,"(1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide, diisopropylamine, butyllithium, borane-ammonia complex","10.0 g (32.1 mmol), 18.9 mL (135 mmol), 53.5 mL (125 mmol), 4.41 g (129 mmol)",(R)-β-Methylbenzenepropanol,4.35 g,tetrahydrofuran,"-78°C, 0°C, 23°C",50 min,90%
volume77article4_3_1,"(1S,2S)-pseudoephedrine-(R)-2-methylhydrocinnamamide",10.0 g (32.1 mmol),(R)-2-methyl-1-phenyl-3-heptanone,5.80 g,"toluene, ether, acetic acid",-78°C to 0°C,"5 min, 15 min, 15 min",88%
volume77article5_1_1,"(R)-(+)-1,1,2-triphenyl-1,2-ethanediol, acetic anhydride, scandium(III) trifluoromethanesulfonate","35.0 g (0.121 mol), 17.1 mL (0.181 mol), 1.23 g (2.5 mmol)","(R)-(+)-2-hydroxy-1,2,2-triphenylethyl acetate",35.42 g (0.107 mol),acetonitrile,Room temperature,3 hours,88%
volume77article6_1_1,"(1R,2S,5R)-(−)-menthyl (S)-p-toluenesulfinate",30.31 g (0.103 mol),(S)-(+)-p-Toluenesulfinamide,11.52 g (72%),tetrahydrofuran,"-78°C, room temperature",4.5 hours,72%
volume77article6_2_1,"(S)-(+)-p-toluenesulfinamide, benzaldehyde, titanium(IV) ethoxide","10.35 g (66.8 mmol), 7.07 g (66.6 mmol), 76.0 g (333 mmol)",(S)-(+)-N-(Benzylidene)-p-toluenesulfinamide,15.0 g,dichloromethane,reflux,5 hours,92%
volume77article6_3_1,"NaHMDS, methyl acetate, (S)-(+)-N-(benzylidene)-p-toluenesulfinamide","8.4 mL (16.7 mmol), 1.3 mL (16.7 mmol), 2.65 g (10.9 mmol)","(Ss,R)-(+)-Methyl N-(p-toluenesulfinyl)-3-amino-3-phenylpropanoate",2.1-2.3 g,"tetrahydrofuran, ether, ethyl acetate, methylene chloride, pentane","-78°C, 0°C, room temperature",45 min,61-66%
volume77article6_4_1,"(Ss,R)-(+)-methyl N-(p-tolylsulfinyl)-3-amino-3-phenylpropanoate",2.13 g (6.7 mmol),Methyl (R)-(+)-β-phenylalanate,0.813 g,methanol,"0°C, room temperature",2-4 hours,68%
volume77article7_2_1,"N-Boc-L-serine methyl ester, 2,2-dimethoxypropane, boron trifluoride etherate","10.0 g (45.6 mmol), 50 mL (400 mmol), 0.35 mL (2.8 mmol)","3-(1,1-Dimethylethyl) 4-methyl-(S)-2,2-dimethyloxazolidine-3,4-dicarboxylate",10.4-10.8 g,acetone,room temperature,2.5 hours,88-91%
volume77article7_3_1,"oxazolidine ester 3, lithium aluminum hydride","9.90 g (38.2 mmol), 2.16 g (57.0 mmol)","N-[(1,1-Dimethylethoxy)carbonyl]-N,O-isopropylidene-L-serinol",8.20-8.48 g,tetrahydrofuran,Room temperature,1 hour,93-96%
